layer,phase,duration_us
DeepSeekV32MoE04Dispatch,fwd,1568.790000
DeepSeekV32MoE04Combine,fwd,1562.230000
DeepSeekV32MoE05Dispatch,fwd,1807.160000
DeepSeekV32MoE05Combine,fwd,1871.630000
DeepSeekV32MoE06Dispatch,fwd,1906.150000
DeepSeekV32MoE06Combine,fwd,2013.110000
DeepSeekV32MoE07Dispatch,fwd,1820.970000
DeepSeekV32MoE07Combine,fwd,1872.590000
DeepSeekV32MoE08Dispatch,fwd,2197.020000
DeepSeekV32MoE08Combine,fwd,2095.560000
DeepSeekV32MoE09Dispatch,fwd,3552.710000
DeepSeekV32MoE09Combine,fwd,3570.680000
DeepSeekV32MoE10Dispatch,fwd,2559.570000
DeepSeekV32MoE10Combine,fwd,2577.730000
DeepSeekV32MoE11Dispatch,fwd,3331.280000
DeepSeekV32MoE11Combine,fwd,3479.840000
DeepSeekV32MoE12Dispatch,fwd,2490.140000
DeepSeekV32MoE12Combine,fwd,2445.240000
DeepSeekV32MoE13Dispatch,fwd,1998.430000
DeepSeekV32MoE13Combine,fwd,1957.300000
DeepSeekV32MoE14Dispatch,fwd,3783.600000
DeepSeekV32MoE14Combine,fwd,3824.590000
DeepSeekV32MoE15Dispatch,fwd,4768.410000
DeepSeekV32MoE15Combine,fwd,4602.320000
DeepSeekV32MoE16Dispatch,fwd,3989.120000
DeepSeekV32MoE16Combine,fwd,3788.800000
DeepSeekV32MoE17Dispatch,fwd,3922.140000
DeepSeekV32MoE17Combine,fwd,3900.160000
DeepSeekV32MoE18Dispatch,fwd,2545.660000
DeepSeekV32MoE18Combine,fwd,2541.840000
DeepSeekV32MoE19Dispatch,fwd,3470.610000
DeepSeekV32MoE19Combine,fwd,3534.690000
DeepSeekV32MoE20Dispatch,fwd,2765.800000
DeepSeekV32MoE20Combine,fwd,2781.100000
DeepSeekV32MoE21Dispatch,fwd,3876.330000
DeepSeekV32MoE21Combine,fwd,3689.050000
DeepSeekV32MoE22Dispatch,fwd,4620.060000
DeepSeekV32MoE22Combine,fwd,4739.740000
DeepSeekV32MoE23Dispatch,fwd,4572.460000
DeepSeekV32MoE23Combine,fwd,4628.290000
DeepSeekV32MoE24Dispatch,fwd,3151.260000
DeepSeekV32MoE24Combine,fwd,3189.950000
DeepSeekV32MoE25Dispatch,fwd,3398.690000
DeepSeekV32MoE25Combine,fwd,3408.720000
DeepSeekV32MoE26Dispatch,fwd,3354.710000
DeepSeekV32MoE26Combine,fwd,3427.140000
DeepSeekV32MoE27Dispatch,fwd,4201.300000
DeepSeekV32MoE27Combine,fwd,4218.660000
DeepSeekV32MoE28Dispatch,fwd,5675.980000
DeepSeekV32MoE28Combine,fwd,5739.410000
DeepSeekV32MoE29Dispatch,fwd,4026.070000
DeepSeekV32MoE29Combine,fwd,3829.110000
DeepSeekV32MoE30Dispatch,fwd,2972.140000
DeepSeekV32MoE30Combine,fwd,3081.170000
DeepSeekV32MoE31Dispatch,fwd,3491.660000
DeepSeekV32MoE31Combine,fwd,3541.160000
DeepSeekV32MoE32Dispatch,fwd,3540.700000
DeepSeekV32MoE32Combine,fwd,3686.800000
DeepSeekV32MoE33Dispatch,fwd,3899.060000
DeepSeekV32MoE33Combine,fwd,4062.000000
DeepSeekV32MoE34Dispatch,fwd,3680.630000
DeepSeekV32MoE34Combine,fwd,3474.720000
DeepSeekV32MoE35Dispatch,fwd,3311.110000
DeepSeekV32MoE35Combine,fwd,3316.640000
DeepSeekV32MoE36Dispatch,fwd,4095.910000
DeepSeekV32MoE36Combine,fwd,4105.560000
DeepSeekV32MoE37Dispatch,fwd,3605.540000
DeepSeekV32MoE37Combine,fwd,3480.770000
DeepSeekV32MoE38Dispatch,fwd,5708.250000
DeepSeekV32MoE38Combine,fwd,5798.680000
DeepSeekV32MoE39Dispatch,fwd,3579.470000
DeepSeekV32MoE39Combine,fwd,3444.220000
DeepSeekV32MoE40Dispatch,fwd,3391.290000
DeepSeekV32MoE40Combine,fwd,3303.870000
DeepSeekV32MoE41Dispatch,fwd,3254.740000
DeepSeekV32MoE41Combine,fwd,3345.790000
DeepSeekV32MoE42Dispatch,fwd,5786.950000
DeepSeekV32MoE42Combine,fwd,5578.750000
DeepSeekV32MoE43Dispatch,fwd,2892.450000
DeepSeekV32MoE43Combine,fwd,2857.570000
