layer,phase,duration_us
DeepSeekV32MoE04Dispatch,fwd,1066.120000
DeepSeekV32MoE04Combine,fwd,847.760000
DeepSeekV32MoE05Dispatch,fwd,1455.590000
DeepSeekV32MoE05Combine,fwd,987.210000
DeepSeekV32MoE06Dispatch,fwd,1584.000000
DeepSeekV32MoE06Combine,fwd,1098.140000
DeepSeekV32MoE07Dispatch,fwd,1417.770000
DeepSeekV32MoE07Combine,fwd,1000.940000
DeepSeekV32MoE08Dispatch,fwd,1636.490000
DeepSeekV32MoE08Combine,fwd,1166.650000
DeepSeekV32MoE09Dispatch,fwd,2534.010000
DeepSeekV32MoE09Combine,fwd,2087.670000
DeepSeekV32MoE10Dispatch,fwd,1880.780000
DeepSeekV32MoE10Combine,fwd,1407.280000
DeepSeekV32MoE11Dispatch,fwd,2486.750000
DeepSeekV32MoE11Combine,fwd,2013.060000
DeepSeekV32MoE12Dispatch,fwd,1853.320000
DeepSeekV32MoE12Combine,fwd,1356.320000
DeepSeekV32MoE13Dispatch,fwd,1323.630000
DeepSeekV32MoE13Combine,fwd,1008.270000
DeepSeekV32MoE14Dispatch,fwd,2756.790000
DeepSeekV32MoE14Combine,fwd,2324.640000
DeepSeekV32MoE15Dispatch,fwd,3374.970000
DeepSeekV32MoE15Combine,fwd,2922.940000
DeepSeekV32MoE16Dispatch,fwd,2814.310000
DeepSeekV32MoE16Combine,fwd,2393.310000
DeepSeekV32MoE17Dispatch,fwd,2743.060000
DeepSeekV32MoE17Combine,fwd,2308.320000
DeepSeekV32MoE18Dispatch,fwd,1863.540000
DeepSeekV32MoE18Combine,fwd,1383.940000
DeepSeekV32MoE19Dispatch,fwd,2540.460000
DeepSeekV32MoE19Combine,fwd,2090.110000
DeepSeekV32MoE20Dispatch,fwd,1869.100000
DeepSeekV32MoE20Combine,fwd,1458.250000
DeepSeekV32MoE21Dispatch,fwd,2696.710000
DeepSeekV32MoE21Combine,fwd,2202.880000
DeepSeekV32MoE22Dispatch,fwd,3290.430000
DeepSeekV32MoE22Combine,fwd,2839.930000
DeepSeekV32MoE23Dispatch,fwd,3203.460000
DeepSeekV32MoE23Combine,fwd,2770.810000
DeepSeekV32MoE24Dispatch,fwd,2295.670000
DeepSeekV32MoE24Combine,fwd,1839.110000
DeepSeekV32MoE25Dispatch,fwd,2412.250000
DeepSeekV32MoE25Combine,fwd,1959.960000
DeepSeekV32MoE26Dispatch,fwd,2323.550000
DeepSeekV32MoE26Combine,fwd,1906.860000
DeepSeekV32MoE27Dispatch,fwd,2913.280000
DeepSeekV32MoE27Combine,fwd,2448.540000
DeepSeekV32MoE28Dispatch,fwd,3992.270000
DeepSeekV32MoE28Combine,fwd,3540.160000
DeepSeekV32MoE29Dispatch,fwd,2905.300000
DeepSeekV32MoE29Combine,fwd,2435.730000
DeepSeekV32MoE30Dispatch,fwd,2255.230000
DeepSeekV32MoE30Combine,fwd,1781.730000
DeepSeekV32MoE31Dispatch,fwd,2604.770000
DeepSeekV32MoE31Combine,fwd,2190.370000
DeepSeekV32MoE32Dispatch,fwd,2606.230000
DeepSeekV32MoE32Combine,fwd,2159.850000
DeepSeekV32MoE33Dispatch,fwd,2798.450000
DeepSeekV32MoE33Combine,fwd,2342.340000
