layer,phase,duration_us
DeepSeekV32MoE04Dispatch,fwd,1799.370000
DeepSeekV32MoE04Combine,fwd,1799.370000
DeepSeekV32MoE05Dispatch,fwd,2205.860000
DeepSeekV32MoE05Combine,fwd,2205.860000
DeepSeekV32MoE06Dispatch,fwd,2403.310000
DeepSeekV32MoE06Combine,fwd,2403.310000
DeepSeekV32MoE07Dispatch,fwd,2272.080000
DeepSeekV32MoE07Combine,fwd,2272.080000
DeepSeekV32MoE08Dispatch,fwd,2665.450000
DeepSeekV32MoE08Combine,fwd,2665.450000
DeepSeekV32MoE09Dispatch,fwd,4046.830000
DeepSeekV32MoE09Combine,fwd,4544.120000
DeepSeekV32MoE10Dispatch,fwd,3166.550000
DeepSeekV32MoE10Combine,fwd,3166.550000
DeepSeekV32MoE11Dispatch,fwd,4398.550000
DeepSeekV32MoE11Combine,fwd,4398.550000
DeepSeekV32MoE12Dispatch,fwd,3016.100000
DeepSeekV32MoE12Combine,fwd,3016.100000
DeepSeekV32MoE13Dispatch,fwd,2380.120000
DeepSeekV32MoE13Combine,fwd,2380.120000
DeepSeekV32MoE14Dispatch,fwd,4167.680000
DeepSeekV32MoE14Combine,fwd,5046.740000
DeepSeekV32MoE15Dispatch,fwd,4353.840000
DeepSeekV32MoE15Combine,fwd,6359.610000
DeepSeekV32MoE16Dispatch,fwd,4684.040000
DeepSeekV32MoE16Combine,fwd,5222.520000
DeepSeekV32MoE17Dispatch,fwd,4413.960000
DeepSeekV32MoE17Combine,fwd,5038.500000
DeepSeekV32MoE18Dispatch,fwd,3050.590000
DeepSeekV32MoE18Combine,fwd,3050.590000
DeepSeekV32MoE19Dispatch,fwd,3810.930000
DeepSeekV32MoE19Combine,fwd,4560.600000
DeepSeekV32MoE20Dispatch,fwd,3293.200000
DeepSeekV32MoE20Combine,fwd,3293.200000
DeepSeekV32MoE21Dispatch,fwd,4135.330000
DeepSeekV32MoE21Combine,fwd,4812.370000
DeepSeekV32MoE22Dispatch,fwd,4771.930000
DeepSeekV32MoE22Combine,fwd,6163.990000
DeepSeekV32MoE23Dispatch,fwd,4321.490000
DeepSeekV32MoE23Combine,fwd,6046.500000
DeepSeekV32MoE24Dispatch,fwd,4025.780000
DeepSeekV32MoE24Combine,fwd,4041.800000
DeepSeekV32MoE25Dispatch,fwd,4238.480000
DeepSeekV32MoE25Combine,fwd,4291.430000
DeepSeekV32MoE26Dispatch,fwd,4264.270000
DeepSeekV32MoE26Combine,fwd,4264.270000
DeepSeekV32MoE27Dispatch,fwd,3921.100000
DeepSeekV32MoE27Combine,fwd,5347.340000
DeepSeekV32MoE28Dispatch,fwd,4488.120000
DeepSeekV32MoE28Combine,fwd,7702.080000
DeepSeekV32MoE29Dispatch,fwd,4003.500000
DeepSeekV32MoE29Combine,fwd,5318.960000
DeepSeekV32MoE30Dispatch,fwd,4024.710000
DeepSeekV32MoE30Combine,fwd,4024.710000
DeepSeekV32MoE31Dispatch,fwd,4599.510000
DeepSeekV32MoE31Combine,fwd,4785.510000
DeepSeekV32MoE32Dispatch,fwd,4414.570000
DeepSeekV32MoE32Combine,fwd,4687.550000
DeepSeekV32MoE33Dispatch,fwd,4681.290000
DeepSeekV32MoE33Combine,fwd,5117.240000
DeepSeekV32MoE34Dispatch,fwd,4272.360000
DeepSeekV32MoE34Combine,fwd,4641.470000
DeepSeekV32MoE35Dispatch,fwd,4116.570000
DeepSeekV32MoE35Combine,fwd,4116.570000
DeepSeekV32MoE36Dispatch,fwd,4027.910000
DeepSeekV32MoE36Combine,fwd,5049.180000
DeepSeekV32MoE37Dispatch,fwd,4407.550000
DeepSeekV32MoE37Combine,fwd,4774.220000
DeepSeekV32MoE38Dispatch,fwd,4230.240000
DeepSeekV32MoE38Combine,fwd,7268.420000
DeepSeekV32MoE39Dispatch,fwd,4141.130000
DeepSeekV32MoE39Combine,fwd,4553.880000
DeepSeekV32MoE40Dispatch,fwd,4225.670000
DeepSeekV32MoE40Combine,fwd,4400.990000
DeepSeekV32MoE41Dispatch,fwd,4342.700000
DeepSeekV32MoE41Combine,fwd,4342.700000
DeepSeekV32MoE42Dispatch,fwd,4357.500000
DeepSeekV32MoE42Combine,fwd,7660.270000
DeepSeekV32MoE43Dispatch,fwd,3497.970000
DeepSeekV32MoE43Combine,fwd,3497.970000
DeepSeekV32MoE44Dispatch,fwd,3921.860000
DeepSeekV32MoE44Combine,fwd,3921.860000
DeepSeekV32MoE45Dispatch,fwd,3792.470000
DeepSeekV32MoE45Combine,fwd,3792.470000
DeepSeekV32MoE46Dispatch,fwd,3044.480000
DeepSeekV32MoE46Combine,fwd,3044.480000
DeepSeekV32MoE47Dispatch,fwd,4666.950000
DeepSeekV32MoE47Combine,fwd,5430.350000
DeepSeekV32MoE48Dispatch,fwd,4304.710000
DeepSeekV32MoE48Combine,fwd,4737.290000
DeepSeekV32MoE49Dispatch,fwd,3760.430000
DeepSeekV32MoE49Combine,fwd,3760.430000
DeepSeekV32MoE50Dispatch,fwd,3097.890000
DeepSeekV32MoE50Combine,fwd,3097.890000
DeepSeekV32MoE51Dispatch,fwd,4239.400000
DeepSeekV32MoE51Combine,fwd,6073.350000
DeepSeekV32MoE52Dispatch,fwd,3909.810000
DeepSeekV32MoE52Combine,fwd,3918.810000
