layer,phase,duration_us
DeepSeekV32MoE04Dispatch,fwd,9428.810000
DeepSeekV32MoE04Combine,fwd,9364.590000
DeepSeekV32MoE05Dispatch,fwd,4835.610000
DeepSeekV32MoE05Combine,fwd,4976.410000
DeepSeekV32MoE06Dispatch,fwd,5340.480000
DeepSeekV32MoE06Combine,fwd,5490.520000
DeepSeekV32MoE07Dispatch,fwd,4902.380000
DeepSeekV32MoE07Combine,fwd,4926.290000
DeepSeekV32MoE08Dispatch,fwd,5661.490000
DeepSeekV32MoE08Combine,fwd,5922.550000
DeepSeekV32MoE09Dispatch,fwd,6184.660000
DeepSeekV32MoE09Combine,fwd,6431.160000
DeepSeekV32MoE10Dispatch,fwd,6483.390000
DeepSeekV32MoE10Combine,fwd,6111.720000
DeepSeekV32MoE11Dispatch,fwd,6863.370000
DeepSeekV32MoE11Combine,fwd,6858.530000
DeepSeekV32MoE12Dispatch,fwd,5739.020000
DeepSeekV32MoE12Combine,fwd,5712.120000
DeepSeekV32MoE13Dispatch,fwd,6202.260000
DeepSeekV32MoE13Combine,fwd,6482.910000
DeepSeekV32MoE14Dispatch,fwd,6295.220000
DeepSeekV32MoE14Combine,fwd,6656.490000
DeepSeekV32MoE15Dispatch,fwd,7561.700000
DeepSeekV32MoE15Combine,fwd,8062.260000
DeepSeekV32MoE16Dispatch,fwd,10669.920000
DeepSeekV32MoE16Combine,fwd,11049.300000
DeepSeekV32MoE17Dispatch,fwd,8911.680000
DeepSeekV32MoE17Combine,fwd,8145.370000
DeepSeekV32MoE18Dispatch,fwd,7387.600000
DeepSeekV32MoE18Combine,fwd,7567.960000
DeepSeekV32MoE19Dispatch,fwd,7641.940000
DeepSeekV32MoE19Combine,fwd,7214.170000
DeepSeekV32MoE20Dispatch,fwd,7539.250000
DeepSeekV32MoE20Combine,fwd,6808.910000
DeepSeekV32MoE21Dispatch,fwd,7730.600000
DeepSeekV32MoE21Combine,fwd,8007.040000
DeepSeekV32MoE22Dispatch,fwd,12965.630000
DeepSeekV32MoE22Combine,fwd,13221.620000
DeepSeekV32MoE23Dispatch,fwd,9599.780000
DeepSeekV32MoE23Combine,fwd,9857.210000
DeepSeekV32MoE24Dispatch,fwd,14367.780000
DeepSeekV32MoE24Combine,fwd,13572.200000
DeepSeekV32MoE25Dispatch,fwd,9849.190000
DeepSeekV32MoE25Combine,fwd,9108.750000
DeepSeekV32MoE26Dispatch,fwd,7414.440000
DeepSeekV32MoE26Combine,fwd,7577.990000
DeepSeekV32MoE27Dispatch,fwd,10065.400000
DeepSeekV32MoE27Combine,fwd,10152.410000
DeepSeekV32MoE28Dispatch,fwd,7193.140000
DeepSeekV32MoE28Combine,fwd,6817.210000
DeepSeekV32MoE29Dispatch,fwd,7660.690000
DeepSeekV32MoE29Combine,fwd,7308.580000
DeepSeekV32MoE30Dispatch,fwd,7200.610000
DeepSeekV32MoE30Combine,fwd,7447.200000
DeepSeekV32MoE31Dispatch,fwd,7143.510000
DeepSeekV32MoE31Combine,fwd,7169.770000
DeepSeekV32MoE32Dispatch,fwd,8772.020000
DeepSeekV32MoE32Combine,fwd,9186.470000
DeepSeekV32MoE33Dispatch,fwd,6865.230000
DeepSeekV32MoE33Combine,fwd,7149.950000
DeepSeekV32MoE34Dispatch,fwd,7280.910000
DeepSeekV32MoE34Combine,fwd,7446.790000
DeepSeekV32MoE35Dispatch,fwd,8017.320000
DeepSeekV32MoE35Combine,fwd,7706.610000
DeepSeekV32MoE36Dispatch,fwd,9482.120000
DeepSeekV32MoE36Combine,fwd,9345.910000
DeepSeekV32MoE37Dispatch,fwd,8853.820000
DeepSeekV32MoE37Combine,fwd,8759.670000
DeepSeekV32MoE38Dispatch,fwd,9627.160000
DeepSeekV32MoE38Combine,fwd,9861.330000
DeepSeekV32MoE39Dispatch,fwd,9234.650000
DeepSeekV32MoE39Combine,fwd,9656.410000
DeepSeekV32MoE40Dispatch,fwd,8213.800000
DeepSeekV32MoE40Combine,fwd,8458.800000
DeepSeekV32MoE41Dispatch,fwd,7685.390000
DeepSeekV32MoE41Combine,fwd,7663.270000
DeepSeekV32MoE42Dispatch,fwd,6427.170000
DeepSeekV32MoE42Combine,fwd,6490.080000
DeepSeekV32MoE43Dispatch,fwd,9812.660000
DeepSeekV32MoE43Combine,fwd,9960.620000
DeepSeekV32MoE44Dispatch,fwd,6982.440000
DeepSeekV32MoE44Combine,fwd,6983.940000
DeepSeekV32MoE45Dispatch,fwd,9902.640000
DeepSeekV32MoE45Combine,fwd,8993.900000
DeepSeekV32MoE46Dispatch,fwd,8547.090000
DeepSeekV32MoE46Combine,fwd,8506.460000
DeepSeekV32MoE47Dispatch,fwd,8291.010000
DeepSeekV32MoE47Combine,fwd,8437.970000
DeepSeekV32MoE48Dispatch,fwd,7798.260000
DeepSeekV32MoE48Combine,fwd,7926.740000
DeepSeekV32MoE49Dispatch,fwd,6828.260000
DeepSeekV32MoE49Combine,fwd,6877.170000
DeepSeekV32MoE50Dispatch,fwd,6773.210000
DeepSeekV32MoE50Combine,fwd,7163.630000
DeepSeekV32MoE51Dispatch,fwd,6953.770000
DeepSeekV32MoE51Combine,fwd,6740.600000
DeepSeekV32MoE52Dispatch,fwd,8497.610000
DeepSeekV32MoE52Combine,fwd,8492.310000
DeepSeekV32MoE53Dispatch,fwd,8152.610000
DeepSeekV32MoE53Combine,fwd,8154.180000
DeepSeekV32MoE54Dispatch,fwd,9192.560000
DeepSeekV32MoE54Combine,fwd,8641.130000
DeepSeekV32MoE55Dispatch,fwd,9538.450000
DeepSeekV32MoE55Combine,fwd,8584.370000
DeepSeekV32MoE56Dispatch,fwd,7793.780000
DeepSeekV32MoE56Combine,fwd,8191.810000
DeepSeekV32MoE57Dispatch,fwd,7466.990000
DeepSeekV32MoE57Combine,fwd,7505.750000
DeepSeekV32MoE58Dispatch,fwd,8490.090000
DeepSeekV32MoE58Combine,fwd,8572.490000
DeepSeekV32MoE59Dispatch,fwd,8498.900000
DeepSeekV32MoE59Combine,fwd,8560.780000
DeepSeekV32MoE60Dispatch,fwd,8217.650000
DeepSeekV32MoE60Combine,fwd,8404.710000
DeepSeekV32MoE61Dispatch,fwd,7602.060000
DeepSeekV32MoE61Combine,fwd,7884.170000
