layer,phase,duration_us
DeepSeekV32MoE04Dispatch,fwd,6665.400000
DeepSeekV32MoE04Combine,fwd,5406.610000
DeepSeekV32MoE05Dispatch,fwd,3897.330000
DeepSeekV32MoE05Combine,fwd,2635.770000
DeepSeekV32MoE06Dispatch,fwd,4135.820000
DeepSeekV32MoE06Combine,fwd,2940.330000
DeepSeekV32MoE07Dispatch,fwd,3673.500000
DeepSeekV32MoE07Combine,fwd,2557.950000
DeepSeekV32MoE08Dispatch,fwd,4408.600000
DeepSeekV32MoE08Combine,fwd,3224.910000
DeepSeekV32MoE09Dispatch,fwd,4762.570000
DeepSeekV32MoE09Combine,fwd,3674.440000
DeepSeekV32MoE10Dispatch,fwd,4785.890000
DeepSeekV32MoE10Combine,fwd,3560.600000
DeepSeekV32MoE11Dispatch,fwd,5327.160000
DeepSeekV32MoE11Combine,fwd,4112.210000
DeepSeekV32MoE12Dispatch,fwd,3622.330000
DeepSeekV32MoE12Combine,fwd,2823.450000
DeepSeekV32MoE13Dispatch,fwd,4523.520000
DeepSeekV32MoE13Combine,fwd,3359.340000
DeepSeekV32MoE14Dispatch,fwd,4799.400000
DeepSeekV32MoE14Combine,fwd,3646.660000
DeepSeekV32MoE15Dispatch,fwd,5335.090000
DeepSeekV32MoE15Combine,fwd,4267.240000
DeepSeekV32MoE16Dispatch,fwd,7789.050000
DeepSeekV32MoE16Combine,fwd,6646.390000
DeepSeekV32MoE17Dispatch,fwd,6078.240000
DeepSeekV32MoE17Combine,fwd,4957.390000
DeepSeekV32MoE18Dispatch,fwd,5141.140000
DeepSeekV32MoE18Combine,fwd,4192.470000
DeepSeekV32MoE19Dispatch,fwd,5330.860000
DeepSeekV32MoE19Combine,fwd,4161.190000
DeepSeekV32MoE20Dispatch,fwd,5396.820000
DeepSeekV32MoE20Combine,fwd,4166.530000
DeepSeekV32MoE21Dispatch,fwd,5752.240000
DeepSeekV32MoE21Combine,fwd,4564.480000
DeepSeekV32MoE22Dispatch,fwd,8741.440000
DeepSeekV32MoE22Combine,fwd,7624.020000
DeepSeekV32MoE23Dispatch,fwd,6621.690000
DeepSeekV32MoE23Combine,fwd,5494.050000
DeepSeekV32MoE24Dispatch,fwd,9552.440000
DeepSeekV32MoE24Combine,fwd,8383.760000
DeepSeekV32MoE25Dispatch,fwd,6758.410000
DeepSeekV32MoE25Combine,fwd,5595.820000
DeepSeekV32MoE26Dispatch,fwd,5161.300000
DeepSeekV32MoE26Combine,fwd,4153.870000
DeepSeekV32MoE27Dispatch,fwd,6937.000000
DeepSeekV32MoE27Combine,fwd,5896.730000
DeepSeekV32MoE28Dispatch,fwd,5049.450000
DeepSeekV32MoE28Combine,fwd,3874.780000
DeepSeekV32MoE29Dispatch,fwd,5539.760000
DeepSeekV32MoE29Combine,fwd,4295.620000
DeepSeekV32MoE30Dispatch,fwd,5238.500000
DeepSeekV32MoE30Combine,fwd,4095.120000
DeepSeekV32MoE31Dispatch,fwd,5147.450000
DeepSeekV32MoE31Combine,fwd,3937.950000
DeepSeekV32MoE32Dispatch,fwd,6544.590000
DeepSeekV32MoE32Combine,fwd,5339.930000
DeepSeekV32MoE33Dispatch,fwd,5086.870000
DeepSeekV32MoE33Combine,fwd,3809.780000
DeepSeekV32MoE34Dispatch,fwd,5359.740000
DeepSeekV32MoE34Combine,fwd,4240.990000
DeepSeekV32MoE35Dispatch,fwd,5807.550000
DeepSeekV32MoE35Combine,fwd,4651.910000
DeepSeekV32MoE36Dispatch,fwd,6123.750000
DeepSeekV32MoE36Combine,fwd,5137.600000
DeepSeekV32MoE37Dispatch,fwd,6067.400000
DeepSeekV32MoE37Combine,fwd,4855.160000
DeepSeekV32MoE38Dispatch,fwd,6774.890000
DeepSeekV32MoE38Combine,fwd,5535.090000
DeepSeekV32MoE39Dispatch,fwd,6300.140000
DeepSeekV32MoE39Combine,fwd,5167.350000
DeepSeekV32MoE40Dispatch,fwd,6016.590000
DeepSeekV32MoE40Combine,fwd,4917.110000
DeepSeekV32MoE41Dispatch,fwd,5473.600000
DeepSeekV32MoE41Combine,fwd,4407.160000
DeepSeekV32MoE42Dispatch,fwd,4874.970000
DeepSeekV32MoE42Combine,fwd,3628.810000
DeepSeekV32MoE43Dispatch,fwd,6869.450000
DeepSeekV32MoE43Combine,fwd,5648.010000
DeepSeekV32MoE44Dispatch,fwd,5012.260000
DeepSeekV32MoE44Combine,fwd,3765.380000
DeepSeekV32MoE45Dispatch,fwd,6523.950000
DeepSeekV32MoE45Combine,fwd,5371.210000
DeepSeekV32MoE46Dispatch,fwd,5676.960000
DeepSeekV32MoE46Combine,fwd,4601.710000
DeepSeekV32MoE47Dispatch,fwd,6251.470000
DeepSeekV32MoE47Combine,fwd,5055.200000
DeepSeekV32MoE48Dispatch,fwd,5079.050000
DeepSeekV32MoE48Combine,fwd,4301.570000
DeepSeekV32MoE49Dispatch,fwd,4508.120000
DeepSeekV32MoE49Combine,fwd,3567.620000
DeepSeekV32MoE50Dispatch,fwd,5165.350000
DeepSeekV32MoE50Combine,fwd,3927.120000
DeepSeekV32MoE51Dispatch,fwd,4844.000000
DeepSeekV32MoE51Combine,fwd,3807.800000
DeepSeekV32MoE52Dispatch,fwd,5953.160000
DeepSeekV32MoE52Combine,fwd,4820.060000
DeepSeekV32MoE53Dispatch,fwd,5693.980000
DeepSeekV32MoE53Combine,fwd,4582.940000
DeepSeekV32MoE54Dispatch,fwd,6176.960000
DeepSeekV32MoE54Combine,fwd,5016.450000
DeepSeekV32MoE55Dispatch,fwd,6340.690000
DeepSeekV32MoE55Combine,fwd,5124.170000
DeepSeekV32MoE56Dispatch,fwd,5784.620000
DeepSeekV32MoE56Combine,fwd,4537.320000
DeepSeekV32MoE57Dispatch,fwd,5135.470000
DeepSeekV32MoE57Combine,fwd,3941.620000
DeepSeekV32MoE58Dispatch,fwd,6015.110000
DeepSeekV32MoE58Combine,fwd,4857.140000
DeepSeekV32MoE59Dispatch,fwd,5796.380000
DeepSeekV32MoE59Combine,fwd,4483.910000
DeepSeekV32MoE60Dispatch,fwd,6160.640000
DeepSeekV32MoE60Combine,fwd,4943.510000
DeepSeekV32MoE61Dispatch,fwd,5675.710000
DeepSeekV32MoE61Combine,fwd,4495.660000
