layer,phase,duration_us
DeepSeekV32MoE04Dispatch,fwd,12023.360000
DeepSeekV32MoE04Combine,fwd,12023.360000
DeepSeekV32MoE05Dispatch,fwd,5769.090000
DeepSeekV32MoE05Combine,fwd,5769.090000
DeepSeekV32MoE06Dispatch,fwd,6448.720000
DeepSeekV32MoE06Combine,fwd,6448.720000
DeepSeekV32MoE07Dispatch,fwd,5827.690000
DeepSeekV32MoE07Combine,fwd,5827.690000
DeepSeekV32MoE08Dispatch,fwd,7252.250000
DeepSeekV32MoE08Combine,fwd,7252.250000
DeepSeekV32MoE09Dispatch,fwd,8035.330000
DeepSeekV32MoE09Combine,fwd,8035.330000
DeepSeekV32MoE10Dispatch,fwd,7778.980000
DeepSeekV32MoE10Combine,fwd,7778.980000
DeepSeekV32MoE11Dispatch,fwd,8967.030000
DeepSeekV32MoE11Combine,fwd,8967.030000
DeepSeekV32MoE12Dispatch,fwd,6622.060000
DeepSeekV32MoE12Combine,fwd,6622.060000
DeepSeekV32MoE13Dispatch,fwd,7748.770000
DeepSeekV32MoE13Combine,fwd,7748.770000
DeepSeekV32MoE14Dispatch,fwd,7978.870000
DeepSeekV32MoE14Combine,fwd,7978.870000
DeepSeekV32MoE15Dispatch,fwd,9715.320000
DeepSeekV32MoE15Combine,fwd,9715.320000
DeepSeekV32MoE16Dispatch,fwd,13354.080000
DeepSeekV32MoE16Combine,fwd,14457.140000
DeepSeekV32MoE17Dispatch,fwd,11147.210000
DeepSeekV32MoE17Combine,fwd,11147.210000
DeepSeekV32MoE18Dispatch,fwd,9617.050000
DeepSeekV32MoE18Combine,fwd,9617.050000
DeepSeekV32MoE19Dispatch,fwd,9265.490000
DeepSeekV32MoE19Combine,fwd,9265.490000
DeepSeekV32MoE20Dispatch,fwd,9084.830000
DeepSeekV32MoE20Combine,fwd,9084.830000
DeepSeekV32MoE21Dispatch,fwd,10012.870000
DeepSeekV32MoE21Combine,fwd,10012.870000
DeepSeekV32MoE22Dispatch,fwd,12145.280000
DeepSeekV32MoE22Combine,fwd,16638.230000
DeepSeekV32MoE23Dispatch,fwd,11454.360000
DeepSeekV32MoE23Combine,fwd,12086.230000
DeepSeekV32MoE24Dispatch,fwd,12778.520000
DeepSeekV32MoE24Combine,fwd,18338.060000
DeepSeekV32MoE25Dispatch,fwd,11788.840000
DeepSeekV32MoE25Combine,fwd,12288.870000
DeepSeekV32MoE26Dispatch,fwd,9558.770000
DeepSeekV32MoE26Combine,fwd,9558.770000
DeepSeekV32MoE27Dispatch,fwd,12060.440000
DeepSeekV32MoE27Combine,fwd,12897.080000
DeepSeekV32MoE28Dispatch,fwd,8777.820000
DeepSeekV32MoE28Combine,fwd,8777.820000
DeepSeekV32MoE29Dispatch,fwd,9371.080000
DeepSeekV32MoE29Combine,fwd,9371.080000
