layer,phase,duration_us
DeepSeekV32MoE04Dispatch,fwd,41.910000
DeepSeekV32MoE04Combine,fwd,40.150000
DeepSeekV32MoE05Dispatch,fwd,46.600000
DeepSeekV32MoE05Combine,fwd,42.370000
DeepSeekV32MoE06Dispatch,fwd,49.780000
DeepSeekV32MoE06Combine,fwd,44.340000
DeepSeekV32MoE07Dispatch,fwd,46.530000
DeepSeekV32MoE07Combine,fwd,42.950000
DeepSeekV32MoE08Dispatch,fwd,51.300000
DeepSeekV32MoE08Combine,fwd,45.660000
DeepSeekV32MoE09Dispatch,fwd,60.870000
DeepSeekV32MoE09Combine,fwd,48.050000
DeepSeekV32MoE10Dispatch,fwd,52.160000
DeepSeekV32MoE10Combine,fwd,47.660000
DeepSeekV32MoE11Dispatch,fwd,58.800000
DeepSeekV32MoE11Combine,fwd,49.430000
DeepSeekV32MoE12Dispatch,fwd,54.310000
DeepSeekV32MoE12Combine,fwd,50.050000
DeepSeekV32MoE13Dispatch,fwd,48.930000
DeepSeekV32MoE13Combine,fwd,43.630000
DeepSeekV32MoE14Dispatch,fwd,63.140000
DeepSeekV32MoE14Combine,fwd,60.780000
DeepSeekV32MoE15Dispatch,fwd,74.810000
DeepSeekV32MoE15Combine,fwd,62.830000
DeepSeekV32MoE16Dispatch,fwd,66.680000
DeepSeekV32MoE16Combine,fwd,56.750000
DeepSeekV32MoE17Dispatch,fwd,61.320000
DeepSeekV32MoE17Combine,fwd,53.250000
DeepSeekV32MoE18Dispatch,fwd,52.750000
DeepSeekV32MoE18Combine,fwd,45.860000
DeepSeekV32MoE19Dispatch,fwd,62.180000
DeepSeekV32MoE19Combine,fwd,51.970000
DeepSeekV32MoE20Dispatch,fwd,58.060000
DeepSeekV32MoE20Combine,fwd,48.780000
DeepSeekV32MoE21Dispatch,fwd,59.250000
DeepSeekV32MoE21Combine,fwd,48.470000
DeepSeekV32MoE22Dispatch,fwd,67.280000
DeepSeekV32MoE22Combine,fwd,55.470000
DeepSeekV32MoE23Dispatch,fwd,62.790000
DeepSeekV32MoE23Combine,fwd,53.160000
DeepSeekV32MoE24Dispatch,fwd,57.470000
DeepSeekV32MoE24Combine,fwd,47.290000
DeepSeekV32MoE25Dispatch,fwd,61.420000
DeepSeekV32MoE25Combine,fwd,53.500000
DeepSeekV32MoE26Dispatch,fwd,61.230000
DeepSeekV32MoE26Combine,fwd,57.890000
DeepSeekV32MoE27Dispatch,fwd,64.860000
DeepSeekV32MoE27Combine,fwd,58.570000
DeepSeekV32MoE28Dispatch,fwd,73.330000
DeepSeekV32MoE28Combine,fwd,58.920000
DeepSeekV32MoE29Dispatch,fwd,59.800000
DeepSeekV32MoE29Combine,fwd,49.410000
DeepSeekV32MoE30Dispatch,fwd,59.980000
DeepSeekV32MoE30Combine,fwd,52.980000
DeepSeekV32MoE31Dispatch,fwd,60.880000
DeepSeekV32MoE31Combine,fwd,49.250000
DeepSeekV32MoE32Dispatch,fwd,63.600000
DeepSeekV32MoE32Combine,fwd,52.490000
DeepSeekV32MoE33Dispatch,fwd,64.780000
DeepSeekV32MoE33Combine,fwd,53.960000
DeepSeekV32MoE34Dispatch,fwd,59.570000
DeepSeekV32MoE34Combine,fwd,48.610000
DeepSeekV32MoE35Dispatch,fwd,59.300000
DeepSeekV32MoE35Combine,fwd,52.650000
DeepSeekV32MoE36Dispatch,fwd,64.550000
DeepSeekV32MoE36Combine,fwd,54.230000
DeepSeekV32MoE37Dispatch,fwd,67.650000
DeepSeekV32MoE37Combine,fwd,57.420000
DeepSeekV32MoE38Dispatch,fwd,71.510000
DeepSeekV32MoE38Combine,fwd,56.910000
DeepSeekV32MoE39Dispatch,fwd,62.140000
DeepSeekV32MoE39Combine,fwd,55.090000
DeepSeekV32MoE40Dispatch,fwd,60.990000
DeepSeekV32MoE40Combine,fwd,48.940000
DeepSeekV32MoE41Dispatch,fwd,57.120000
DeepSeekV32MoE41Combine,fwd,51.240000
DeepSeekV32MoE42Dispatch,fwd,69.500000
DeepSeekV32MoE42Combine,fwd,60.500000
DeepSeekV32MoE43Dispatch,fwd,55.140000
DeepSeekV32MoE43Combine,fwd,46.440000
DeepSeekV32MoE44Dispatch,fwd,55.250000
DeepSeekV32MoE44Combine,fwd,48.220000
DeepSeekV32MoE45Dispatch,fwd,55.590000
DeepSeekV32MoE45Combine,fwd,48.610000
DeepSeekV32MoE46Dispatch,fwd,53.690000
DeepSeekV32MoE46Combine,fwd,46.600000
DeepSeekV32MoE47Dispatch,fwd,62.120000
DeepSeekV32MoE47Combine,fwd,53.070000
DeepSeekV32MoE48Dispatch,fwd,64.200000
DeepSeekV32MoE48Combine,fwd,50.890000
DeepSeekV32MoE49Dispatch,fwd,56.270000
DeepSeekV32MoE49Combine,fwd,47.830000
DeepSeekV32MoE50Dispatch,fwd,50.920000
DeepSeekV32MoE50Combine,fwd,45.150000
DeepSeekV32MoE51Dispatch,fwd,64.600000
DeepSeekV32MoE51Combine,fwd,53.960000
DeepSeekV32MoE52Dispatch,fwd,55.790000
DeepSeekV32MoE52Combine,fwd,48.120000
DeepSeekV32MoE53Dispatch,fwd,56.200000
DeepSeekV32MoE53Combine,fwd,47.270000
DeepSeekV32MoE54Dispatch,fwd,57.060000
DeepSeekV32MoE54Combine,fwd,46.480000
DeepSeekV32MoE55Dispatch,fwd,52.790000
DeepSeekV32MoE55Combine,fwd,44.500000
DeepSeekV32MoE56Dispatch,fwd,60.630000
DeepSeekV32MoE56Combine,fwd,48.900000
DeepSeekV32MoE57Dispatch,fwd,68.970000
DeepSeekV32MoE57Combine,fwd,57.450000
DeepSeekV32MoE58Dispatch,fwd,53.820000
DeepSeekV32MoE58Combine,fwd,44.630000
DeepSeekV32MoE59Dispatch,fwd,58.000000
DeepSeekV32MoE59Combine,fwd,49.470000
DeepSeekV32MoE60Dispatch,fwd,50.850000
DeepSeekV32MoE60Combine,fwd,46.360000
DeepSeekV32MoE61Dispatch,fwd,56.820000
DeepSeekV32MoE61Combine,fwd,47.780000
