layer,phase,duration_us
DeepSeekV32MoE04Dispatch,fwd,71.700000
DeepSeekV32MoE04Combine,fwd,70.040000
DeepSeekV32MoE05Dispatch,fwd,70.230000
DeepSeekV32MoE05Combine,fwd,73.610000
DeepSeekV32MoE06Dispatch,fwd,80.560000
DeepSeekV32MoE06Combine,fwd,80.600000
DeepSeekV32MoE07Dispatch,fwd,77.920000
DeepSeekV32MoE07Combine,fwd,79.510000
DeepSeekV32MoE08Dispatch,fwd,80.630000
DeepSeekV32MoE08Combine,fwd,81.640000
DeepSeekV32MoE09Dispatch,fwd,101.090000
DeepSeekV32MoE09Combine,fwd,118.040000
DeepSeekV32MoE10Dispatch,fwd,91.020000
DeepSeekV32MoE10Combine,fwd,91.560000
DeepSeekV32MoE11Dispatch,fwd,109.750000
DeepSeekV32MoE11Combine,fwd,97.950000
DeepSeekV32MoE12Dispatch,fwd,87.000000
DeepSeekV32MoE12Combine,fwd,96.300000
DeepSeekV32MoE13Dispatch,fwd,97.440000
DeepSeekV32MoE13Combine,fwd,84.410000
DeepSeekV32MoE14Dispatch,fwd,129.440000
DeepSeekV32MoE14Combine,fwd,122.210000
DeepSeekV32MoE15Dispatch,fwd,170.560000
DeepSeekV32MoE15Combine,fwd,129.060000
DeepSeekV32MoE16Dispatch,fwd,114.500000
DeepSeekV32MoE16Combine,fwd,126.490000
DeepSeekV32MoE17Dispatch,fwd,115.610000
DeepSeekV32MoE17Combine,fwd,103.290000
DeepSeekV32MoE18Dispatch,fwd,98.790000
DeepSeekV32MoE18Combine,fwd,94.370000
DeepSeekV32MoE19Dispatch,fwd,97.530000
DeepSeekV32MoE19Combine,fwd,106.690000
DeepSeekV32MoE20Dispatch,fwd,105.720000
DeepSeekV32MoE20Combine,fwd,96.990000
DeepSeekV32MoE21Dispatch,fwd,101.090000
DeepSeekV32MoE21Combine,fwd,94.400000
DeepSeekV32MoE22Dispatch,fwd,135.910000
DeepSeekV32MoE22Combine,fwd,125.760000
DeepSeekV32MoE23Dispatch,fwd,135.010000
DeepSeekV32MoE23Combine,fwd,107.600000
DeepSeekV32MoE24Dispatch,fwd,116.530000
DeepSeekV32MoE24Combine,fwd,101.380000
DeepSeekV32MoE25Dispatch,fwd,102.920000
DeepSeekV32MoE25Combine,fwd,109.590000
DeepSeekV32MoE26Dispatch,fwd,98.870000
DeepSeekV32MoE26Combine,fwd,125.440000
DeepSeekV32MoE27Dispatch,fwd,113.920000
DeepSeekV32MoE27Combine,fwd,143.280000
DeepSeekV32MoE28Dispatch,fwd,118.770000
DeepSeekV32MoE28Combine,fwd,144.220000
DeepSeekV32MoE29Dispatch,fwd,108.610000
DeepSeekV32MoE29Combine,fwd,117.610000
DeepSeekV32MoE30Dispatch,fwd,103.870000
DeepSeekV32MoE30Combine,fwd,104.340000
DeepSeekV32MoE31Dispatch,fwd,90.740000
DeepSeekV32MoE31Combine,fwd,92.700000
DeepSeekV32MoE32Dispatch,fwd,101.580000
DeepSeekV32MoE32Combine,fwd,123.600000
DeepSeekV32MoE33Dispatch,fwd,99.930000
DeepSeekV32MoE33Combine,fwd,123.630000
DeepSeekV32MoE34Dispatch,fwd,110.800000
DeepSeekV32MoE34Combine,fwd,121.500000
DeepSeekV32MoE35Dispatch,fwd,109.630000
DeepSeekV32MoE35Combine,fwd,100.230000
DeepSeekV32MoE36Dispatch,fwd,129.690000
DeepSeekV32MoE36Combine,fwd,137.340000
DeepSeekV32MoE37Dispatch,fwd,153.350000
DeepSeekV32MoE37Combine,fwd,113.500000
DeepSeekV32MoE38Dispatch,fwd,138.830000
DeepSeekV32MoE38Combine,fwd,121.690000
DeepSeekV32MoE39Dispatch,fwd,123.790000
DeepSeekV32MoE39Combine,fwd,103.090000
DeepSeekV32MoE40Dispatch,fwd,100.320000
DeepSeekV32MoE40Combine,fwd,142.780000
DeepSeekV32MoE41Dispatch,fwd,96.920000
DeepSeekV32MoE41Combine,fwd,88.530000
DeepSeekV32MoE42Dispatch,fwd,146.210000
DeepSeekV32MoE42Combine,fwd,182.730000
