layer,phase,duration_us
DeepSeekV32MoE04Dispatch,fwd,388.510000
DeepSeekV32MoE04Combine,fwd,380.170000
DeepSeekV32MoE05Dispatch,fwd,397.590000
DeepSeekV32MoE05Combine,fwd,401.010000
DeepSeekV32MoE06Dispatch,fwd,403.440000
DeepSeekV32MoE06Combine,fwd,403.250000
DeepSeekV32MoE07Dispatch,fwd,437.790000
DeepSeekV32MoE07Combine,fwd,427.120000
DeepSeekV32MoE08Dispatch,fwd,470.760000
DeepSeekV32MoE08Combine,fwd,462.910000
DeepSeekV32MoE09Dispatch,fwd,561.560000
DeepSeekV32MoE09Combine,fwd,591.210000
DeepSeekV32MoE10Dispatch,fwd,539.870000
DeepSeekV32MoE10Combine,fwd,559.740000
DeepSeekV32MoE11Dispatch,fwd,505.100000
DeepSeekV32MoE11Combine,fwd,557.360000
DeepSeekV32MoE12Dispatch,fwd,469.800000
DeepSeekV32MoE12Combine,fwd,530.520000
DeepSeekV32MoE13Dispatch,fwd,448.270000
DeepSeekV32MoE13Combine,fwd,421.420000
DeepSeekV32MoE14Dispatch,fwd,665.040000
DeepSeekV32MoE14Combine,fwd,680.580000
DeepSeekV32MoE15Dispatch,fwd,826.510000
DeepSeekV32MoE15Combine,fwd,856.850000
DeepSeekV32MoE16Dispatch,fwd,820.590000
DeepSeekV32MoE16Combine,fwd,808.360000
DeepSeekV32MoE17Dispatch,fwd,766.110000
DeepSeekV32MoE17Combine,fwd,608.670000
DeepSeekV32MoE18Dispatch,fwd,500.840000
DeepSeekV32MoE18Combine,fwd,549.040000
DeepSeekV32MoE19Dispatch,fwd,682.940000
DeepSeekV32MoE19Combine,fwd,683.690000
DeepSeekV32MoE20Dispatch,fwd,547.330000
DeepSeekV32MoE20Combine,fwd,608.490000
DeepSeekV32MoE21Dispatch,fwd,633.830000
DeepSeekV32MoE21Combine,fwd,642.570000
DeepSeekV32MoE22Dispatch,fwd,702.320000
DeepSeekV32MoE22Combine,fwd,609.540000
DeepSeekV32MoE23Dispatch,fwd,727.470000
DeepSeekV32MoE23Combine,fwd,675.430000
DeepSeekV32MoE24Dispatch,fwd,622.570000
DeepSeekV32MoE24Combine,fwd,703.330000
DeepSeekV32MoE25Dispatch,fwd,641.030000
DeepSeekV32MoE25Combine,fwd,634.650000
DeepSeekV32MoE26Dispatch,fwd,647.140000
DeepSeekV32MoE26Combine,fwd,670.300000
DeepSeekV32MoE27Dispatch,fwd,719.400000
DeepSeekV32MoE27Combine,fwd,750.390000
DeepSeekV32MoE28Dispatch,fwd,893.540000
DeepSeekV32MoE28Combine,fwd,834.810000
DeepSeekV32MoE29Dispatch,fwd,784.860000
DeepSeekV32MoE29Combine,fwd,720.870000
DeepSeekV32MoE30Dispatch,fwd,629.920000
DeepSeekV32MoE30Combine,fwd,572.540000
DeepSeekV32MoE31Dispatch,fwd,659.900000
DeepSeekV32MoE31Combine,fwd,618.820000
DeepSeekV32MoE32Dispatch,fwd,578.850000
DeepSeekV32MoE32Combine,fwd,579.450000
DeepSeekV32MoE33Dispatch,fwd,589.230000
DeepSeekV32MoE33Combine,fwd,557.960000
DeepSeekV32MoE34Dispatch,fwd,683.790000
DeepSeekV32MoE34Combine,fwd,708.070000
DeepSeekV32MoE35Dispatch,fwd,610.100000
DeepSeekV32MoE35Combine,fwd,651.600000
DeepSeekV32MoE36Dispatch,fwd,708.460000
DeepSeekV32MoE36Combine,fwd,841.220000
DeepSeekV32MoE37Dispatch,fwd,782.210000
DeepSeekV32MoE37Combine,fwd,724.690000
DeepSeekV32MoE38Dispatch,fwd,749.920000
DeepSeekV32MoE38Combine,fwd,872.510000
DeepSeekV32MoE39Dispatch,fwd,642.250000
DeepSeekV32MoE39Combine,fwd,672.370000
DeepSeekV32MoE40Dispatch,fwd,704.880000
DeepSeekV32MoE40Combine,fwd,592.360000
DeepSeekV32MoE41Dispatch,fwd,584.310000
DeepSeekV32MoE41Combine,fwd,569.160000
DeepSeekV32MoE42Dispatch,fwd,878.360000
DeepSeekV32MoE42Combine,fwd,1066.030000
DeepSeekV32MoE43Dispatch,fwd,552.510000
DeepSeekV32MoE43Combine,fwd,567.680000
DeepSeekV32MoE44Dispatch,fwd,601.720000
DeepSeekV32MoE44Combine,fwd,591.040000
DeepSeekV32MoE45Dispatch,fwd,591.260000
DeepSeekV32MoE45Combine,fwd,628.680000
DeepSeekV32MoE46Dispatch,fwd,496.050000
DeepSeekV32MoE46Combine,fwd,516.870000
DeepSeekV32MoE47Dispatch,fwd,677.130000
DeepSeekV32MoE47Combine,fwd,676.990000
DeepSeekV32MoE48Dispatch,fwd,742.180000
DeepSeekV32MoE48Combine,fwd,621.770000
DeepSeekV32MoE49Dispatch,fwd,583.380000
DeepSeekV32MoE49Combine,fwd,550.640000
DeepSeekV32MoE50Dispatch,fwd,531.710000
DeepSeekV32MoE50Combine,fwd,499.490000
DeepSeekV32MoE51Dispatch,fwd,761.360000
DeepSeekV32MoE51Combine,fwd,788.970000
DeepSeekV32MoE52Dispatch,fwd,645.770000
DeepSeekV32MoE52Combine,fwd,647.760000
DeepSeekV32MoE53Dispatch,fwd,484.520000
DeepSeekV32MoE53Combine,fwd,450.020000
DeepSeekV32MoE54Dispatch,fwd,551.960000
DeepSeekV32MoE54Combine,fwd,520.660000
DeepSeekV32MoE55Dispatch,fwd,512.010000
DeepSeekV32MoE55Combine,fwd,509.020000
DeepSeekV32MoE56Dispatch,fwd,603.150000
DeepSeekV32MoE56Combine,fwd,556.370000
DeepSeekV32MoE57Dispatch,fwd,902.530000
DeepSeekV32MoE57Combine,fwd,931.820000
DeepSeekV32MoE58Dispatch,fwd,490.340000
DeepSeekV32MoE58Combine,fwd,549.940000
DeepSeekV32MoE59Dispatch,fwd,523.490000
DeepSeekV32MoE59Combine,fwd,474.520000
DeepSeekV32MoE60Dispatch,fwd,473.760000
DeepSeekV32MoE60Combine,fwd,474.220000
DeepSeekV32MoE61Dispatch,fwd,534.660000
DeepSeekV32MoE61Combine,fwd,548.320000
