layer,phase,duration_us
DeepSeekV32MoE04Dispatch,fwd,130.150000
DeepSeekV32MoE04Combine,fwd,112.370000
DeepSeekV32MoE05Dispatch,fwd,109.590000
DeepSeekV32MoE05Combine,fwd,100.160000
DeepSeekV32MoE06Dispatch,fwd,111.800000
DeepSeekV32MoE06Combine,fwd,99.510000
DeepSeekV32MoE07Dispatch,fwd,102.770000
DeepSeekV32MoE07Combine,fwd,95.530000
DeepSeekV32MoE08Dispatch,fwd,117.250000
DeepSeekV32MoE08Combine,fwd,98.480000
DeepSeekV32MoE09Dispatch,fwd,114.560000
DeepSeekV32MoE09Combine,fwd,105.330000
DeepSeekV32MoE10Dispatch,fwd,119.400000
DeepSeekV32MoE10Combine,fwd,107.910000
DeepSeekV32MoE11Dispatch,fwd,124.180000
DeepSeekV32MoE11Combine,fwd,109.990000
DeepSeekV32MoE12Dispatch,fwd,108.250000
DeepSeekV32MoE12Combine,fwd,106.570000
DeepSeekV32MoE13Dispatch,fwd,126.490000
DeepSeekV32MoE13Combine,fwd,102.390000
DeepSeekV32MoE14Dispatch,fwd,127.210000
DeepSeekV32MoE14Combine,fwd,108.470000
DeepSeekV32MoE15Dispatch,fwd,150.690000
DeepSeekV32MoE15Combine,fwd,125.990000
DeepSeekV32MoE16Dispatch,fwd,149.740000
DeepSeekV32MoE16Combine,fwd,130.280000
DeepSeekV32MoE17Dispatch,fwd,125.310000
DeepSeekV32MoE17Combine,fwd,114.330000
DeepSeekV32MoE18Dispatch,fwd,123.010000
DeepSeekV32MoE18Combine,fwd,114.590000
DeepSeekV32MoE19Dispatch,fwd,125.020000
DeepSeekV32MoE19Combine,fwd,105.570000
DeepSeekV32MoE20Dispatch,fwd,131.590000
DeepSeekV32MoE20Combine,fwd,114.390000
DeepSeekV32MoE21Dispatch,fwd,121.940000
DeepSeekV32MoE21Combine,fwd,121.650000
DeepSeekV32MoE22Dispatch,fwd,158.430000
DeepSeekV32MoE22Combine,fwd,154.220000
DeepSeekV32MoE23Dispatch,fwd,141.490000
DeepSeekV32MoE23Combine,fwd,133.240000
DeepSeekV32MoE24Dispatch,fwd,170.790000
DeepSeekV32MoE24Combine,fwd,153.040000
DeepSeekV32MoE25Dispatch,fwd,139.870000
DeepSeekV32MoE25Combine,fwd,131.800000
DeepSeekV32MoE26Dispatch,fwd,134.130000
DeepSeekV32MoE26Combine,fwd,109.050000
DeepSeekV32MoE27Dispatch,fwd,150.460000
DeepSeekV32MoE27Combine,fwd,124.120000
DeepSeekV32MoE28Dispatch,fwd,122.910000
DeepSeekV32MoE28Combine,fwd,112.430000
DeepSeekV32MoE29Dispatch,fwd,135.170000
DeepSeekV32MoE29Combine,fwd,121.170000
DeepSeekV32MoE30Dispatch,fwd,129.790000
DeepSeekV32MoE30Combine,fwd,117.080000
DeepSeekV32MoE31Dispatch,fwd,130.710000
DeepSeekV32MoE31Combine,fwd,115.220000
DeepSeekV32MoE32Dispatch,fwd,137.480000
DeepSeekV32MoE32Combine,fwd,119.000000
DeepSeekV32MoE33Dispatch,fwd,127.010000
DeepSeekV32MoE33Combine,fwd,115.470000
DeepSeekV32MoE34Dispatch,fwd,134.760000
DeepSeekV32MoE34Combine,fwd,107.890000
DeepSeekV32MoE35Dispatch,fwd,125.220000
DeepSeekV32MoE35Combine,fwd,116.490000
DeepSeekV32MoE36Dispatch,fwd,138.290000
DeepSeekV32MoE36Combine,fwd,116.710000
DeepSeekV32MoE37Dispatch,fwd,138.770000
DeepSeekV32MoE37Combine,fwd,113.830000
DeepSeekV32MoE38Dispatch,fwd,140.420000
DeepSeekV32MoE38Combine,fwd,126.110000
DeepSeekV32MoE39Dispatch,fwd,134.440000
DeepSeekV32MoE39Combine,fwd,114.010000
DeepSeekV32MoE40Dispatch,fwd,137.280000
DeepSeekV32MoE40Combine,fwd,113.740000
DeepSeekV32MoE41Dispatch,fwd,131.630000
DeepSeekV32MoE41Combine,fwd,114.310000
DeepSeekV32MoE42Dispatch,fwd,123.510000
DeepSeekV32MoE42Combine,fwd,104.920000
DeepSeekV32MoE43Dispatch,fwd,151.800000
DeepSeekV32MoE43Combine,fwd,127.910000
DeepSeekV32MoE44Dispatch,fwd,124.490000
DeepSeekV32MoE44Combine,fwd,106.530000
DeepSeekV32MoE45Dispatch,fwd,133.950000
DeepSeekV32MoE45Combine,fwd,117.510000
DeepSeekV32MoE46Dispatch,fwd,127.430000
DeepSeekV32MoE46Combine,fwd,117.280000
DeepSeekV32MoE47Dispatch,fwd,137.620000
DeepSeekV32MoE47Combine,fwd,118.000000
DeepSeekV32MoE48Dispatch,fwd,130.780000
DeepSeekV32MoE48Combine,fwd,121.010000
DeepSeekV32MoE49Dispatch,fwd,116.590000
DeepSeekV32MoE49Combine,fwd,114.600000
DeepSeekV32MoE50Dispatch,fwd,126.030000
DeepSeekV32MoE50Combine,fwd,111.560000
DeepSeekV32MoE51Dispatch,fwd,131.450000
DeepSeekV32MoE51Combine,fwd,111.950000
DeepSeekV32MoE52Dispatch,fwd,133.520000
DeepSeekV32MoE52Combine,fwd,127.520000
DeepSeekV32MoE53Dispatch,fwd,134.610000
DeepSeekV32MoE53Combine,fwd,120.650000
DeepSeekV32MoE54Dispatch,fwd,136.180000
DeepSeekV32MoE54Combine,fwd,108.490000
DeepSeekV32MoE55Dispatch,fwd,129.550000
DeepSeekV32MoE55Combine,fwd,125.560000
DeepSeekV32MoE56Dispatch,fwd,130.720000
DeepSeekV32MoE56Combine,fwd,118.710000
DeepSeekV32MoE57Dispatch,fwd,129.460000
DeepSeekV32MoE57Combine,fwd,108.800000
DeepSeekV32MoE58Dispatch,fwd,130.940000
DeepSeekV32MoE58Combine,fwd,126.990000
DeepSeekV32MoE59Dispatch,fwd,128.390000
DeepSeekV32MoE59Combine,fwd,117.250000
DeepSeekV32MoE60Dispatch,fwd,127.870000
DeepSeekV32MoE60Combine,fwd,119.700000
DeepSeekV32MoE61Dispatch,fwd,132.450000
DeepSeekV32MoE61Combine,fwd,107.980000
