layer,phase,duration_us
DeepSeekV32MoE04Dispatch,fwd,256.480000
DeepSeekV32MoE04Combine,fwd,220.120000
DeepSeekV32MoE05Dispatch,fwd,188.060000
DeepSeekV32MoE05Combine,fwd,190.300000
DeepSeekV32MoE06Dispatch,fwd,181.460000
DeepSeekV32MoE06Combine,fwd,178.520000
DeepSeekV32MoE07Dispatch,fwd,192.320000
DeepSeekV32MoE07Combine,fwd,195.640000
DeepSeekV32MoE08Dispatch,fwd,214.030000
DeepSeekV32MoE08Combine,fwd,205.620000
DeepSeekV32MoE09Dispatch,fwd,205.480000
DeepSeekV32MoE09Combine,fwd,202.480000
DeepSeekV32MoE10Dispatch,fwd,210.490000
DeepSeekV32MoE10Combine,fwd,234.330000
DeepSeekV32MoE11Dispatch,fwd,233.170000
DeepSeekV32MoE11Combine,fwd,247.740000
DeepSeekV32MoE12Dispatch,fwd,197.540000
DeepSeekV32MoE12Combine,fwd,190.360000
DeepSeekV32MoE13Dispatch,fwd,246.310000
DeepSeekV32MoE13Combine,fwd,214.330000
DeepSeekV32MoE14Dispatch,fwd,220.770000
DeepSeekV32MoE14Combine,fwd,215.150000
DeepSeekV32MoE15Dispatch,fwd,245.550000
DeepSeekV32MoE15Combine,fwd,264.690000
DeepSeekV32MoE16Dispatch,fwd,244.840000
DeepSeekV32MoE16Combine,fwd,288.460000
DeepSeekV32MoE17Dispatch,fwd,305.560000
DeepSeekV32MoE17Combine,fwd,246.200000
DeepSeekV32MoE18Dispatch,fwd,232.850000
DeepSeekV32MoE18Combine,fwd,211.310000
DeepSeekV32MoE19Dispatch,fwd,197.830000
DeepSeekV32MoE19Combine,fwd,228.390000
DeepSeekV32MoE20Dispatch,fwd,226.540000
DeepSeekV32MoE20Combine,fwd,293.300000
DeepSeekV32MoE21Dispatch,fwd,227.740000
DeepSeekV32MoE21Combine,fwd,245.300000
DeepSeekV32MoE22Dispatch,fwd,345.580000
DeepSeekV32MoE22Combine,fwd,358.560000
DeepSeekV32MoE23Dispatch,fwd,323.140000
DeepSeekV32MoE23Combine,fwd,244.150000
DeepSeekV32MoE24Dispatch,fwd,433.090000
DeepSeekV32MoE24Combine,fwd,374.400000
DeepSeekV32MoE25Dispatch,fwd,241.980000
DeepSeekV32MoE25Combine,fwd,266.630000
DeepSeekV32MoE26Dispatch,fwd,237.720000
DeepSeekV32MoE26Combine,fwd,290.500000
DeepSeekV32MoE27Dispatch,fwd,256.890000
DeepSeekV32MoE27Combine,fwd,318.470000
DeepSeekV32MoE28Dispatch,fwd,230.240000
DeepSeekV32MoE28Combine,fwd,252.710000
DeepSeekV32MoE29Dispatch,fwd,282.870000
DeepSeekV32MoE29Combine,fwd,294.170000
DeepSeekV32MoE30Dispatch,fwd,231.510000
DeepSeekV32MoE30Combine,fwd,238.540000
DeepSeekV32MoE31Dispatch,fwd,248.610000
DeepSeekV32MoE31Combine,fwd,220.860000
DeepSeekV32MoE32Dispatch,fwd,239.280000
DeepSeekV32MoE32Combine,fwd,258.740000
DeepSeekV32MoE33Dispatch,fwd,224.720000
DeepSeekV32MoE33Combine,fwd,237.860000
DeepSeekV32MoE34Dispatch,fwd,232.030000
DeepSeekV32MoE34Combine,fwd,292.180000
DeepSeekV32MoE35Dispatch,fwd,276.400000
DeepSeekV32MoE35Combine,fwd,238.110000
DeepSeekV32MoE36Dispatch,fwd,296.440000
DeepSeekV32MoE36Combine,fwd,254.090000
DeepSeekV32MoE37Dispatch,fwd,220.590000
DeepSeekV32MoE37Combine,fwd,261.890000
DeepSeekV32MoE38Dispatch,fwd,273.510000
DeepSeekV32MoE38Combine,fwd,280.870000
DeepSeekV32MoE39Dispatch,fwd,261.620000
DeepSeekV32MoE39Combine,fwd,258.320000
DeepSeekV32MoE40Dispatch,fwd,292.740000
DeepSeekV32MoE40Combine,fwd,241.820000
DeepSeekV32MoE41Dispatch,fwd,222.260000
DeepSeekV32MoE41Combine,fwd,335.910000
DeepSeekV32MoE42Dispatch,fwd,238.150000
DeepSeekV32MoE42Combine,fwd,273.070000
DeepSeekV32MoE43Dispatch,fwd,271.400000
DeepSeekV32MoE43Combine,fwd,251.530000
DeepSeekV32MoE44Dispatch,fwd,232.010000
DeepSeekV32MoE44Combine,fwd,259.100000
DeepSeekV32MoE45Dispatch,fwd,286.530000
DeepSeekV32MoE45Combine,fwd,259.360000
DeepSeekV32MoE46Dispatch,fwd,262.520000
DeepSeekV32MoE46Combine,fwd,225.940000
DeepSeekV32MoE47Dispatch,fwd,275.060000
DeepSeekV32MoE47Combine,fwd,248.280000
DeepSeekV32MoE48Dispatch,fwd,238.420000
DeepSeekV32MoE48Combine,fwd,302.590000
DeepSeekV32MoE49Dispatch,fwd,218.170000
DeepSeekV32MoE49Combine,fwd,296.920000
DeepSeekV32MoE50Dispatch,fwd,250.290000
DeepSeekV32MoE50Combine,fwd,259.460000
DeepSeekV32MoE51Dispatch,fwd,261.730000
DeepSeekV32MoE51Combine,fwd,250.660000
DeepSeekV32MoE52Dispatch,fwd,262.550000
DeepSeekV32MoE52Combine,fwd,244.030000
DeepSeekV32MoE53Dispatch,fwd,225.730000
DeepSeekV32MoE53Combine,fwd,325.190000
DeepSeekV32MoE54Dispatch,fwd,247.040000
DeepSeekV32MoE54Combine,fwd,277.710000
DeepSeekV32MoE55Dispatch,fwd,261.460000
DeepSeekV32MoE55Combine,fwd,329.610000
DeepSeekV32MoE56Dispatch,fwd,229.590000
DeepSeekV32MoE56Combine,fwd,270.330000
DeepSeekV32MoE57Dispatch,fwd,227.690000
DeepSeekV32MoE57Combine,fwd,252.700000
DeepSeekV32MoE58Dispatch,fwd,223.260000
DeepSeekV32MoE58Combine,fwd,278.650000
DeepSeekV32MoE59Dispatch,fwd,247.730000
DeepSeekV32MoE59Combine,fwd,265.790000
DeepSeekV32MoE60Dispatch,fwd,221.220000
DeepSeekV32MoE60Combine,fwd,279.020000
DeepSeekV32MoE61Dispatch,fwd,202.230000
DeepSeekV32MoE61Combine,fwd,271.900000
