layer,phase,duration_us
DeepSeekV32MoE04Dispatch,fwd,1420.890000
DeepSeekV32MoE04Combine,fwd,1401.980000
DeepSeekV32MoE05Dispatch,fwd,1016.440000
DeepSeekV32MoE05Combine,fwd,937.440000
DeepSeekV32MoE06Dispatch,fwd,1039.920000
DeepSeekV32MoE06Combine,fwd,1016.970000
DeepSeekV32MoE07Dispatch,fwd,1032.460000
DeepSeekV32MoE07Combine,fwd,979.470000
DeepSeekV32MoE08Dispatch,fwd,1146.470000
DeepSeekV32MoE08Combine,fwd,1095.750000
DeepSeekV32MoE09Dispatch,fwd,1168.440000
DeepSeekV32MoE09Combine,fwd,1189.880000
DeepSeekV32MoE10Dispatch,fwd,1232.940000
DeepSeekV32MoE10Combine,fwd,1130.680000
DeepSeekV32MoE11Dispatch,fwd,1244.060000
DeepSeekV32MoE11Combine,fwd,1200.060000
DeepSeekV32MoE12Dispatch,fwd,1096.480000
DeepSeekV32MoE12Combine,fwd,1108.260000
DeepSeekV32MoE13Dispatch,fwd,1327.050000
DeepSeekV32MoE13Combine,fwd,1209.270000
DeepSeekV32MoE14Dispatch,fwd,1221.540000
DeepSeekV32MoE14Combine,fwd,1171.680000
DeepSeekV32MoE15Dispatch,fwd,1387.420000
DeepSeekV32MoE15Combine,fwd,1354.870000
DeepSeekV32MoE16Dispatch,fwd,1793.540000
DeepSeekV32MoE16Combine,fwd,1809.560000
DeepSeekV32MoE17Dispatch,fwd,1739.260000
DeepSeekV32MoE17Combine,fwd,1729.600000
DeepSeekV32MoE18Dispatch,fwd,1537.410000
DeepSeekV32MoE18Combine,fwd,1485.620000
DeepSeekV32MoE19Dispatch,fwd,1418.750000
DeepSeekV32MoE19Combine,fwd,1366.080000
DeepSeekV32MoE20Dispatch,fwd,1494.960000
DeepSeekV32MoE20Combine,fwd,1327.070000
DeepSeekV32MoE21Dispatch,fwd,1514.060000
DeepSeekV32MoE21Combine,fwd,1409.110000
DeepSeekV32MoE22Dispatch,fwd,1962.880000
DeepSeekV32MoE22Combine,fwd,2017.840000
DeepSeekV32MoE23Dispatch,fwd,1483.690000
DeepSeekV32MoE23Combine,fwd,1628.020000
DeepSeekV32MoE24Dispatch,fwd,2383.320000
DeepSeekV32MoE24Combine,fwd,2338.640000
DeepSeekV32MoE25Dispatch,fwd,1655.540000
DeepSeekV32MoE25Combine,fwd,1631.400000
DeepSeekV32MoE26Dispatch,fwd,1345.220000
DeepSeekV32MoE26Combine,fwd,1442.060000
DeepSeekV32MoE27Dispatch,fwd,1788.740000
DeepSeekV32MoE27Combine,fwd,1806.790000
DeepSeekV32MoE28Dispatch,fwd,1520.350000
DeepSeekV32MoE28Combine,fwd,1353.650000
DeepSeekV32MoE29Dispatch,fwd,1548.450000
DeepSeekV32MoE29Combine,fwd,1304.620000
DeepSeekV32MoE30Dispatch,fwd,1399.500000
DeepSeekV32MoE30Combine,fwd,1295.940000
DeepSeekV32MoE31Dispatch,fwd,1257.460000
DeepSeekV32MoE31Combine,fwd,1292.770000
DeepSeekV32MoE32Dispatch,fwd,1319.210000
DeepSeekV32MoE32Combine,fwd,1318.130000
DeepSeekV32MoE33Dispatch,fwd,1257.450000
DeepSeekV32MoE33Combine,fwd,1262.570000
DeepSeekV32MoE34Dispatch,fwd,1387.330000
DeepSeekV32MoE34Combine,fwd,1431.790000
DeepSeekV32MoE35Dispatch,fwd,1400.360000
DeepSeekV32MoE35Combine,fwd,1471.750000
DeepSeekV32MoE36Dispatch,fwd,1748.690000
DeepSeekV32MoE36Combine,fwd,1712.190000
DeepSeekV32MoE37Dispatch,fwd,1553.490000
DeepSeekV32MoE37Combine,fwd,1571.060000
DeepSeekV32MoE38Dispatch,fwd,1415.580000
DeepSeekV32MoE38Combine,fwd,1654.420000
DeepSeekV32MoE39Dispatch,fwd,1760.450000
DeepSeekV32MoE39Combine,fwd,1640.400000
DeepSeekV32MoE40Dispatch,fwd,1638.420000
DeepSeekV32MoE40Combine,fwd,1469.610000
DeepSeekV32MoE41Dispatch,fwd,1556.540000
DeepSeekV32MoE41Combine,fwd,1396.310000
DeepSeekV32MoE42Dispatch,fwd,1303.520000
DeepSeekV32MoE42Combine,fwd,1390.420000
DeepSeekV32MoE43Dispatch,fwd,1506.730000
DeepSeekV32MoE43Combine,fwd,1562.860000
DeepSeekV32MoE44Dispatch,fwd,1381.940000
DeepSeekV32MoE44Combine,fwd,1334.990000
DeepSeekV32MoE45Dispatch,fwd,1718.100000
DeepSeekV32MoE45Combine,fwd,1676.570000
DeepSeekV32MoE46Dispatch,fwd,1495.160000
DeepSeekV32MoE46Combine,fwd,1484.010000
DeepSeekV32MoE47Dispatch,fwd,1485.230000
DeepSeekV32MoE47Combine,fwd,1409.330000
DeepSeekV32MoE48Dispatch,fwd,1541.380000
DeepSeekV32MoE48Combine,fwd,1530.360000
DeepSeekV32MoE49Dispatch,fwd,1453.240000
DeepSeekV32MoE49Combine,fwd,1270.670000
DeepSeekV32MoE50Dispatch,fwd,1399.640000
DeepSeekV32MoE50Combine,fwd,1244.160000
DeepSeekV32MoE51Dispatch,fwd,1380.490000
DeepSeekV32MoE51Combine,fwd,1305.350000
DeepSeekV32MoE52Dispatch,fwd,1524.510000
DeepSeekV32MoE52Combine,fwd,1593.680000
DeepSeekV32MoE53Dispatch,fwd,1441.310000
DeepSeekV32MoE53Combine,fwd,1662.190000
DeepSeekV32MoE54Dispatch,fwd,1595.160000
DeepSeekV32MoE54Combine,fwd,1514.080000
DeepSeekV32MoE55Dispatch,fwd,1748.330000
DeepSeekV32MoE55Combine,fwd,1601.720000
DeepSeekV32MoE56Dispatch,fwd,1426.800000
DeepSeekV32MoE56Combine,fwd,1335.010000
DeepSeekV32MoE57Dispatch,fwd,1415.540000
DeepSeekV32MoE57Combine,fwd,1345.060000
DeepSeekV32MoE58Dispatch,fwd,1773.670000
DeepSeekV32MoE58Combine,fwd,1709.400000
DeepSeekV32MoE59Dispatch,fwd,1563.340000
DeepSeekV32MoE59Combine,fwd,1602.410000
DeepSeekV32MoE60Dispatch,fwd,1621.540000
DeepSeekV32MoE60Combine,fwd,1525.200000
DeepSeekV32MoE61Dispatch,fwd,1270.090000
DeepSeekV32MoE61Combine,fwd,1241.610000
