layer,phase,duration_us
DeepSeekV32MoE04Dispatch,fwd,189.750000
DeepSeekV32MoE04Combine,fwd,186.020000
DeepSeekV32MoE05Dispatch,fwd,200.250000
DeepSeekV32MoE05Combine,fwd,199.450000
DeepSeekV32MoE06Dispatch,fwd,201.460000
DeepSeekV32MoE06Combine,fwd,205.900000
DeepSeekV32MoE07Dispatch,fwd,204.220000
DeepSeekV32MoE07Combine,fwd,200.190000
DeepSeekV32MoE08Dispatch,fwd,211.530000
DeepSeekV32MoE08Combine,fwd,210.200000
DeepSeekV32MoE09Dispatch,fwd,289.010000
DeepSeekV32MoE09Combine,fwd,288.710000
DeepSeekV32MoE10Dispatch,fwd,232.630000
DeepSeekV32MoE10Combine,fwd,233.870000
DeepSeekV32MoE11Dispatch,fwd,270.120000
DeepSeekV32MoE11Combine,fwd,276.520000
DeepSeekV32MoE12Dispatch,fwd,239.010000
DeepSeekV32MoE12Combine,fwd,234.430000
DeepSeekV32MoE13Dispatch,fwd,217.260000
DeepSeekV32MoE13Combine,fwd,214.930000
DeepSeekV32MoE14Dispatch,fwd,299.860000
DeepSeekV32MoE14Combine,fwd,304.260000
DeepSeekV32MoE15Dispatch,fwd,348.150000
DeepSeekV32MoE15Combine,fwd,337.960000
DeepSeekV32MoE16Dispatch,fwd,340.510000
DeepSeekV32MoE16Combine,fwd,324.700000
DeepSeekV32MoE17Dispatch,fwd,306.850000
DeepSeekV32MoE17Combine,fwd,297.000000
DeepSeekV32MoE18Dispatch,fwd,245.660000
DeepSeekV32MoE18Combine,fwd,245.200000
DeepSeekV32MoE19Dispatch,fwd,288.210000
DeepSeekV32MoE19Combine,fwd,286.530000
DeepSeekV32MoE20Dispatch,fwd,254.840000
DeepSeekV32MoE20Combine,fwd,264.410000
DeepSeekV32MoE21Dispatch,fwd,313.930000
DeepSeekV32MoE21Combine,fwd,307.900000
DeepSeekV32MoE22Dispatch,fwd,326.560000
DeepSeekV32MoE22Combine,fwd,335.810000
DeepSeekV32MoE23Dispatch,fwd,344.550000
DeepSeekV32MoE23Combine,fwd,346.780000
DeepSeekV32MoE24Dispatch,fwd,275.380000
