layer,phase,duration_us
DeepSeekV32MoE04Dispatch,fwd,126.300000
DeepSeekV32MoE04Combine,fwd,116.710000
DeepSeekV32MoE05Dispatch,fwd,126.400000
DeepSeekV32MoE05Combine,fwd,115.750000
DeepSeekV32MoE06Dispatch,fwd,124.670000
DeepSeekV32MoE06Combine,fwd,112.750000
DeepSeekV32MoE07Dispatch,fwd,134.260000
DeepSeekV32MoE07Combine,fwd,109.570000
DeepSeekV32MoE08Dispatch,fwd,146.300000
DeepSeekV32MoE08Combine,fwd,110.430000
DeepSeekV32MoE09Dispatch,fwd,158.820000
DeepSeekV32MoE09Combine,fwd,162.320000
DeepSeekV32MoE10Dispatch,fwd,143.540000
DeepSeekV32MoE10Combine,fwd,117.500000
DeepSeekV32MoE11Dispatch,fwd,151.910000
DeepSeekV32MoE11Combine,fwd,154.230000
DeepSeekV32MoE12Dispatch,fwd,152.480000
DeepSeekV32MoE12Combine,fwd,113.270000
DeepSeekV32MoE13Dispatch,fwd,136.230000
DeepSeekV32MoE13Combine,fwd,107.480000
DeepSeekV32MoE14Dispatch,fwd,166.460000
DeepSeekV32MoE14Combine,fwd,170.250000
DeepSeekV32MoE15Dispatch,fwd,205.920000
DeepSeekV32MoE15Combine,fwd,206.570000
DeepSeekV32MoE16Dispatch,fwd,186.610000
DeepSeekV32MoE16Combine,fwd,186.580000
DeepSeekV32MoE17Dispatch,fwd,161.170000
DeepSeekV32MoE17Combine,fwd,164.760000
DeepSeekV32MoE18Dispatch,fwd,145.750000
DeepSeekV32MoE18Combine,fwd,117.960000
DeepSeekV32MoE19Dispatch,fwd,158.150000
DeepSeekV32MoE19Combine,fwd,160.490000
DeepSeekV32MoE20Dispatch,fwd,122.320000
DeepSeekV32MoE20Combine,fwd,121.380000
DeepSeekV32MoE21Dispatch,fwd,177.360000
DeepSeekV32MoE21Combine,fwd,178.040000
DeepSeekV32MoE22Dispatch,fwd,195.800000
DeepSeekV32MoE22Combine,fwd,195.890000
DeepSeekV32MoE23Dispatch,fwd,199.480000
DeepSeekV32MoE23Combine,fwd,203.370000
