layer,phase,duration_us
DeepSeekV32MoE04Dispatch,fwd,242.360000
DeepSeekV32MoE04Combine,fwd,242.360000
DeepSeekV32MoE05Dispatch,fwd,259.750000
DeepSeekV32MoE05Combine,fwd,259.750000
DeepSeekV32MoE06Dispatch,fwd,256.850000
DeepSeekV32MoE06Combine,fwd,260.060000
DeepSeekV32MoE07Dispatch,fwd,259.600000
DeepSeekV32MoE07Combine,fwd,264.330000
DeepSeekV32MoE08Dispatch,fwd,272.420000
DeepSeekV32MoE08Combine,fwd,279.290000
DeepSeekV32MoE09Dispatch,fwd,263.570000
DeepSeekV32MoE09Combine,fwd,377.550000
DeepSeekV32MoE10Dispatch,fwd,273.330000
DeepSeekV32MoE10Combine,fwd,301.870000
DeepSeekV32MoE11Dispatch,fwd,316.360000
DeepSeekV32MoE11Combine,fwd,351.920000
DeepSeekV32MoE12Dispatch,fwd,280.350000
DeepSeekV32MoE12Combine,fwd,302.170000
DeepSeekV32MoE13Dispatch,fwd,267.840000
DeepSeekV32MoE13Combine,fwd,282.030000
DeepSeekV32MoE14Dispatch,fwd,277.300000
DeepSeekV32MoE14Combine,fwd,399.520000
DeepSeekV32MoE15Dispatch,fwd,284.630000
DeepSeekV32MoE15Combine,fwd,466.050000
DeepSeekV32MoE16Dispatch,fwd,339.250000
DeepSeekV32MoE16Combine,fwd,452.620000
DeepSeekV32MoE17Dispatch,fwd,295.920000
DeepSeekV32MoE17Combine,fwd,395.250000
DeepSeekV32MoE18Dispatch,fwd,292.560000
DeepSeekV32MoE18Combine,fwd,306.750000
DeepSeekV32MoE19Dispatch,fwd,258.380000
DeepSeekV32MoE19Combine,fwd,374.500000
DeepSeekV32MoE20Dispatch,fwd,295.310000
DeepSeekV32MoE20Combine,fwd,327.500000
DeepSeekV32MoE21Dispatch,fwd,296.220000
DeepSeekV32MoE21Combine,fwd,398.910000
DeepSeekV32MoE22Dispatch,fwd,313.620000
DeepSeekV32MoE22Combine,fwd,413.100000
DeepSeekV32MoE23Dispatch,fwd,280.960000
DeepSeekV32MoE23Combine,fwd,452.620000
DeepSeekV32MoE24Dispatch,fwd,273.030000
DeepSeekV32MoE24Combine,fwd,358.330000
DeepSeekV32MoE25Dispatch,fwd,275.470000
DeepSeekV32MoE25Combine,fwd,381.520000
DeepSeekV32MoE26Dispatch,fwd,287.370000
DeepSeekV32MoE26Combine,fwd,378.010000
DeepSeekV32MoE27Dispatch,fwd,277.000000
DeepSeekV32MoE27Combine,fwd,393.730000
DeepSeekV32MoE28Dispatch,fwd,323.080000
DeepSeekV32MoE28Combine,fwd,527.390000
DeepSeekV32MoE29Dispatch,fwd,257.770000
DeepSeekV32MoE29Combine,fwd,417.830000
DeepSeekV32MoE30Dispatch,fwd,278.520000
DeepSeekV32MoE30Combine,fwd,368.400000
DeepSeekV32MoE31Dispatch,fwd,319.720000
DeepSeekV32MoE31Combine,fwd,366.720000
DeepSeekV32MoE32Dispatch,fwd,311.790000
DeepSeekV32MoE32Combine,fwd,371.300000
DeepSeekV32MoE33Dispatch,fwd,314.840000
DeepSeekV32MoE33Combine,fwd,401.970000
DeepSeekV32MoE34Dispatch,fwd,295.310000
DeepSeekV32MoE34Combine,fwd,379.080000
DeepSeekV32MoE35Dispatch,fwd,304.160000
DeepSeekV32MoE35Combine,fwd,371.750000
DeepSeekV32MoE36Dispatch,fwd,272.420000
DeepSeekV32MoE36Combine,fwd,425.550000
DeepSeekV32MoE37Dispatch,fwd,316.360000
DeepSeekV32MoE37Combine,fwd,416.310000
DeepSeekV32MoE38Dispatch,fwd,294.700000
DeepSeekV32MoE38Combine,fwd,504.810000
DeepSeekV32MoE39Dispatch,fwd,284.020000
DeepSeekV32MoE39Combine,fwd,396.780000
DeepSeekV32MoE40Dispatch,fwd,285.540000
DeepSeekV32MoE40Combine,fwd,370.840000
DeepSeekV32MoE41Dispatch,fwd,287.070000
DeepSeekV32MoE41Combine,fwd,369.010000
DeepSeekV32MoE42Dispatch,fwd,300.190000
DeepSeekV32MoE42Combine,fwd,542.040000
DeepSeekV32MoE43Dispatch,fwd,278.830000
DeepSeekV32MoE43Combine,fwd,353.750000
DeepSeekV32MoE44Dispatch,fwd,271.200000
DeepSeekV32MoE44Combine,fwd,364.890000
DeepSeekV32MoE45Dispatch,fwd,293.780000
DeepSeekV32MoE45Combine,fwd,363.820000
DeepSeekV32MoE46Dispatch,fwd,281.270000
DeepSeekV32MoE46Combine,fwd,327.810000
DeepSeekV32MoE47Dispatch,fwd,313.920000
DeepSeekV32MoE47Combine,fwd,415.700000
DeepSeekV32MoE48Dispatch,fwd,292.250000
DeepSeekV32MoE48Combine,fwd,388.840000
DeepSeekV32MoE49Dispatch,fwd,305.990000
DeepSeekV32MoE49Combine,fwd,343.370000
DeepSeekV32MoE50Dispatch,fwd,296.830000
DeepSeekV32MoE50Combine,fwd,333.000000
DeepSeekV32MoE51Dispatch,fwd,299.580000
DeepSeekV32MoE51Combine,fwd,449.270000
DeepSeekV32MoE52Dispatch,fwd,267.230000
DeepSeekV32MoE52Combine,fwd,340.630000
DeepSeekV32MoE53Dispatch,fwd,266.930000
DeepSeekV32MoE53Combine,fwd,310.110000
DeepSeekV32MoE54Dispatch,fwd,290.730000
DeepSeekV32MoE54Combine,fwd,331.780000
DeepSeekV32MoE55Dispatch,fwd,273.940000
DeepSeekV32MoE55Combine,fwd,333.690000
DeepSeekV32MoE56Dispatch,fwd,297.140000
DeepSeekV32MoE56Combine,fwd,363.820000
