layer,phase,duration_us
DeepSeekV32MoE04Dispatch,fwd,1032.270000
DeepSeekV32MoE04Combine,fwd,1014.290000
DeepSeekV32MoE05Dispatch,fwd,893.590000
DeepSeekV32MoE05Combine,fwd,907.390000
DeepSeekV32MoE06Dispatch,fwd,921.730000
DeepSeekV32MoE06Combine,fwd,908.040000
DeepSeekV32MoE07Dispatch,fwd,887.900000
DeepSeekV32MoE07Combine,fwd,883.060000
DeepSeekV32MoE08Dispatch,fwd,1215.720000
DeepSeekV32MoE08Combine,fwd,1278.270000
DeepSeekV32MoE09Dispatch,fwd,1563.650000
DeepSeekV32MoE09Combine,fwd,1595.220000
DeepSeekV32MoE10Dispatch,fwd,1124.630000
DeepSeekV32MoE10Combine,fwd,1061.890000
DeepSeekV32MoE11Dispatch,fwd,1085.220000
DeepSeekV32MoE11Combine,fwd,1019.520000
DeepSeekV32MoE12Dispatch,fwd,1115.170000
DeepSeekV32MoE12Combine,fwd,1096.130000
DeepSeekV32MoE13Dispatch,fwd,1353.640000
DeepSeekV32MoE13Combine,fwd,1331.580000
DeepSeekV32MoE14Dispatch,fwd,1103.580000
DeepSeekV32MoE14Combine,fwd,1135.060000
DeepSeekV32MoE15Dispatch,fwd,1191.130000
DeepSeekV32MoE15Combine,fwd,1221.750000
DeepSeekV32MoE16Dispatch,fwd,1575.310000
DeepSeekV32MoE16Combine,fwd,1659.980000
DeepSeekV32MoE17Dispatch,fwd,1687.220000
DeepSeekV32MoE17Combine,fwd,1488.400000
DeepSeekV32MoE18Dispatch,fwd,1476.660000
DeepSeekV32MoE18Combine,fwd,1484.650000
DeepSeekV32MoE19Dispatch,fwd,1098.650000
DeepSeekV32MoE19Combine,fwd,1095.170000
DeepSeekV32MoE20Dispatch,fwd,1153.230000
DeepSeekV32MoE20Combine,fwd,1152.890000
DeepSeekV32MoE21Dispatch,fwd,1367.230000
DeepSeekV32MoE21Combine,fwd,1413.120000
DeepSeekV32MoE22Dispatch,fwd,1827.910000
DeepSeekV32MoE22Combine,fwd,1683.350000
DeepSeekV32MoE23Dispatch,fwd,1954.860000
DeepSeekV32MoE23Combine,fwd,1843.610000
DeepSeekV32MoE24Dispatch,fwd,1468.840000
DeepSeekV32MoE24Combine,fwd,1310.330000
DeepSeekV32MoE25Dispatch,fwd,1495.610000
DeepSeekV32MoE25Combine,fwd,1343.250000
DeepSeekV32MoE26Dispatch,fwd,1450.730000
DeepSeekV32MoE26Combine,fwd,1508.720000
DeepSeekV32MoE27Dispatch,fwd,1939.440000
DeepSeekV32MoE27Combine,fwd,2005.920000
DeepSeekV32MoE28Dispatch,fwd,1719.450000
DeepSeekV32MoE28Combine,fwd,1692.450000
DeepSeekV32MoE29Dispatch,fwd,1386.510000
DeepSeekV32MoE29Combine,fwd,1278.540000
DeepSeekV32MoE30Dispatch,fwd,1735.330000
DeepSeekV32MoE30Combine,fwd,1558.520000
DeepSeekV32MoE31Dispatch,fwd,1460.500000
DeepSeekV32MoE31Combine,fwd,1444.830000
DeepSeekV32MoE32Dispatch,fwd,1356.600000
DeepSeekV32MoE32Combine,fwd,1343.490000
DeepSeekV32MoE33Dispatch,fwd,1451.540000
DeepSeekV32MoE33Combine,fwd,1476.220000
DeepSeekV32MoE34Dispatch,fwd,1451.670000
DeepSeekV32MoE34Combine,fwd,1539.700000
DeepSeekV32MoE35Dispatch,fwd,1711.930000
DeepSeekV32MoE35Combine,fwd,1662.920000
DeepSeekV32MoE36Dispatch,fwd,2451.190000
DeepSeekV32MoE36Combine,fwd,2302.890000
DeepSeekV32MoE37Dispatch,fwd,1748.860000
DeepSeekV32MoE37Combine,fwd,1753.700000
DeepSeekV32MoE38Dispatch,fwd,1418.890000
DeepSeekV32MoE38Combine,fwd,1364.090000
DeepSeekV32MoE39Dispatch,fwd,1593.870000
DeepSeekV32MoE39Combine,fwd,1579.630000
DeepSeekV32MoE40Dispatch,fwd,1581.780000
DeepSeekV32MoE40Combine,fwd,1490.550000
DeepSeekV32MoE41Dispatch,fwd,1521.510000
DeepSeekV32MoE41Combine,fwd,1503.040000
DeepSeekV32MoE42Dispatch,fwd,1307.670000
DeepSeekV32MoE42Combine,fwd,1380.280000
DeepSeekV32MoE43Dispatch,fwd,1358.910000
DeepSeekV32MoE43Combine,fwd,1332.420000
DeepSeekV32MoE44Dispatch,fwd,1515.290000
DeepSeekV32MoE44Combine,fwd,1508.140000
DeepSeekV32MoE45Dispatch,fwd,1753.530000
DeepSeekV32MoE45Combine,fwd,1554.560000
DeepSeekV32MoE46Dispatch,fwd,1677.420000
DeepSeekV32MoE46Combine,fwd,1631.960000
DeepSeekV32MoE47Dispatch,fwd,1229.270000
DeepSeekV32MoE47Combine,fwd,1238.410000
DeepSeekV32MoE48Dispatch,fwd,1771.000000
DeepSeekV32MoE48Combine,fwd,1623.890000
DeepSeekV32MoE49Dispatch,fwd,1580.980000
DeepSeekV32MoE49Combine,fwd,1472.030000
DeepSeekV32MoE50Dispatch,fwd,1282.590000
DeepSeekV32MoE50Combine,fwd,1252.680000
DeepSeekV32MoE51Dispatch,fwd,1341.860000
DeepSeekV32MoE51Combine,fwd,1332.190000
DeepSeekV32MoE52Dispatch,fwd,1574.820000
DeepSeekV32MoE52Combine,fwd,1541.500000
DeepSeekV32MoE53Dispatch,fwd,1244.310000
DeepSeekV32MoE53Combine,fwd,1252.490000
DeepSeekV32MoE54Dispatch,fwd,1416.960000
DeepSeekV32MoE54Combine,fwd,1368.850000
DeepSeekV32MoE55Dispatch,fwd,2073.580000
DeepSeekV32MoE55Combine,fwd,1885.160000
DeepSeekV32MoE56Dispatch,fwd,1470.090000
DeepSeekV32MoE56Combine,fwd,1352.730000
DeepSeekV32MoE57Dispatch,fwd,1443.050000
DeepSeekV32MoE57Combine,fwd,1438.860000
DeepSeekV32MoE58Dispatch,fwd,2032.140000
DeepSeekV32MoE58Combine,fwd,1931.130000
DeepSeekV32MoE59Dispatch,fwd,1744.820000
DeepSeekV32MoE59Combine,fwd,1680.290000
DeepSeekV32MoE60Dispatch,fwd,1141.750000
DeepSeekV32MoE60Combine,fwd,1157.900000
DeepSeekV32MoE61Dispatch,fwd,1053.800000
DeepSeekV32MoE61Combine,fwd,1134.940000
