layer,phase,duration_us
DeepSeekV32MoE04Dispatch,fwd,430.860000
DeepSeekV32MoE04Combine,fwd,425.080000
DeepSeekV32MoE05Dispatch,fwd,406.160000
DeepSeekV32MoE05Combine,fwd,399.700000
DeepSeekV32MoE06Dispatch,fwd,402.490000
DeepSeekV32MoE06Combine,fwd,395.130000
DeepSeekV32MoE07Dispatch,fwd,403.220000
DeepSeekV32MoE07Combine,fwd,397.160000
DeepSeekV32MoE08Dispatch,fwd,618.890000
DeepSeekV32MoE08Combine,fwd,503.510000
DeepSeekV32MoE09Dispatch,fwd,897.450000
DeepSeekV32MoE09Combine,fwd,740.020000
DeepSeekV32MoE10Dispatch,fwd,485.810000
DeepSeekV32MoE10Combine,fwd,392.950000
DeepSeekV32MoE11Dispatch,fwd,502.080000
DeepSeekV32MoE11Combine,fwd,400.050000
DeepSeekV32MoE12Dispatch,fwd,468.610000
DeepSeekV32MoE12Combine,fwd,377.730000
DeepSeekV32MoE13Dispatch,fwd,498.810000
DeepSeekV32MoE13Combine,fwd,352.420000
DeepSeekV32MoE14Dispatch,fwd,515.920000
DeepSeekV32MoE14Combine,fwd,380.280000
DeepSeekV32MoE15Dispatch,fwd,541.760000
DeepSeekV32MoE15Combine,fwd,471.770000
DeepSeekV32MoE16Dispatch,fwd,743.270000
DeepSeekV32MoE16Combine,fwd,600.700000
DeepSeekV32MoE17Dispatch,fwd,781.250000
DeepSeekV32MoE17Combine,fwd,722.930000
DeepSeekV32MoE18Dispatch,fwd,567.190000
DeepSeekV32MoE18Combine,fwd,491.450000
DeepSeekV32MoE19Dispatch,fwd,432.600000
DeepSeekV32MoE19Combine,fwd,400.590000
DeepSeekV32MoE20Dispatch,fwd,421.180000
DeepSeekV32MoE20Combine,fwd,386.730000
DeepSeekV32MoE21Dispatch,fwd,504.040000
DeepSeekV32MoE21Combine,fwd,443.230000
DeepSeekV32MoE22Dispatch,fwd,764.350000
DeepSeekV32MoE22Combine,fwd,651.360000
DeepSeekV32MoE23Dispatch,fwd,858.080000
DeepSeekV32MoE23Combine,fwd,736.660000
DeepSeekV32MoE24Dispatch,fwd,703.860000
DeepSeekV32MoE24Combine,fwd,654.870000
DeepSeekV32MoE25Dispatch,fwd,639.750000
DeepSeekV32MoE25Combine,fwd,599.030000
DeepSeekV32MoE26Dispatch,fwd,541.520000
DeepSeekV32MoE26Combine,fwd,470.850000
DeepSeekV32MoE27Dispatch,fwd,950.230000
DeepSeekV32MoE27Combine,fwd,890.320000
DeepSeekV32MoE28Dispatch,fwd,552.000000
DeepSeekV32MoE28Combine,fwd,424.620000
DeepSeekV32MoE29Dispatch,fwd,526.710000
DeepSeekV32MoE29Combine,fwd,419.740000
DeepSeekV32MoE30Dispatch,fwd,726.330000
DeepSeekV32MoE30Combine,fwd,598.570000
DeepSeekV32MoE31Dispatch,fwd,656.860000
DeepSeekV32MoE31Combine,fwd,551.570000
DeepSeekV32MoE32Dispatch,fwd,591.390000
DeepSeekV32MoE32Combine,fwd,561.030000
DeepSeekV32MoE33Dispatch,fwd,660.330000
DeepSeekV32MoE33Combine,fwd,524.560000
DeepSeekV32MoE34Dispatch,fwd,558.800000
DeepSeekV32MoE34Combine,fwd,445.980000
DeepSeekV32MoE35Dispatch,fwd,650.980000
DeepSeekV32MoE35Combine,fwd,605.280000
DeepSeekV32MoE36Dispatch,fwd,1197.040000
DeepSeekV32MoE36Combine,fwd,1077.690000
DeepSeekV32MoE37Dispatch,fwd,766.380000
DeepSeekV32MoE37Combine,fwd,606.660000
DeepSeekV32MoE38Dispatch,fwd,502.730000
DeepSeekV32MoE38Combine,fwd,492.370000
DeepSeekV32MoE39Dispatch,fwd,566.580000
DeepSeekV32MoE39Combine,fwd,547.760000
DeepSeekV32MoE40Dispatch,fwd,733.740000
DeepSeekV32MoE40Combine,fwd,577.360000
DeepSeekV32MoE41Dispatch,fwd,672.010000
DeepSeekV32MoE41Combine,fwd,567.590000
DeepSeekV32MoE42Dispatch,fwd,660.510000
DeepSeekV32MoE42Combine,fwd,496.790000
DeepSeekV32MoE43Dispatch,fwd,620.170000
DeepSeekV32MoE43Combine,fwd,505.340000
DeepSeekV32MoE44Dispatch,fwd,529.370000
DeepSeekV32MoE44Combine,fwd,424.010000
DeepSeekV32MoE45Dispatch,fwd,827.000000
DeepSeekV32MoE45Combine,fwd,772.820000
DeepSeekV32MoE46Dispatch,fwd,639.910000
DeepSeekV32MoE46Combine,fwd,560.730000
DeepSeekV32MoE47Dispatch,fwd,503.910000
DeepSeekV32MoE47Combine,fwd,419.430000
DeepSeekV32MoE48Dispatch,fwd,835.130000
DeepSeekV32MoE48Combine,fwd,736.050000
DeepSeekV32MoE49Dispatch,fwd,732.850000
DeepSeekV32MoE49Combine,fwd,575.380000
DeepSeekV32MoE50Dispatch,fwd,546.860000
DeepSeekV32MoE50Combine,fwd,437.740000
DeepSeekV32MoE51Dispatch,fwd,485.710000
DeepSeekV32MoE51Combine,fwd,429.350000
DeepSeekV32MoE52Dispatch,fwd,711.310000
DeepSeekV32MoE52Combine,fwd,559.200000
DeepSeekV32MoE53Dispatch,fwd,485.490000
DeepSeekV32MoE53Combine,fwd,377.730000
DeepSeekV32MoE54Dispatch,fwd,561.670000
DeepSeekV32MoE54Combine,fwd,529.450000
DeepSeekV32MoE55Dispatch,fwd,1007.620000
DeepSeekV32MoE55Combine,fwd,918.550000
DeepSeekV32MoE56Dispatch,fwd,560.200000
DeepSeekV32MoE56Combine,fwd,489.320000
DeepSeekV32MoE57Dispatch,fwd,616.970000
DeepSeekV32MoE57Combine,fwd,470.700000
DeepSeekV32MoE58Dispatch,fwd,1009.910000
DeepSeekV32MoE58Combine,fwd,875.970000
DeepSeekV32MoE59Dispatch,fwd,620.570000
DeepSeekV32MoE59Combine,fwd,533.720000
DeepSeekV32MoE60Dispatch,fwd,424.770000
DeepSeekV32MoE60Combine,fwd,417.400000
DeepSeekV32MoE61Dispatch,fwd,505.510000
DeepSeekV32MoE61Combine,fwd,383.870000
