layer,phase,duration_us
DeepSeekV32MoE04Dispatch,fwd,1265.770000
DeepSeekV32MoE04Combine,fwd,1365.710000
DeepSeekV32MoE05Dispatch,fwd,1162.770000
DeepSeekV32MoE05Combine,fwd,1077.780000
DeepSeekV32MoE06Dispatch,fwd,1171.310000
DeepSeekV32MoE06Combine,fwd,1165.670000
DeepSeekV32MoE07Dispatch,fwd,1154.220000
DeepSeekV32MoE07Combine,fwd,1154.220000
DeepSeekV32MoE08Dispatch,fwd,1332.900000
DeepSeekV32MoE08Combine,fwd,1605.270000
DeepSeekV32MoE09Dispatch,fwd,1440.630000
DeepSeekV32MoE09Combine,fwd,1817.520000
DeepSeekV32MoE10Dispatch,fwd,1276.750000
DeepSeekV32MoE10Combine,fwd,1305.440000
DeepSeekV32MoE11Dispatch,fwd,1298.110000
DeepSeekV32MoE11Combine,fwd,1467.030000
DeepSeekV32MoE12Dispatch,fwd,1293.540000
DeepSeekV32MoE12Combine,fwd,1380.510000
DeepSeekV32MoE13Dispatch,fwd,1258.750000
DeepSeekV32MoE13Combine,fwd,1519.060000
DeepSeekV32MoE14Dispatch,fwd,1269.730000
DeepSeekV32MoE14Combine,fwd,1200.760000
DeepSeekV32MoE15Dispatch,fwd,1280.110000
DeepSeekV32MoE15Combine,fwd,1378.990000
DeepSeekV32MoE16Dispatch,fwd,1430.260000
DeepSeekV32MoE16Combine,fwd,1689.350000
DeepSeekV32MoE17Dispatch,fwd,1537.680000
DeepSeekV32MoE17Combine,fwd,1913.650000
DeepSeekV32MoE18Dispatch,fwd,1378.680000
DeepSeekV32MoE18Combine,fwd,1890.770000
DeepSeekV32MoE19Dispatch,fwd,1279.190000
DeepSeekV32MoE19Combine,fwd,1219.070000
DeepSeekV32MoE20Dispatch,fwd,1302.390000
DeepSeekV32MoE20Combine,fwd,1537.830000
DeepSeekV32MoE21Dispatch,fwd,1303.910000
DeepSeekV32MoE21Combine,fwd,1906.790000
DeepSeekV32MoE22Dispatch,fwd,1360.370000
DeepSeekV32MoE22Combine,fwd,1974.380000
DeepSeekV32MoE23Dispatch,fwd,1392.110000
DeepSeekV32MoE23Combine,fwd,2008.560000
DeepSeekV32MoE24Dispatch,fwd,1461.380000
DeepSeekV32MoE24Combine,fwd,1852.160000
DeepSeekV32MoE25Dispatch,fwd,1315.810000
DeepSeekV32MoE25Combine,fwd,1644.790000
DeepSeekV32MoE26Dispatch,fwd,1492.510000
DeepSeekV32MoE26Combine,fwd,1393.630000
DeepSeekV32MoE27Dispatch,fwd,1352.740000
DeepSeekV32MoE27Combine,fwd,2323.500000
DeepSeekV32MoE28Dispatch,fwd,1355.490000
DeepSeekV32MoE28Combine,fwd,2370.040000
DeepSeekV32MoE29Dispatch,fwd,1317.950000
DeepSeekV32MoE29Combine,fwd,1763.350000
DeepSeekV32MoE30Dispatch,fwd,1443.380000
DeepSeekV32MoE30Combine,fwd,1719.560000
DeepSeekV32MoE31Dispatch,fwd,1344.500000
DeepSeekV32MoE31Combine,fwd,1414.390000
DeepSeekV32MoE32Dispatch,fwd,1324.050000
DeepSeekV32MoE32Combine,fwd,1448.260000
DeepSeekV32MoE33Dispatch,fwd,1368.000000
DeepSeekV32MoE33Combine,fwd,1378.680000
DeepSeekV32MoE34Dispatch,fwd,1288.040000
DeepSeekV32MoE34Combine,fwd,1823.930000
DeepSeekV32MoE35Dispatch,fwd,1312.460000
DeepSeekV32MoE35Combine,fwd,1804.710000
DeepSeekV32MoE36Dispatch,fwd,1604.210000
DeepSeekV32MoE36Combine,fwd,2456.870000
DeepSeekV32MoE37Dispatch,fwd,1333.510000
DeepSeekV32MoE37Combine,fwd,1899.620000
DeepSeekV32MoE38Dispatch,fwd,1216.020000
DeepSeekV32MoE38Combine,fwd,1783.650000
DeepSeekV32MoE39Dispatch,fwd,1390.280000
DeepSeekV32MoE39Combine,fwd,1841.020000
DeepSeekV32MoE40Dispatch,fwd,1329.550000
DeepSeekV32MoE40Combine,fwd,1572.470000
DeepSeekV32MoE41Dispatch,fwd,1306.350000
DeepSeekV32MoE41Combine,fwd,1465.660000
DeepSeekV32MoE42Dispatch,fwd,1277.670000
DeepSeekV32MoE42Combine,fwd,1794.180000
DeepSeekV32MoE43Dispatch,fwd,1285.300000
DeepSeekV32MoE43Combine,fwd,1978.280000
DeepSeekV32MoE44Dispatch,fwd,1389.670000
DeepSeekV32MoE44Combine,fwd,1943.260000
DeepSeekV32MoE45Dispatch,fwd,1363.120000
DeepSeekV32MoE45Combine,fwd,2190.910000
DeepSeekV32MoE46Dispatch,fwd,1369.220000
