layer,phase,duration_us
DeepSeekV32MoE04Dispatch,fwd,9.390000
DeepSeekV32MoE04Combine,fwd,9.570000
DeepSeekV32MoE05Dispatch,fwd,9.490000
DeepSeekV32MoE05Combine,fwd,9.680000
DeepSeekV32MoE06Dispatch,fwd,9.720000
DeepSeekV32MoE06Combine,fwd,9.620000
DeepSeekV32MoE07Dispatch,fwd,9.520000
DeepSeekV32MoE07Combine,fwd,9.690000
DeepSeekV32MoE08Dispatch,fwd,9.610000
DeepSeekV32MoE08Combine,fwd,9.550000
DeepSeekV32MoE09Dispatch,fwd,9.500000
DeepSeekV32MoE09Combine,fwd,9.650000
DeepSeekV32MoE10Dispatch,fwd,9.460000
DeepSeekV32MoE10Combine,fwd,9.510000
DeepSeekV32MoE11Dispatch,fwd,9.920000
DeepSeekV32MoE11Combine,fwd,9.630000
DeepSeekV32MoE12Dispatch,fwd,9.470000
DeepSeekV32MoE12Combine,fwd,9.660000
DeepSeekV32MoE13Dispatch,fwd,9.580000
DeepSeekV32MoE13Combine,fwd,9.370000
DeepSeekV32MoE14Dispatch,fwd,9.980000
DeepSeekV32MoE14Combine,fwd,10.120000
DeepSeekV32MoE15Dispatch,fwd,9.650000
DeepSeekV32MoE15Combine,fwd,9.750000
DeepSeekV32MoE16Dispatch,fwd,9.580000
DeepSeekV32MoE16Combine,fwd,9.690000
DeepSeekV32MoE17Dispatch,fwd,9.350000
DeepSeekV32MoE17Combine,fwd,9.230000
DeepSeekV32MoE18Dispatch,fwd,9.230000
DeepSeekV32MoE18Combine,fwd,9.740000
DeepSeekV32MoE19Dispatch,fwd,9.790000
DeepSeekV32MoE19Combine,fwd,9.660000
DeepSeekV32MoE20Dispatch,fwd,9.380000
DeepSeekV32MoE20Combine,fwd,9.660000
DeepSeekV32MoE21Dispatch,fwd,9.530000
DeepSeekV32MoE21Combine,fwd,9.360000
DeepSeekV32MoE22Dispatch,fwd,9.900000
DeepSeekV32MoE22Combine,fwd,9.640000
DeepSeekV32MoE23Dispatch,fwd,10.050000
DeepSeekV32MoE23Combine,fwd,9.720000
DeepSeekV32MoE24Dispatch,fwd,9.300000
DeepSeekV32MoE24Combine,fwd,9.520000
DeepSeekV32MoE25Dispatch,fwd,9.510000
DeepSeekV32MoE25Combine,fwd,9.610000
DeepSeekV32MoE26Dispatch,fwd,9.880000
DeepSeekV32MoE26Combine,fwd,10.070000
DeepSeekV32MoE27Dispatch,fwd,10.020000
DeepSeekV32MoE27Combine,fwd,10.020000
DeepSeekV32MoE28Dispatch,fwd,10.130000
DeepSeekV32MoE28Combine,fwd,9.850000
DeepSeekV32MoE29Dispatch,fwd,9.250000
DeepSeekV32MoE29Combine,fwd,9.650000
DeepSeekV32MoE30Dispatch,fwd,9.590000
DeepSeekV32MoE30Combine,fwd,9.180000
DeepSeekV32MoE31Dispatch,fwd,9.880000
DeepSeekV32MoE31Combine,fwd,9.620000
DeepSeekV32MoE32Dispatch,fwd,9.570000
DeepSeekV32MoE32Combine,fwd,9.390000
DeepSeekV32MoE33Dispatch,fwd,9.670000
DeepSeekV32MoE33Combine,fwd,9.680000
DeepSeekV32MoE34Dispatch,fwd,9.230000
DeepSeekV32MoE34Combine,fwd,9.310000
DeepSeekV32MoE35Dispatch,fwd,9.450000
DeepSeekV32MoE35Combine,fwd,9.450000
DeepSeekV32MoE36Dispatch,fwd,9.740000
DeepSeekV32MoE36Combine,fwd,9.740000
DeepSeekV32MoE37Dispatch,fwd,10.090000
DeepSeekV32MoE37Combine,fwd,9.620000
DeepSeekV32MoE38Dispatch,fwd,9.570000
DeepSeekV32MoE38Combine,fwd,9.370000
DeepSeekV32MoE39Dispatch,fwd,9.710000
DeepSeekV32MoE39Combine,fwd,9.820000
DeepSeekV32MoE40Dispatch,fwd,9.630000
DeepSeekV32MoE40Combine,fwd,9.220000
DeepSeekV32MoE41Dispatch,fwd,9.400000
DeepSeekV32MoE41Combine,fwd,9.300000
DeepSeekV32MoE42Dispatch,fwd,9.860000
DeepSeekV32MoE42Combine,fwd,9.660000
DeepSeekV32MoE43Dispatch,fwd,9.470000
DeepSeekV32MoE43Combine,fwd,9.330000
DeepSeekV32MoE44Dispatch,fwd,9.300000
DeepSeekV32MoE44Combine,fwd,9.290000
DeepSeekV32MoE45Dispatch,fwd,9.700000
DeepSeekV32MoE45Combine,fwd,9.590000
DeepSeekV32MoE46Dispatch,fwd,9.350000
DeepSeekV32MoE46Combine,fwd,9.670000
DeepSeekV32MoE47Dispatch,fwd,10.030000
DeepSeekV32MoE47Combine,fwd,9.320000
DeepSeekV32MoE48Dispatch,fwd,9.660000
DeepSeekV32MoE48Combine,fwd,9.490000
DeepSeekV32MoE49Dispatch,fwd,9.340000
DeepSeekV32MoE49Combine,fwd,9.230000
DeepSeekV32MoE50Dispatch,fwd,9.340000
DeepSeekV32MoE50Combine,fwd,9.180000
DeepSeekV32MoE51Dispatch,fwd,9.700000
DeepSeekV32MoE51Combine,fwd,9.580000
DeepSeekV32MoE52Dispatch,fwd,9.810000
DeepSeekV32MoE52Combine,fwd,9.670000
DeepSeekV32MoE53Dispatch,fwd,9.790000
DeepSeekV32MoE53Combine,fwd,9.550000
DeepSeekV32MoE54Dispatch,fwd,9.390000
DeepSeekV32MoE54Combine,fwd,9.210000
DeepSeekV32MoE55Dispatch,fwd,9.510000
DeepSeekV32MoE55Combine,fwd,9.350000
