layer,phase,duration_us
DeepSeekV32MoE04Dispatch,fwd,16.350000
DeepSeekV32MoE04Combine,fwd,16.380000
DeepSeekV32MoE05Dispatch,fwd,16.550000
DeepSeekV32MoE05Combine,fwd,16.470000
DeepSeekV32MoE06Dispatch,fwd,16.660000
DeepSeekV32MoE06Combine,fwd,16.990000
DeepSeekV32MoE07Dispatch,fwd,16.410000
DeepSeekV32MoE07Combine,fwd,16.830000
DeepSeekV32MoE08Dispatch,fwd,16.810000
DeepSeekV32MoE08Combine,fwd,17.210000
DeepSeekV32MoE09Dispatch,fwd,17.440000
DeepSeekV32MoE09Combine,fwd,19.430000
DeepSeekV32MoE10Dispatch,fwd,17.530000
DeepSeekV32MoE10Combine,fwd,17.190000
DeepSeekV32MoE11Dispatch,fwd,18.450000
DeepSeekV32MoE11Combine,fwd,17.460000
DeepSeekV32MoE12Dispatch,fwd,17.400000
DeepSeekV32MoE12Combine,fwd,17.720000
DeepSeekV32MoE13Dispatch,fwd,17.950000
DeepSeekV32MoE13Combine,fwd,17.050000
DeepSeekV32MoE14Dispatch,fwd,18.940000
DeepSeekV32MoE14Combine,fwd,19.860000
DeepSeekV32MoE15Dispatch,fwd,21.910000
DeepSeekV32MoE15Combine,fwd,19.170000
DeepSeekV32MoE16Dispatch,fwd,18.460000
DeepSeekV32MoE16Combine,fwd,19.270000
DeepSeekV32MoE17Dispatch,fwd,18.580000
DeepSeekV32MoE17Combine,fwd,16.620000
DeepSeekV32MoE18Dispatch,fwd,17.480000
DeepSeekV32MoE18Combine,fwd,17.530000
DeepSeekV32MoE19Dispatch,fwd,17.690000
DeepSeekV32MoE19Combine,fwd,17.690000
DeepSeekV32MoE20Dispatch,fwd,17.770000
DeepSeekV32MoE20Combine,fwd,17.870000
DeepSeekV32MoE21Dispatch,fwd,17.460000
DeepSeekV32MoE21Combine,fwd,16.980000
DeepSeekV32MoE22Dispatch,fwd,20.110000
DeepSeekV32MoE22Combine,fwd,19.010000
DeepSeekV32MoE23Dispatch,fwd,19.360000
DeepSeekV32MoE23Combine,fwd,17.810000
DeepSeekV32MoE24Dispatch,fwd,19.140000
DeepSeekV32MoE24Combine,fwd,18.000000
DeepSeekV32MoE25Dispatch,fwd,17.380000
DeepSeekV32MoE25Combine,fwd,18.320000
DeepSeekV32MoE26Dispatch,fwd,17.170000
DeepSeekV32MoE26Combine,fwd,18.920000
DeepSeekV32MoE27Dispatch,fwd,16.970000
DeepSeekV32MoE27Combine,fwd,19.950000
DeepSeekV32MoE28Dispatch,fwd,18.420000
DeepSeekV32MoE28Combine,fwd,19.290000
DeepSeekV32MoE29Dispatch,fwd,17.790000
DeepSeekV32MoE29Combine,fwd,19.000000
DeepSeekV32MoE30Dispatch,fwd,17.690000
DeepSeekV32MoE30Combine,fwd,17.540000
DeepSeekV32MoE31Dispatch,fwd,17.760000
DeepSeekV32MoE31Combine,fwd,16.740000
DeepSeekV32MoE32Dispatch,fwd,16.850000
DeepSeekV32MoE32Combine,fwd,18.840000
DeepSeekV32MoE33Dispatch,fwd,18.340000
DeepSeekV32MoE33Combine,fwd,19.570000
DeepSeekV32MoE34Dispatch,fwd,17.470000
DeepSeekV32MoE34Combine,fwd,18.650000
DeepSeekV32MoE35Dispatch,fwd,18.160000
DeepSeekV32MoE35Combine,fwd,17.310000
DeepSeekV32MoE36Dispatch,fwd,19.980000
DeepSeekV32MoE36Combine,fwd,20.450000
DeepSeekV32MoE37Dispatch,fwd,19.690000
DeepSeekV32MoE37Combine,fwd,17.770000
DeepSeekV32MoE38Dispatch,fwd,18.240000
DeepSeekV32MoE38Combine,fwd,18.500000
DeepSeekV32MoE39Dispatch,fwd,18.860000
DeepSeekV32MoE39Combine,fwd,18.570000
DeepSeekV32MoE40Dispatch,fwd,18.030000
DeepSeekV32MoE40Combine,fwd,20.550000
DeepSeekV32MoE41Dispatch,fwd,17.520000
DeepSeekV32MoE41Combine,fwd,16.870000
DeepSeekV32MoE42Dispatch,fwd,18.930000
DeepSeekV32MoE42Combine,fwd,20.730000
DeepSeekV32MoE43Dispatch,fwd,17.930000
DeepSeekV32MoE43Combine,fwd,17.420000
DeepSeekV32MoE44Dispatch,fwd,17.140000
DeepSeekV32MoE44Combine,fwd,17.080000
DeepSeekV32MoE45Dispatch,fwd,18.530000
DeepSeekV32MoE45Combine,fwd,19.610000
DeepSeekV32MoE46Dispatch,fwd,17.850000
DeepSeekV32MoE46Combine,fwd,17.620000
DeepSeekV32MoE47Dispatch,fwd,18.190000
DeepSeekV32MoE47Combine,fwd,18.450000
DeepSeekV32MoE48Dispatch,fwd,17.620000
DeepSeekV32MoE48Combine,fwd,19.050000
DeepSeekV32MoE49Dispatch,fwd,18.000000
DeepSeekV32MoE49Combine,fwd,17.760000
DeepSeekV32MoE50Dispatch,fwd,16.440000
DeepSeekV32MoE50Combine,fwd,17.140000
DeepSeekV32MoE51Dispatch,fwd,17.270000
DeepSeekV32MoE51Combine,fwd,18.160000
DeepSeekV32MoE52Dispatch,fwd,16.290000
DeepSeekV32MoE52Combine,fwd,17.600000
DeepSeekV32MoE53Dispatch,fwd,17.190000
DeepSeekV32MoE53Combine,fwd,17.020000
DeepSeekV32MoE54Dispatch,fwd,16.430000
DeepSeekV32MoE54Combine,fwd,18.370000
DeepSeekV32MoE55Dispatch,fwd,16.710000
DeepSeekV32MoE55Combine,fwd,16.220000
DeepSeekV32MoE56Dispatch,fwd,18.230000
DeepSeekV32MoE56Combine,fwd,18.310000
DeepSeekV32MoE57Dispatch,fwd,21.730000
DeepSeekV32MoE57Combine,fwd,20.150000
DeepSeekV32MoE58Dispatch,fwd,17.900000
DeepSeekV32MoE58Combine,fwd,17.610000
DeepSeekV32MoE59Dispatch,fwd,17.300000
DeepSeekV32MoE59Combine,fwd,18.430000
DeepSeekV32MoE60Dispatch,fwd,17.120000
DeepSeekV32MoE60Combine,fwd,17.110000
DeepSeekV32MoE61Dispatch,fwd,17.730000
DeepSeekV32MoE61Combine,fwd,17.840000
