layer,phase,duration_us
DeepSeekV32MoE04Dispatch,fwd,59.520000
DeepSeekV32MoE04Combine,fwd,56.130000
DeepSeekV32MoE05Dispatch,fwd,57.410000
DeepSeekV32MoE05Combine,fwd,58.690000
DeepSeekV32MoE06Dispatch,fwd,54.880000
DeepSeekV32MoE06Combine,fwd,60.870000
DeepSeekV32MoE07Dispatch,fwd,54.850000
DeepSeekV32MoE07Combine,fwd,74.710000
DeepSeekV32MoE08Dispatch,fwd,57.280000
DeepSeekV32MoE08Combine,fwd,73.580000
DeepSeekV32MoE09Dispatch,fwd,52.090000
DeepSeekV32MoE09Combine,fwd,94.360000
DeepSeekV32MoE10Dispatch,fwd,55.230000
DeepSeekV32MoE10Combine,fwd,60.110000
DeepSeekV32MoE11Dispatch,fwd,63.450000
DeepSeekV32MoE11Combine,fwd,68.820000
DeepSeekV32MoE12Dispatch,fwd,56.920000
DeepSeekV32MoE12Combine,fwd,53.900000
DeepSeekV32MoE13Dispatch,fwd,58.020000
DeepSeekV32MoE13Combine,fwd,66.470000
DeepSeekV32MoE14Dispatch,fwd,57.430000
DeepSeekV32MoE14Combine,fwd,90.460000
DeepSeekV32MoE15Dispatch,fwd,55.540000
DeepSeekV32MoE15Combine,fwd,80.150000
DeepSeekV32MoE16Dispatch,fwd,71.650000
DeepSeekV32MoE16Combine,fwd,84.410000
DeepSeekV32MoE17Dispatch,fwd,62.210000
DeepSeekV32MoE17Combine,fwd,42.610000
DeepSeekV32MoE18Dispatch,fwd,63.190000
DeepSeekV32MoE18Combine,fwd,59.930000
DeepSeekV32MoE19Dispatch,fwd,55.070000
DeepSeekV32MoE19Combine,fwd,64.990000
DeepSeekV32MoE20Dispatch,fwd,56.400000
DeepSeekV32MoE20Combine,fwd,101.350000
DeepSeekV32MoE21Dispatch,fwd,59.900000
DeepSeekV32MoE21Combine,fwd,48.610000
DeepSeekV32MoE22Dispatch,fwd,65.130000
DeepSeekV32MoE22Combine,fwd,43.540000
DeepSeekV32MoE23Dispatch,fwd,55.920000
DeepSeekV32MoE23Combine,fwd,99.540000
DeepSeekV32MoE24Dispatch,fwd,56.720000
DeepSeekV32MoE24Combine,fwd,81.360000
DeepSeekV32MoE25Dispatch,fwd,56.160000
DeepSeekV32MoE25Combine,fwd,85.100000
DeepSeekV32MoE26Dispatch,fwd,59.240000
DeepSeekV32MoE26Combine,fwd,62.840000
DeepSeekV32MoE27Dispatch,fwd,59.380000
DeepSeekV32MoE27Combine,fwd,54.000000
DeepSeekV32MoE28Dispatch,fwd,67.340000
DeepSeekV32MoE28Combine,fwd,68.590000
DeepSeekV32MoE29Dispatch,fwd,54.110000
DeepSeekV32MoE29Combine,fwd,72.010000
DeepSeekV32MoE30Dispatch,fwd,56.910000
DeepSeekV32MoE30Combine,fwd,65.590000
DeepSeekV32MoE31Dispatch,fwd,65.630000
DeepSeekV32MoE31Combine,fwd,58.460000
DeepSeekV32MoE32Dispatch,fwd,64.360000
DeepSeekV32MoE32Combine,fwd,41.690000
DeepSeekV32MoE33Dispatch,fwd,62.860000
DeepSeekV32MoE33Combine,fwd,51.230000
DeepSeekV32MoE34Dispatch,fwd,57.550000
DeepSeekV32MoE34Combine,fwd,65.530000
DeepSeekV32MoE35Dispatch,fwd,61.650000
DeepSeekV32MoE35Combine,fwd,67.020000
DeepSeekV32MoE36Dispatch,fwd,56.690000
DeepSeekV32MoE36Combine,fwd,58.540000
DeepSeekV32MoE37Dispatch,fwd,65.820000
DeepSeekV32MoE37Combine,fwd,99.790000
DeepSeekV32MoE38Dispatch,fwd,54.070000
DeepSeekV32MoE38Combine,fwd,71.840000
DeepSeekV32MoE39Dispatch,fwd,57.430000
DeepSeekV32MoE39Combine,fwd,89.720000
DeepSeekV32MoE40Dispatch,fwd,60.810000
DeepSeekV32MoE40Combine,fwd,77.520000
DeepSeekV32MoE41Dispatch,fwd,60.020000
DeepSeekV32MoE41Combine,fwd,54.260000
DeepSeekV32MoE42Dispatch,fwd,62.360000
DeepSeekV32MoE42Combine,fwd,111.780000
