layer,phase,duration_us
DeepSeekV32MoE04Dispatch,fwd,23.430000
DeepSeekV32MoE04Combine,fwd,21.970000
DeepSeekV32MoE05Dispatch,fwd,23.280000
DeepSeekV32MoE05Combine,fwd,21.970000
DeepSeekV32MoE06Dispatch,fwd,23.190000
DeepSeekV32MoE06Combine,fwd,22.370000
DeepSeekV32MoE07Dispatch,fwd,22.160000
DeepSeekV32MoE07Combine,fwd,22.360000
DeepSeekV32MoE08Dispatch,fwd,27.190000
DeepSeekV32MoE08Combine,fwd,23.600000
DeepSeekV32MoE09Dispatch,fwd,34.890000
DeepSeekV32MoE09Combine,fwd,24.700000
DeepSeekV32MoE10Dispatch,fwd,26.030000
DeepSeekV32MoE10Combine,fwd,24.510000
DeepSeekV32MoE11Dispatch,fwd,24.500000
DeepSeekV32MoE11Combine,fwd,24.080000
DeepSeekV32MoE12Dispatch,fwd,23.190000
DeepSeekV32MoE12Combine,fwd,24.250000
DeepSeekV32MoE13Dispatch,fwd,24.740000
DeepSeekV32MoE13Combine,fwd,23.880000
DeepSeekV32MoE14Dispatch,fwd,26.890000
DeepSeekV32MoE14Combine,fwd,23.630000
DeepSeekV32MoE15Dispatch,fwd,26.340000
DeepSeekV32MoE15Combine,fwd,24.520000
DeepSeekV32MoE16Dispatch,fwd,29.260000
DeepSeekV32MoE16Combine,fwd,26.560000
DeepSeekV32MoE17Dispatch,fwd,26.670000
DeepSeekV32MoE17Combine,fwd,27.500000
DeepSeekV32MoE18Dispatch,fwd,23.920000
DeepSeekV32MoE18Combine,fwd,25.760000
DeepSeekV32MoE19Dispatch,fwd,24.080000
DeepSeekV32MoE19Combine,fwd,23.300000
DeepSeekV32MoE20Dispatch,fwd,23.120000
DeepSeekV32MoE20Combine,fwd,23.470000
DeepSeekV32MoE21Dispatch,fwd,27.220000
DeepSeekV32MoE21Combine,fwd,28.140000
DeepSeekV32MoE22Dispatch,fwd,28.380000
DeepSeekV32MoE22Combine,fwd,30.960000
DeepSeekV32MoE23Dispatch,fwd,28.320000
DeepSeekV32MoE23Combine,fwd,29.300000
DeepSeekV32MoE24Dispatch,fwd,28.380000
DeepSeekV32MoE24Combine,fwd,28.990000
DeepSeekV32MoE25Dispatch,fwd,25.340000
DeepSeekV32MoE25Combine,fwd,25.720000
DeepSeekV32MoE26Dispatch,fwd,25.640000
DeepSeekV32MoE26Combine,fwd,23.490000
DeepSeekV32MoE27Dispatch,fwd,31.070000
DeepSeekV32MoE27Combine,fwd,27.790000
DeepSeekV32MoE28Dispatch,fwd,24.530000
DeepSeekV32MoE28Combine,fwd,25.320000
DeepSeekV32MoE29Dispatch,fwd,28.660000
DeepSeekV32MoE29Combine,fwd,30.140000
DeepSeekV32MoE30Dispatch,fwd,29.870000
DeepSeekV32MoE30Combine,fwd,29.060000
DeepSeekV32MoE31Dispatch,fwd,28.300000
DeepSeekV32MoE31Combine,fwd,25.720000
DeepSeekV32MoE32Dispatch,fwd,27.270000
DeepSeekV32MoE32Combine,fwd,24.920000
DeepSeekV32MoE33Dispatch,fwd,26.450000
DeepSeekV32MoE33Combine,fwd,23.090000
DeepSeekV32MoE34Dispatch,fwd,25.190000
DeepSeekV32MoE34Combine,fwd,23.210000
DeepSeekV32MoE35Dispatch,fwd,27.250000
DeepSeekV32MoE35Combine,fwd,27.510000
DeepSeekV32MoE36Dispatch,fwd,30.960000
DeepSeekV32MoE36Combine,fwd,27.590000
DeepSeekV32MoE37Dispatch,fwd,28.980000
DeepSeekV32MoE37Combine,fwd,25.150000
DeepSeekV32MoE38Dispatch,fwd,23.890000
DeepSeekV32MoE38Combine,fwd,24.210000
DeepSeekV32MoE39Dispatch,fwd,24.440000
DeepSeekV32MoE39Combine,fwd,24.390000
DeepSeekV32MoE40Dispatch,fwd,28.250000
DeepSeekV32MoE40Combine,fwd,28.240000
DeepSeekV32MoE41Dispatch,fwd,31.640000
DeepSeekV32MoE41Combine,fwd,28.710000
DeepSeekV32MoE42Dispatch,fwd,26.940000
DeepSeekV32MoE42Combine,fwd,24.940000
DeepSeekV32MoE43Dispatch,fwd,26.280000
DeepSeekV32MoE43Combine,fwd,26.590000
DeepSeekV32MoE44Dispatch,fwd,24.320000
DeepSeekV32MoE44Combine,fwd,25.440000
DeepSeekV32MoE45Dispatch,fwd,27.420000
DeepSeekV32MoE45Combine,fwd,26.200000
DeepSeekV32MoE46Dispatch,fwd,23.770000
DeepSeekV32MoE46Combine,fwd,24.650000
DeepSeekV32MoE47Dispatch,fwd,24.850000
DeepSeekV32MoE47Combine,fwd,24.940000
DeepSeekV32MoE48Dispatch,fwd,29.700000
DeepSeekV32MoE48Combine,fwd,27.840000
DeepSeekV32MoE49Dispatch,fwd,28.630000
DeepSeekV32MoE49Combine,fwd,26.800000
DeepSeekV32MoE50Dispatch,fwd,28.710000
DeepSeekV32MoE50Combine,fwd,25.540000
DeepSeekV32MoE51Dispatch,fwd,26.630000
DeepSeekV32MoE51Combine,fwd,26.120000
DeepSeekV32MoE52Dispatch,fwd,27.790000
DeepSeekV32MoE52Combine,fwd,25.010000
DeepSeekV32MoE53Dispatch,fwd,26.060000
DeepSeekV32MoE53Combine,fwd,23.510000
DeepSeekV32MoE54Dispatch,fwd,27.110000
DeepSeekV32MoE54Combine,fwd,25.720000
DeepSeekV32MoE55Dispatch,fwd,31.470000
DeepSeekV32MoE55Combine,fwd,33.590000
DeepSeekV32MoE56Dispatch,fwd,26.930000
DeepSeekV32MoE56Combine,fwd,26.770000
DeepSeekV32MoE57Dispatch,fwd,27.060000
DeepSeekV32MoE57Combine,fwd,24.460000
DeepSeekV32MoE58Dispatch,fwd,29.640000
DeepSeekV32MoE58Combine,fwd,27.120000
DeepSeekV32MoE59Dispatch,fwd,23.530000
DeepSeekV32MoE59Combine,fwd,24.200000
DeepSeekV32MoE60Dispatch,fwd,24.030000
DeepSeekV32MoE60Combine,fwd,24.250000
DeepSeekV32MoE61Dispatch,fwd,25.310000
DeepSeekV32MoE61Combine,fwd,21.900000
