layer,phase,duration_us
DeepSeekV32MoE04Dispatch,fwd,42.180000
DeepSeekV32MoE04Combine,fwd,37.780000
DeepSeekV32MoE05Dispatch,fwd,44.890000
DeepSeekV32MoE05Combine,fwd,39.410000
DeepSeekV32MoE06Dispatch,fwd,44.690000
DeepSeekV32MoE06Combine,fwd,39.580000
DeepSeekV32MoE07Dispatch,fwd,45.670000
DeepSeekV32MoE07Combine,fwd,39.810000
DeepSeekV32MoE08Dispatch,fwd,52.020000
DeepSeekV32MoE08Combine,fwd,41.470000
DeepSeekV32MoE09Dispatch,fwd,57.260000
DeepSeekV32MoE09Combine,fwd,43.480000
DeepSeekV32MoE10Dispatch,fwd,44.640000
DeepSeekV32MoE10Combine,fwd,43.270000
DeepSeekV32MoE11Dispatch,fwd,46.730000
DeepSeekV32MoE11Combine,fwd,41.170000
DeepSeekV32MoE12Dispatch,fwd,44.570000
DeepSeekV32MoE12Combine,fwd,39.340000
DeepSeekV32MoE13Dispatch,fwd,43.730000
DeepSeekV32MoE13Combine,fwd,38.110000
DeepSeekV32MoE14Dispatch,fwd,46.350000
DeepSeekV32MoE14Combine,fwd,40.200000
DeepSeekV32MoE15Dispatch,fwd,45.740000
DeepSeekV32MoE15Combine,fwd,39.400000
DeepSeekV32MoE16Dispatch,fwd,50.770000
DeepSeekV32MoE16Combine,fwd,41.710000
DeepSeekV32MoE17Dispatch,fwd,59.320000
DeepSeekV32MoE17Combine,fwd,40.030000
DeepSeekV32MoE18Dispatch,fwd,43.610000
DeepSeekV32MoE18Combine,fwd,38.520000
DeepSeekV32MoE19Dispatch,fwd,44.180000
DeepSeekV32MoE19Combine,fwd,39.750000
DeepSeekV32MoE20Dispatch,fwd,46.800000
DeepSeekV32MoE20Combine,fwd,39.470000
DeepSeekV32MoE21Dispatch,fwd,44.220000
DeepSeekV32MoE21Combine,fwd,42.810000
DeepSeekV32MoE22Dispatch,fwd,47.530000
DeepSeekV32MoE22Combine,fwd,43.570000
DeepSeekV32MoE23Dispatch,fwd,54.110000
DeepSeekV32MoE23Combine,fwd,42.380000
DeepSeekV32MoE24Dispatch,fwd,56.360000
DeepSeekV32MoE24Combine,fwd,41.260000
DeepSeekV32MoE25Dispatch,fwd,58.940000
DeepSeekV32MoE25Combine,fwd,41.480000
DeepSeekV32MoE26Dispatch,fwd,46.100000
DeepSeekV32MoE26Combine,fwd,36.690000
DeepSeekV32MoE27Dispatch,fwd,53.820000
DeepSeekV32MoE27Combine,fwd,46.120000
DeepSeekV32MoE28Dispatch,fwd,47.940000
DeepSeekV32MoE28Combine,fwd,40.680000
DeepSeekV32MoE29Dispatch,fwd,47.190000
DeepSeekV32MoE29Combine,fwd,47.480000
DeepSeekV32MoE30Dispatch,fwd,53.730000
DeepSeekV32MoE30Combine,fwd,46.920000
DeepSeekV32MoE31Dispatch,fwd,47.600000
