layer,phase,duration_us
DeepSeekV32MoE04Dispatch,fwd,202.000000
DeepSeekV32MoE04Combine,fwd,231.000000
DeepSeekV32MoE05Dispatch,fwd,208.440000
DeepSeekV32MoE05Combine,fwd,202.830000
DeepSeekV32MoE06Dispatch,fwd,218.550000
DeepSeekV32MoE06Combine,fwd,207.180000
DeepSeekV32MoE07Dispatch,fwd,210.050000
DeepSeekV32MoE07Combine,fwd,217.300000
DeepSeekV32MoE08Dispatch,fwd,214.310000
DeepSeekV32MoE08Combine,fwd,240.330000
DeepSeekV32MoE09Dispatch,fwd,213.870000
DeepSeekV32MoE09Combine,fwd,186.800000
DeepSeekV32MoE10Dispatch,fwd,213.430000
DeepSeekV32MoE10Combine,fwd,225.200000
DeepSeekV32MoE11Dispatch,fwd,210.720000
DeepSeekV32MoE11Combine,fwd,252.530000
DeepSeekV32MoE12Dispatch,fwd,215.040000
DeepSeekV32MoE12Combine,fwd,231.220000
DeepSeekV32MoE13Dispatch,fwd,207.070000
DeepSeekV32MoE13Combine,fwd,206.430000
DeepSeekV32MoE14Dispatch,fwd,209.550000
DeepSeekV32MoE14Combine,fwd,192.000000
DeepSeekV32MoE15Dispatch,fwd,214.970000
DeepSeekV32MoE15Combine,fwd,199.210000
DeepSeekV32MoE16Dispatch,fwd,221.680000
DeepSeekV32MoE16Combine,fwd,207.820000
DeepSeekV32MoE17Dispatch,fwd,230.420000
DeepSeekV32MoE17Combine,fwd,218.950000
DeepSeekV32MoE18Dispatch,fwd,232.050000
DeepSeekV32MoE18Combine,fwd,287.810000
DeepSeekV32MoE19Dispatch,fwd,210.230000
DeepSeekV32MoE19Combine,fwd,195.400000
DeepSeekV32MoE20Dispatch,fwd,207.420000
DeepSeekV32MoE20Combine,fwd,250.810000
DeepSeekV32MoE21Dispatch,fwd,213.050000
DeepSeekV32MoE21Combine,fwd,290.520000
DeepSeekV32MoE22Dispatch,fwd,215.100000
DeepSeekV32MoE22Combine,fwd,274.890000
DeepSeekV32MoE23Dispatch,fwd,219.040000
DeepSeekV32MoE23Combine,fwd,229.500000
DeepSeekV32MoE24Dispatch,fwd,214.320000
DeepSeekV32MoE24Combine,fwd,251.650000
DeepSeekV32MoE25Dispatch,fwd,207.820000
DeepSeekV32MoE25Combine,fwd,198.020000
DeepSeekV32MoE26Dispatch,fwd,217.670000
DeepSeekV32MoE26Combine,fwd,162.470000
DeepSeekV32MoE27Dispatch,fwd,210.120000
DeepSeekV32MoE27Combine,fwd,243.760000
DeepSeekV32MoE28Dispatch,fwd,199.390000
DeepSeekV32MoE28Combine,fwd,317.080000
DeepSeekV32MoE29Dispatch,fwd,216.170000
DeepSeekV32MoE29Combine,fwd,299.970000
DeepSeekV32MoE30Dispatch,fwd,208.660000
DeepSeekV32MoE30Combine,fwd,244.390000
DeepSeekV32MoE31Dispatch,fwd,216.200000
DeepSeekV32MoE31Combine,fwd,172.320000
DeepSeekV32MoE32Dispatch,fwd,212.920000
DeepSeekV32MoE32Combine,fwd,166.480000
DeepSeekV32MoE33Dispatch,fwd,203.520000
DeepSeekV32MoE33Combine,fwd,174.420000
DeepSeekV32MoE34Dispatch,fwd,221.270000
DeepSeekV32MoE34Combine,fwd,288.610000
DeepSeekV32MoE35Dispatch,fwd,215.380000
DeepSeekV32MoE35Combine,fwd,223.390000
DeepSeekV32MoE36Dispatch,fwd,223.040000
DeepSeekV32MoE36Combine,fwd,227.700000
DeepSeekV32MoE37Dispatch,fwd,217.400000
DeepSeekV32MoE37Combine,fwd,235.180000
DeepSeekV32MoE38Dispatch,fwd,200.540000
DeepSeekV32MoE38Combine,fwd,239.180000
DeepSeekV32MoE39Dispatch,fwd,206.140000
DeepSeekV32MoE39Combine,fwd,230.170000
DeepSeekV32MoE40Dispatch,fwd,215.240000
DeepSeekV32MoE40Combine,fwd,217.640000
DeepSeekV32MoE41Dispatch,fwd,208.710000
DeepSeekV32MoE41Combine,fwd,203.900000
DeepSeekV32MoE42Dispatch,fwd,210.730000
DeepSeekV32MoE42Combine,fwd,285.790000
DeepSeekV32MoE43Dispatch,fwd,216.740000
DeepSeekV32MoE43Combine,fwd,323.100000
DeepSeekV32MoE44Dispatch,fwd,211.310000
DeepSeekV32MoE44Combine,fwd,317.420000
DeepSeekV32MoE45Dispatch,fwd,226.190000
DeepSeekV32MoE45Combine,fwd,286.870000
DeepSeekV32MoE46Dispatch,fwd,224.500000
DeepSeekV32MoE46Combine,fwd,244.490000
DeepSeekV32MoE47Dispatch,fwd,207.050000
DeepSeekV32MoE47Combine,fwd,251.070000
DeepSeekV32MoE48Dispatch,fwd,203.610000
DeepSeekV32MoE48Combine,fwd,238.800000
DeepSeekV32MoE49Dispatch,fwd,215.450000
DeepSeekV32MoE49Combine,fwd,264.510000
DeepSeekV32MoE50Dispatch,fwd,209.880000
DeepSeekV32MoE50Combine,fwd,181.910000
DeepSeekV32MoE51Dispatch,fwd,228.470000
DeepSeekV32MoE51Combine,fwd,202.960000
DeepSeekV32MoE52Dispatch,fwd,205.280000
DeepSeekV32MoE52Combine,fwd,238.030000
DeepSeekV32MoE53Dispatch,fwd,203.950000
DeepSeekV32MoE53Combine,fwd,251.320000
DeepSeekV32MoE54Dispatch,fwd,235.080000
DeepSeekV32MoE54Combine,fwd,302.180000
DeepSeekV32MoE55Dispatch,fwd,225.430000
DeepSeekV32MoE55Combine,fwd,395.770000
DeepSeekV32MoE56Dispatch,fwd,210.420000
DeepSeekV32MoE56Combine,fwd,263.640000
DeepSeekV32MoE57Dispatch,fwd,220.610000
DeepSeekV32MoE57Combine,fwd,221.300000
DeepSeekV32MoE58Dispatch,fwd,218.490000
DeepSeekV32MoE58Combine,fwd,427.390000
DeepSeekV32MoE59Dispatch,fwd,216.440000
DeepSeekV32MoE59Combine,fwd,212.840000
DeepSeekV32MoE60Dispatch,fwd,200.730000
DeepSeekV32MoE60Combine,fwd,257.210000
DeepSeekV32MoE61Dispatch,fwd,210.580000
DeepSeekV32MoE61Combine,fwd,196.960000
