layer,phase,duration_us
Qwen3A3BMoE01Dispatch,fwd,2116.980000
Qwen3A3BMoE01Combine,fwd,2084.630000
Qwen3A3BMoE02Dispatch,fwd,2347.490000
Qwen3A3BMoE02Combine,fwd,2426.880000
Qwen3A3BMoE03Dispatch,fwd,2552.110000
Qwen3A3BMoE03Combine,fwd,2608.610000
Qwen3A3BMoE04Dispatch,fwd,2479.680000
Qwen3A3BMoE04Combine,fwd,2421.850000
Qwen3A3BMoE05Dispatch,fwd,2679.720000
Qwen3A3BMoE05Combine,fwd,2527.440000
Qwen3A3BMoE06Dispatch,fwd,2424.750000
Qwen3A3BMoE06Combine,fwd,2369.360000
Qwen3A3BMoE07Dispatch,fwd,3076.710000
Qwen3A3BMoE07Combine,fwd,2963.300000
Qwen3A3BMoE08Dispatch,fwd,3486.760000
Qwen3A3BMoE08Combine,fwd,3446.890000
Qwen3A3BMoE09Dispatch,fwd,2569.550000
Qwen3A3BMoE09Combine,fwd,2433.290000
Qwen3A3BMoE10Dispatch,fwd,2743.920000
Qwen3A3BMoE10Combine,fwd,2808.810000
Qwen3A3BMoE11Dispatch,fwd,2463.660000
Qwen3A3BMoE11Combine,fwd,2493.520000
Qwen3A3BMoE12Dispatch,fwd,2650.800000
Qwen3A3BMoE12Combine,fwd,2669.450000
Qwen3A3BMoE13Dispatch,fwd,2454.040000
Qwen3A3BMoE13Combine,fwd,2402.430000
Qwen3A3BMoE14Dispatch,fwd,2437.940000
Qwen3A3BMoE14Combine,fwd,2492.340000
Qwen3A3BMoE15Dispatch,fwd,2158.020000
Qwen3A3BMoE15Combine,fwd,2190.980000
Qwen3A3BMoE16Dispatch,fwd,2431.220000
Qwen3A3BMoE16Combine,fwd,2536.250000
Qwen3A3BMoE17Dispatch,fwd,3943.240000
Qwen3A3BMoE17Combine,fwd,4064.520000
Qwen3A3BMoE18Dispatch,fwd,2609.790000
Qwen3A3BMoE18Combine,fwd,2667.210000
Qwen3A3BMoE19Dispatch,fwd,3406.760000
Qwen3A3BMoE19Combine,fwd,3271.220000
Qwen3A3BMoE20Dispatch,fwd,3585.180000
Qwen3A3BMoE20Combine,fwd,3509.300000
Qwen3A3BMoE21Dispatch,fwd,2703.520000
Qwen3A3BMoE21Combine,fwd,2615.630000
Qwen3A3BMoE22Dispatch,fwd,2796.410000
Qwen3A3BMoE22Combine,fwd,2918.520000
Qwen3A3BMoE23Dispatch,fwd,2781.500000
Qwen3A3BMoE23Combine,fwd,2797.480000
Qwen3A3BMoE24Dispatch,fwd,2702.720000
Qwen3A3BMoE24Combine,fwd,2688.070000
Qwen3A3BMoE25Dispatch,fwd,2255.830000
Qwen3A3BMoE25Combine,fwd,2174.610000
Qwen3A3BMoE26Dispatch,fwd,2643.170000
Qwen3A3BMoE26Combine,fwd,2692.190000
Qwen3A3BMoE27Dispatch,fwd,2223.480000
Qwen3A3BMoE27Combine,fwd,2267.270000
Qwen3A3BMoE28Dispatch,fwd,2237.370000
Qwen3A3BMoE28Combine,fwd,2264.990000
Qwen3A3BMoE29Dispatch,fwd,3535.220000
Qwen3A3BMoE29Combine,fwd,3666.120000
Qwen3A3BMoE30Dispatch,fwd,2845.390000
Qwen3A3BMoE30Combine,fwd,2917.150000
Qwen3A3BMoE31Dispatch,fwd,3551.260000
Qwen3A3BMoE31Combine,fwd,3445.320000
Qwen3A3BMoE32Dispatch,fwd,3555.570000
Qwen3A3BMoE32Combine,fwd,3532.030000
Qwen3A3BMoE33Dispatch,fwd,2738.310000
Qwen3A3BMoE33Combine,fwd,2647.180000
Qwen3A3BMoE34Dispatch,fwd,2909.020000
Qwen3A3BMoE34Combine,fwd,3020.600000
Qwen3A3BMoE35Dispatch,fwd,2467.170000
Qwen3A3BMoE35Combine,fwd,2497.180000
Qwen3A3BMoE36Dispatch,fwd,2810.560000
Qwen3A3BMoE36Combine,fwd,2803.430000
Qwen3A3BMoE37Dispatch,fwd,2534.300000
Qwen3A3BMoE37Combine,fwd,2477.800000
Qwen3A3BMoE38Dispatch,fwd,2438.240000
Qwen3A3BMoE38Combine,fwd,2483.030000
Qwen3A3BMoE39Dispatch,fwd,2169.620000
Qwen3A3BMoE39Combine,fwd,2218.600000
Qwen3A3BMoE40Dispatch,fwd,2640.620000
Qwen3A3BMoE40Combine,fwd,2553.290000
Qwen3A3BMoE41Dispatch,fwd,3284.060000
Qwen3A3BMoE41Combine,fwd,3391.920000
Qwen3A3BMoE42Dispatch,fwd,3087.240000
Qwen3A3BMoE42Combine,fwd,3199.740000
Qwen3A3BMoE43Dispatch,fwd,2994.810000
Qwen3A3BMoE43Combine,fwd,2918.630000
Qwen3A3BMoE44Dispatch,fwd,2722.710000
Qwen3A3BMoE44Combine,fwd,2574.040000
Qwen3A3BMoE45Dispatch,fwd,3181.040000
Qwen3A3BMoE45Combine,fwd,3278.280000
Qwen3A3BMoE46Dispatch,fwd,2840.660000
Qwen3A3BMoE46Combine,fwd,2917.600000
Qwen3A3BMoE47Dispatch,fwd,2666.560000
Qwen3A3BMoE47Combine,fwd,2759.520000
Qwen3A3BMoE48Dispatch,fwd,2716.910000
Qwen3A3BMoE48Combine,fwd,2745.940000
