layer,phase,duration_us
Qwen3A3BMoE01Dispatch,fwd,1380.180000
Qwen3A3BMoE01Combine,fwd,992.480000
Qwen3A3BMoE02Dispatch,fwd,1599.030000
Qwen3A3BMoE02Combine,fwd,1115.950000
Qwen3A3BMoE03Dispatch,fwd,1499.920000
Qwen3A3BMoE03Combine,fwd,1173.170000
Qwen3A3BMoE04Dispatch,fwd,1504.280000
Qwen3A3BMoE04Combine,fwd,1172.710000
Qwen3A3BMoE05Dispatch,fwd,1736.170000
Qwen3A3BMoE05Combine,fwd,1300.730000
Qwen3A3BMoE06Dispatch,fwd,1416.800000
Qwen3A3BMoE06Combine,fwd,1152.000000
Qwen3A3BMoE07Dispatch,fwd,2005.180000
Qwen3A3BMoE07Combine,fwd,1643.450000
Qwen3A3BMoE08Dispatch,fwd,2250.240000
Qwen3A3BMoE08Combine,fwd,1864.700000
Qwen3A3BMoE09Dispatch,fwd,1507.660000
Qwen3A3BMoE09Combine,fwd,1210.860000
Qwen3A3BMoE10Dispatch,fwd,1706.220000
Qwen3A3BMoE10Combine,fwd,1431.500000
Qwen3A3BMoE11Dispatch,fwd,1579.720000
Qwen3A3BMoE11Combine,fwd,1217.120000
Qwen3A3BMoE12Dispatch,fwd,1713.090000
Qwen3A3BMoE12Combine,fwd,1363.140000
Qwen3A3BMoE13Dispatch,fwd,1525.600000
Qwen3A3BMoE13Combine,fwd,1102.680000
Qwen3A3BMoE14Dispatch,fwd,1683.110000
Qwen3A3BMoE14Combine,fwd,1228.410000
Qwen3A3BMoE15Dispatch,fwd,1418.630000
Qwen3A3BMoE15Combine,fwd,1070.650000
Qwen3A3BMoE16Dispatch,fwd,1671.620000
Qwen3A3BMoE16Combine,fwd,1284.710000
Qwen3A3BMoE17Dispatch,fwd,2445.350000
Qwen3A3BMoE17Combine,fwd,2212.600000
Qwen3A3BMoE18Dispatch,fwd,1616.390000
Qwen3A3BMoE18Combine,fwd,1256.180000
Qwen3A3BMoE19Dispatch,fwd,2192.710000
Qwen3A3BMoE19Combine,fwd,1808.090000
Qwen3A3BMoE20Dispatch,fwd,2232.380000
Qwen3A3BMoE20Combine,fwd,1871.110000
Qwen3A3BMoE21Dispatch,fwd,1597.810000
Qwen3A3BMoE21Combine,fwd,1263.200000
Qwen3A3BMoE22Dispatch,fwd,1782.710000
Qwen3A3BMoE22Combine,fwd,1446.610000
Qwen3A3BMoE23Dispatch,fwd,1804.490000
Qwen3A3BMoE23Combine,fwd,1451.950000
Qwen3A3BMoE24Dispatch,fwd,1769.580000
Qwen3A3BMoE24Combine,fwd,1388.470000
Qwen3A3BMoE25Dispatch,fwd,1510.530000
Qwen3A3BMoE25Combine,fwd,1008.070000
Qwen3A3BMoE26Dispatch,fwd,1863.160000
Qwen3A3BMoE26Combine,fwd,1387.400000
Qwen3A3BMoE27Dispatch,fwd,1409.440000
Qwen3A3BMoE27Combine,fwd,1053.740000
Qwen3A3BMoE28Dispatch,fwd,1510.950000
Qwen3A3BMoE28Combine,fwd,1158.730000
Qwen3A3BMoE29Dispatch,fwd,2310.810000
Qwen3A3BMoE29Combine,fwd,1982.500000
Qwen3A3BMoE30Dispatch,fwd,1736.020000
Qwen3A3BMoE30Combine,fwd,1386.340000
Qwen3A3BMoE31Dispatch,fwd,2260.460000
Qwen3A3BMoE31Combine,fwd,1865.000000
Qwen3A3BMoE32Dispatch,fwd,2172.370000
Qwen3A3BMoE32Combine,fwd,1879.040000
Qwen3A3BMoE33Dispatch,fwd,1600.630000
Qwen3A3BMoE33Combine,fwd,1218.790000
Qwen3A3BMoE34Dispatch,fwd,1870.290000
Qwen3A3BMoE34Combine,fwd,1514.660000
Qwen3A3BMoE35Dispatch,fwd,1571.640000
Qwen3A3BMoE35Combine,fwd,1227.340000
Qwen3A3BMoE36Dispatch,fwd,1745.280000
Qwen3A3BMoE36Combine,fwd,1460.800000
Qwen3A3BMoE37Dispatch,fwd,1588.460000
Qwen3A3BMoE37Combine,fwd,1161.420000
Qwen3A3BMoE38Dispatch,fwd,1715.150000
Qwen3A3BMoE38Combine,fwd,1241.070000
Qwen3A3BMoE39Dispatch,fwd,1381.710000
Qwen3A3BMoE39Combine,fwd,1057.030000
Qwen3A3BMoE40Dispatch,fwd,1785.450000
Qwen3A3BMoE40Combine,fwd,1336.590000
Qwen3A3BMoE41Dispatch,fwd,2158.990000
Qwen3A3BMoE41Combine,fwd,1837.080000
Qwen3A3BMoE42Dispatch,fwd,1852.140000
Qwen3A3BMoE42Combine,fwd,1572.190000
Qwen3A3BMoE43Dispatch,fwd,1825.850000
Qwen3A3BMoE43Combine,fwd,1493.450000
Qwen3A3BMoE44Dispatch,fwd,1692.380000
Qwen3A3BMoE44Combine,fwd,1342.390000
Qwen3A3BMoE45Dispatch,fwd,2121.870000
Qwen3A3BMoE45Combine,fwd,1749.650000
Qwen3A3BMoE46Dispatch,fwd,1794.460000
Qwen3A3BMoE46Combine,fwd,1369.250000
Qwen3A3BMoE47Dispatch,fwd,1835.050000
Qwen3A3BMoE47Combine,fwd,1432.420000
Qwen3A3BMoE48Dispatch,fwd,1713.130000
Qwen3A3BMoE48Combine,fwd,1336.290000
