layer,phase,duration_us
Qwen3A3BMoE01Dispatch,fwd,1656.000000
Qwen3A3BMoE01Combine,fwd,1656.000000
Qwen3A3BMoE02Dispatch,fwd,1890.680000
Qwen3A3BMoE02Combine,fwd,1890.680000
Qwen3A3BMoE03Dispatch,fwd,2020.070000
Qwen3A3BMoE03Combine,fwd,2020.070000
Qwen3A3BMoE04Dispatch,fwd,2010.510000
Qwen3A3BMoE04Combine,fwd,2010.510000
Qwen3A3BMoE05Dispatch,fwd,2209.560000
Qwen3A3BMoE05Combine,fwd,2209.560000
Qwen3A3BMoE06Dispatch,fwd,1881.420000
Qwen3A3BMoE06Combine,fwd,1881.420000
Qwen3A3BMoE07Dispatch,fwd,2790.640000
Qwen3A3BMoE07Combine,fwd,2790.640000
Qwen3A3BMoE08Dispatch,fwd,3176.940000
Qwen3A3BMoE08Combine,fwd,3176.940000
Qwen3A3BMoE09Dispatch,fwd,2062.340000
Qwen3A3BMoE09Combine,fwd,2062.340000
Qwen3A3BMoE10Dispatch,fwd,2434.860000
Qwen3A3BMoE10Combine,fwd,2434.860000
Qwen3A3BMoE11Dispatch,fwd,2093.720000
Qwen3A3BMoE11Combine,fwd,2093.720000
Qwen3A3BMoE12Dispatch,fwd,2311.110000
Qwen3A3BMoE12Combine,fwd,2311.110000
Qwen3A3BMoE13Dispatch,fwd,1897.980000
Qwen3A3BMoE13Combine,fwd,1897.980000
Qwen3A3BMoE14Dispatch,fwd,2097.920000
Qwen3A3BMoE14Combine,fwd,2097.920000
Qwen3A3BMoE15Dispatch,fwd,1667.490000
Qwen3A3BMoE15Combine,fwd,1667.490000
Qwen3A3BMoE16Dispatch,fwd,2179.780000
Qwen3A3BMoE16Combine,fwd,2179.780000
Qwen3A3BMoE17Dispatch,fwd,3747.620000
Qwen3A3BMoE17Combine,fwd,3747.620000
Qwen3A3BMoE18Dispatch,fwd,2116.920000
Qwen3A3BMoE18Combine,fwd,2116.920000
Qwen3A3BMoE19Dispatch,fwd,3072.680000
Qwen3A3BMoE19Combine,fwd,3072.680000
Qwen3A3BMoE20Dispatch,fwd,3190.190000
Qwen3A3BMoE20Combine,fwd,3190.190000
Qwen3A3BMoE21Dispatch,fwd,2166.400000
Qwen3A3BMoE21Combine,fwd,2166.400000
Qwen3A3BMoE22Dispatch,fwd,2436.610000
Qwen3A3BMoE22Combine,fwd,2436.610000
Qwen3A3BMoE23Dispatch,fwd,2465.250000
Qwen3A3BMoE23Combine,fwd,2465.250000
Qwen3A3BMoE24Dispatch,fwd,2357.290000
Qwen3A3BMoE24Combine,fwd,2357.290000
Qwen3A3BMoE25Dispatch,fwd,1758.000000
Qwen3A3BMoE25Combine,fwd,1758.000000
Qwen3A3BMoE26Dispatch,fwd,2361.310000
Qwen3A3BMoE26Combine,fwd,2361.310000
Qwen3A3BMoE27Dispatch,fwd,1771.230000
Qwen3A3BMoE27Combine,fwd,1771.230000
Qwen3A3BMoE28Dispatch,fwd,1864.100000
Qwen3A3BMoE28Combine,fwd,1864.100000
Qwen3A3BMoE29Dispatch,fwd,3360.230000
Qwen3A3BMoE29Combine,fwd,3360.230000
Qwen3A3BMoE30Dispatch,fwd,2335.980000
Qwen3A3BMoE30Combine,fwd,2335.980000
Qwen3A3BMoE31Dispatch,fwd,3159.650000
Qwen3A3BMoE31Combine,fwd,3159.650000
Qwen3A3BMoE32Dispatch,fwd,3205.050000
Qwen3A3BMoE32Combine,fwd,3205.050000
Qwen3A3BMoE33Dispatch,fwd,2104.780000
Qwen3A3BMoE33Combine,fwd,2104.780000
Qwen3A3BMoE34Dispatch,fwd,2565.910000
Qwen3A3BMoE34Combine,fwd,2565.910000
Qwen3A3BMoE35Dispatch,fwd,2091.610000
Qwen3A3BMoE35Combine,fwd,2091.610000
Qwen3A3BMoE36Dispatch,fwd,2497.140000
Qwen3A3BMoE36Combine,fwd,2497.140000
Qwen3A3BMoE37Dispatch,fwd,2021.700000
Qwen3A3BMoE37Combine,fwd,2021.700000
Qwen3A3BMoE38Dispatch,fwd,2110.280000
Qwen3A3BMoE38Combine,fwd,2110.280000
Qwen3A3BMoE39Dispatch,fwd,1753.680000
Qwen3A3BMoE39Combine,fwd,1753.680000
Qwen3A3BMoE40Dispatch,fwd,2274.340000
Qwen3A3BMoE40Combine,fwd,2274.340000
Qwen3A3BMoE41Dispatch,fwd,3120.130000
Qwen3A3BMoE41Combine,fwd,3120.130000
Qwen3A3BMoE42Dispatch,fwd,2656.900000
Qwen3A3BMoE42Combine,fwd,2656.900000
Qwen3A3BMoE43Dispatch,fwd,2531.670000
Qwen3A3BMoE43Combine,fwd,2531.670000
Qwen3A3BMoE44Dispatch,fwd,2271.230000
Qwen3A3BMoE44Combine,fwd,2271.230000
Qwen3A3BMoE45Dispatch,fwd,2965.660000
Qwen3A3BMoE45Combine,fwd,2965.660000
Qwen3A3BMoE46Dispatch,fwd,2329.950000
Qwen3A3BMoE46Combine,fwd,2329.950000
Qwen3A3BMoE47Dispatch,fwd,2444.110000
Qwen3A3BMoE47Combine,fwd,2444.110000
Qwen3A3BMoE48Dispatch,fwd,2272.120000
Qwen3A3BMoE48Combine,fwd,2272.120000
