layer,phase,duration_us
Qwen3A3BMoE01Dispatch,fwd,240312.730000
Qwen3A3BMoE01Combine,fwd,235567.140000
Qwen3A3BMoE02Dispatch,fwd,241162.340000
Qwen3A3BMoE02Combine,fwd,225078.360000
Qwen3A3BMoE03Dispatch,fwd,249014.410000
Qwen3A3BMoE03Combine,fwd,233827.860000
Qwen3A3BMoE04Dispatch,fwd,222919.660000
Qwen3A3BMoE04Combine,fwd,219239.020000
Qwen3A3BMoE05Dispatch,fwd,298584.220000
Qwen3A3BMoE05Combine,fwd,287168.700000
Qwen3A3BMoE06Dispatch,fwd,236279.530000
Qwen3A3BMoE06Combine,fwd,224238.020000
Qwen3A3BMoE07Dispatch,fwd,333105.700000
Qwen3A3BMoE07Combine,fwd,315907.940000
Qwen3A3BMoE08Dispatch,fwd,354981.200000
Qwen3A3BMoE08Combine,fwd,333730.700000
Qwen3A3BMoE09Dispatch,fwd,278301.020000
Qwen3A3BMoE09Combine,fwd,259033.440000
Qwen3A3BMoE10Dispatch,fwd,246738.520000
Qwen3A3BMoE10Combine,fwd,234521.220000
Qwen3A3BMoE11Dispatch,fwd,224677.970000
Qwen3A3BMoE11Combine,fwd,213857.660000
Qwen3A3BMoE12Dispatch,fwd,228672.110000
Qwen3A3BMoE12Combine,fwd,220674.060000
Qwen3A3BMoE13Dispatch,fwd,326035.890000
Qwen3A3BMoE13Combine,fwd,299297.110000
Qwen3A3BMoE14Dispatch,fwd,261084.720000
Qwen3A3BMoE14Combine,fwd,250586.170000
Qwen3A3BMoE15Dispatch,fwd,270625.230000
Qwen3A3BMoE15Combine,fwd,260215.080000
Qwen3A3BMoE16Dispatch,fwd,228438.230000
Qwen3A3BMoE16Combine,fwd,223974.840000
Qwen3A3BMoE17Dispatch,fwd,461121.280000
Qwen3A3BMoE17Combine,fwd,479286.840000
Qwen3A3BMoE18Dispatch,fwd,368232.660000
Qwen3A3BMoE18Combine,fwd,344697.500000
Qwen3A3BMoE19Dispatch,fwd,388574.450000
Qwen3A3BMoE19Combine,fwd,373525.120000
Qwen3A3BMoE20Dispatch,fwd,365801.520000
Qwen3A3BMoE20Combine,fwd,345996.330000
Qwen3A3BMoE21Dispatch,fwd,276093.980000
Qwen3A3BMoE21Combine,fwd,253349.840000
Qwen3A3BMoE22Dispatch,fwd,251250.230000
Qwen3A3BMoE22Combine,fwd,238553.920000
Qwen3A3BMoE23Dispatch,fwd,226211.170000
Qwen3A3BMoE23Combine,fwd,210673.560000
Qwen3A3BMoE24Dispatch,fwd,208193.590000
Qwen3A3BMoE24Combine,fwd,205605.200000
Qwen3A3BMoE25Dispatch,fwd,345117.920000
Qwen3A3BMoE25Combine,fwd,317158.440000
Qwen3A3BMoE26Dispatch,fwd,265654.530000
Qwen3A3BMoE26Combine,fwd,253622.780000
Qwen3A3BMoE27Dispatch,fwd,255566.640000
Qwen3A3BMoE27Combine,fwd,246699.450000
Qwen3A3BMoE28Dispatch,fwd,232500.730000
Qwen3A3BMoE28Combine,fwd,220751.690000
Qwen3A3BMoE29Dispatch,fwd,451668.160000
Qwen3A3BMoE29Combine,fwd,469257.550000
Qwen3A3BMoE30Dispatch,fwd,356455.310000
Qwen3A3BMoE30Combine,fwd,332246.330000
Qwen3A3BMoE31Dispatch,fwd,378789.300000
Qwen3A3BMoE31Combine,fwd,363095.440000
Qwen3A3BMoE32Dispatch,fwd,359775.620000
Qwen3A3BMoE32Combine,fwd,344873.280000
Qwen3A3BMoE33Dispatch,fwd,291894.770000
Qwen3A3BMoE33Combine,fwd,266455.310000
Qwen3A3BMoE34Dispatch,fwd,253711.170000
Qwen3A3BMoE34Combine,fwd,240282.940000
Qwen3A3BMoE35Dispatch,fwd,228730.700000
Qwen3A3BMoE35Combine,fwd,217284.890000
Qwen3A3BMoE36Dispatch,fwd,224629.140000
Qwen3A3BMoE36Combine,fwd,220683.830000
Qwen3A3BMoE37Dispatch,fwd,366524.170000
Qwen3A3BMoE37Combine,fwd,334043.200000
Qwen3A3BMoE38Dispatch,fwd,273232.660000
Qwen3A3BMoE38Combine,fwd,263574.450000
Qwen3A3BMoE39Dispatch,fwd,261650.620000
Qwen3A3BMoE39Combine,fwd,251718.980000
Qwen3A3BMoE40Dispatch,fwd,242237.060000
Qwen3A3BMoE40Combine,fwd,234355.700000
Qwen3A3BMoE41Dispatch,fwd,428093.940000
Qwen3A3BMoE41Combine,fwd,443388.410000
Qwen3A3BMoE42Dispatch,fwd,312978.750000
Qwen3A3BMoE42Combine,fwd,287851.800000
Qwen3A3BMoE43Dispatch,fwd,237060.780000
Qwen3A3BMoE43Combine,fwd,221836.170000
Qwen3A3BMoE44Dispatch,fwd,279853.750000
Qwen3A3BMoE44Combine,fwd,259648.170000
Qwen3A3BMoE45Dispatch,fwd,250428.920000
Qwen3A3BMoE45Combine,fwd,258232.160000
Qwen3A3BMoE46Dispatch,fwd,345235.110000
Qwen3A3BMoE46Combine,fwd,328056.380000
Qwen3A3BMoE47Dispatch,fwd,302353.750000
Qwen3A3BMoE47Combine,fwd,282343.980000
Qwen3A3BMoE48Dispatch,fwd,289131.090000
Qwen3A3BMoE48Combine,fwd,283730.700000
