layer,phase,duration_us
Qwen3A3BMoE01Dispatch,fwd,105798.590000
Qwen3A3BMoE01Combine,fwd,105422.710000
Qwen3A3BMoE02Dispatch,fwd,96810.030000
Qwen3A3BMoE02Combine,fwd,95991.300000
Qwen3A3BMoE03Dispatch,fwd,101032.750000
Qwen3A3BMoE03Combine,fwd,100311.890000
Qwen3A3BMoE04Dispatch,fwd,94312.820000
Qwen3A3BMoE04Combine,fwd,94230.590000
Qwen3A3BMoE05Dispatch,fwd,130248.420000
Qwen3A3BMoE05Combine,fwd,129061.200000
Qwen3A3BMoE06Dispatch,fwd,92478.070000
Qwen3A3BMoE06Combine,fwd,91998.370000
Qwen3A3BMoE07Dispatch,fwd,152072.700000
Qwen3A3BMoE07Combine,fwd,153710.140000
Qwen3A3BMoE08Dispatch,fwd,139676.440000
Qwen3A3BMoE08Combine,fwd,138136.760000
Qwen3A3BMoE09Dispatch,fwd,111972.540000
Qwen3A3BMoE09Combine,fwd,112894.010000
Qwen3A3BMoE10Dispatch,fwd,105196.600000
Qwen3A3BMoE10Combine,fwd,104637.380000
Qwen3A3BMoE11Dispatch,fwd,88522.990000
Qwen3A3BMoE11Combine,fwd,87993.750000
Qwen3A3BMoE12Dispatch,fwd,92869.800000
Qwen3A3BMoE12Combine,fwd,93298.380000
Qwen3A3BMoE13Dispatch,fwd,136218.010000
Qwen3A3BMoE13Combine,fwd,135995.300000
Qwen3A3BMoE14Dispatch,fwd,102693.910000
Qwen3A3BMoE14Combine,fwd,102410.810000
Qwen3A3BMoE15Dispatch,fwd,107804.120000
Qwen3A3BMoE15Combine,fwd,108047.470000
Qwen3A3BMoE16Dispatch,fwd,96861.330000
Qwen3A3BMoE16Combine,fwd,97377.830000
Qwen3A3BMoE17Dispatch,fwd,233645.970000
Qwen3A3BMoE17Combine,fwd,230584.640000
Qwen3A3BMoE18Dispatch,fwd,152187.990000
Qwen3A3BMoE18Combine,fwd,153587.370000
Qwen3A3BMoE19Dispatch,fwd,182959.080000
Qwen3A3BMoE19Combine,fwd,181317.060000
Qwen3A3BMoE20Dispatch,fwd,137085.760000
Qwen3A3BMoE20Combine,fwd,137679.170000
Qwen3A3BMoE21Dispatch,fwd,112712.440000
Qwen3A3BMoE21Combine,fwd,112652.660000
Qwen3A3BMoE22Dispatch,fwd,99619.240000
Qwen3A3BMoE22Combine,fwd,101269.440000
Qwen3A3BMoE23Dispatch,fwd,87371.230000
Qwen3A3BMoE23Combine,fwd,86857.940000
Qwen3A3BMoE24Dispatch,fwd,87777.800000
Qwen3A3BMoE24Combine,fwd,87569.830000
Qwen3A3BMoE25Dispatch,fwd,148925.880000
Qwen3A3BMoE25Combine,fwd,146932.300000
Qwen3A3BMoE26Dispatch,fwd,114690.280000
Qwen3A3BMoE26Combine,fwd,114944.790000
Qwen3A3BMoE27Dispatch,fwd,101615.510000
Qwen3A3BMoE27Combine,fwd,100444.240000
Qwen3A3BMoE28Dispatch,fwd,95497.040000
Qwen3A3BMoE28Combine,fwd,95402.380000
Qwen3A3BMoE29Dispatch,fwd,227135.980000
Qwen3A3BMoE29Combine,fwd,228830.120000
Qwen3A3BMoE30Dispatch,fwd,151079.900000
Qwen3A3BMoE30Combine,fwd,151759.810000
Qwen3A3BMoE31Dispatch,fwd,174930.340000
Qwen3A3BMoE31Combine,fwd,174930.340000
Qwen3A3BMoE32Dispatch,fwd,122296.290000
Qwen3A3BMoE32Combine,fwd,128564.970000
Qwen3A3BMoE33Dispatch,fwd,116420.980000
Qwen3A3BMoE33Combine,fwd,112684.250000
Qwen3A3BMoE34Dispatch,fwd,106200.170000
Qwen3A3BMoE34Combine,fwd,105571.190000
Qwen3A3BMoE35Dispatch,fwd,90134.820000
Qwen3A3BMoE35Combine,fwd,90096.360000
Qwen3A3BMoE36Dispatch,fwd,92602.230000
Qwen3A3BMoE36Combine,fwd,92928.680000
Qwen3A3BMoE37Dispatch,fwd,157921.420000
Qwen3A3BMoE37Combine,fwd,155711.590000
Qwen3A3BMoE38Dispatch,fwd,110412.540000
Qwen3A3BMoE38Combine,fwd,110282.410000
Qwen3A3BMoE39Dispatch,fwd,103835.490000
Qwen3A3BMoE39Combine,fwd,103365.740000
Qwen3A3BMoE40Dispatch,fwd,106788.100000
Qwen3A3BMoE40Combine,fwd,106641.220000
Qwen3A3BMoE41Dispatch,fwd,213849.150000
Qwen3A3BMoE41Combine,fwd,212440.110000
Qwen3A3BMoE42Dispatch,fwd,143905.350000
Qwen3A3BMoE42Combine,fwd,143572.920000
Qwen3A3BMoE43Dispatch,fwd,97857.530000
Qwen3A3BMoE43Combine,fwd,98167.450000
Qwen3A3BMoE44Dispatch,fwd,104737.010000
Qwen3A3BMoE44Combine,fwd,109748.800000
Qwen3A3BMoE45Dispatch,fwd,119631.290000
Qwen3A3BMoE45Combine,fwd,120197.310000
Qwen3A3BMoE46Dispatch,fwd,130318.970000
Qwen3A3BMoE46Combine,fwd,130349.370000
Qwen3A3BMoE47Dispatch,fwd,137494.020000
Qwen3A3BMoE47Combine,fwd,137117.840000
Qwen3A3BMoE48Dispatch,fwd,101064.050000
Qwen3A3BMoE48Combine,fwd,105179.270000
