layer,phase,duration_us
Qwen3A3BMoE01Dispatch,fwd,190494.140000
Qwen3A3BMoE01Combine,fwd,190494.140000
Qwen3A3BMoE02Dispatch,fwd,196187.500000
Qwen3A3BMoE02Combine,fwd,196187.500000
Qwen3A3BMoE03Dispatch,fwd,216215.170000
Qwen3A3BMoE03Combine,fwd,216215.170000
Qwen3A3BMoE04Dispatch,fwd,205023.770000
Qwen3A3BMoE04Combine,fwd,205023.770000
Qwen3A3BMoE05Dispatch,fwd,268386.400000
Qwen3A3BMoE05Combine,fwd,268386.400000
Qwen3A3BMoE06Dispatch,fwd,213431.970000
Qwen3A3BMoE06Combine,fwd,213431.970000
Qwen3A3BMoE07Dispatch,fwd,283467.780000
Qwen3A3BMoE07Combine,fwd,283467.780000
Qwen3A3BMoE08Dispatch,fwd,292064.780000
Qwen3A3BMoE08Combine,fwd,292064.780000
Qwen3A3BMoE09Dispatch,fwd,246682.290000
Qwen3A3BMoE09Combine,fwd,246682.290000
Qwen3A3BMoE10Dispatch,fwd,236312.830000
Qwen3A3BMoE10Combine,fwd,236312.830000
Qwen3A3BMoE11Dispatch,fwd,207937.180000
Qwen3A3BMoE11Combine,fwd,207937.180000
Qwen3A3BMoE12Dispatch,fwd,195140.950000
Qwen3A3BMoE12Combine,fwd,195140.950000
Qwen3A3BMoE13Dispatch,fwd,256599.290000
Qwen3A3BMoE13Combine,fwd,256599.290000
Qwen3A3BMoE14Dispatch,fwd,227198.240000
Qwen3A3BMoE14Combine,fwd,227198.240000
Qwen3A3BMoE15Dispatch,fwd,225399.740000
Qwen3A3BMoE15Combine,fwd,225399.740000
Qwen3A3BMoE16Dispatch,fwd,205342.780000
Qwen3A3BMoE16Combine,fwd,205342.780000
Qwen3A3BMoE17Dispatch,fwd,436228.190000
Qwen3A3BMoE17Combine,fwd,436228.190000
Qwen3A3BMoE18Dispatch,fwd,285199.310000
Qwen3A3BMoE18Combine,fwd,290616.210000
Qwen3A3BMoE19Dispatch,fwd,335843.840000
Qwen3A3BMoE19Combine,fwd,337403.320000
Qwen3A3BMoE20Dispatch,fwd,288656.580000
Qwen3A3BMoE20Combine,fwd,288656.580000
Qwen3A3BMoE21Dispatch,fwd,248262.700000
Qwen3A3BMoE21Combine,fwd,248262.700000
Qwen3A3BMoE22Dispatch,fwd,234180.670000
Qwen3A3BMoE22Combine,fwd,234180.670000
Qwen3A3BMoE23Dispatch,fwd,202675.130000
Qwen3A3BMoE23Combine,fwd,202675.130000
Qwen3A3BMoE24Dispatch,fwd,186858.080000
Qwen3A3BMoE24Combine,fwd,186858.080000
Qwen3A3BMoE25Dispatch,fwd,281714.850000
Qwen3A3BMoE25Combine,fwd,281714.850000
Qwen3A3BMoE26Dispatch,fwd,229533.860000
Qwen3A3BMoE26Combine,fwd,229533.860000
Qwen3A3BMoE27Dispatch,fwd,218921.880000
Qwen3A3BMoE27Combine,fwd,218921.880000
Qwen3A3BMoE28Dispatch,fwd,198034.830000
Qwen3A3BMoE28Combine,fwd,198034.830000
Qwen3A3BMoE29Dispatch,fwd,427121.750000
Qwen3A3BMoE29Combine,fwd,427121.750000
Qwen3A3BMoE30Dispatch,fwd,285622.720000
Qwen3A3BMoE30Combine,fwd,285622.720000
Qwen3A3BMoE31Dispatch,fwd,327595.380000
Qwen3A3BMoE31Combine,fwd,327595.380000
Qwen3A3BMoE32Dispatch,fwd,283176.430000
Qwen3A3BMoE32Combine,fwd,283176.430000
Qwen3A3BMoE33Dispatch,fwd,265230.470000
Qwen3A3BMoE33Combine,fwd,265230.470000
Qwen3A3BMoE34Dispatch,fwd,238166.670000
Qwen3A3BMoE34Combine,fwd,238166.670000
Qwen3A3BMoE35Dispatch,fwd,207496.100000
Qwen3A3BMoE35Combine,fwd,207496.100000
Qwen3A3BMoE36Dispatch,fwd,194597.330000
Qwen3A3BMoE36Combine,fwd,194597.330000
Qwen3A3BMoE37Dispatch,fwd,298166.670000
Qwen3A3BMoE37Combine,fwd,298166.670000
Qwen3A3BMoE38Dispatch,fwd,245166.990000
Qwen3A3BMoE38Combine,fwd,245166.990000
Qwen3A3BMoE39Dispatch,fwd,214820.320000
Qwen3A3BMoE39Combine,fwd,214820.320000
Qwen3A3BMoE40Dispatch,fwd,202831.380000
Qwen3A3BMoE40Combine,fwd,202831.380000
Qwen3A3BMoE41Dispatch,fwd,405028.650000
Qwen3A3BMoE41Combine,fwd,405028.650000
Qwen3A3BMoE42Dispatch,fwd,274330.410000
Qwen3A3BMoE42Combine,fwd,274330.410000
Qwen3A3BMoE43Dispatch,fwd,209929.360000
Qwen3A3BMoE43Combine,fwd,209929.360000
Qwen3A3BMoE44Dispatch,fwd,228851.890000
Qwen3A3BMoE44Combine,fwd,228851.890000
Qwen3A3BMoE45Dispatch,fwd,243441.730000
Qwen3A3BMoE45Combine,fwd,243441.730000
Qwen3A3BMoE46Dispatch,fwd,270176.760000
Qwen3A3BMoE46Combine,fwd,270176.760000
Qwen3A3BMoE47Dispatch,fwd,262133.140000
Qwen3A3BMoE47Combine,fwd,262133.140000
Qwen3A3BMoE48Dispatch,fwd,241457.680000
Qwen3A3BMoE48Combine,fwd,241457.680000
