layer,phase,duration_us
Qwen3A3BMoE01Dispatch,fwd,386.520000
Qwen3A3BMoE01Combine,fwd,409.980000
Qwen3A3BMoE02Dispatch,fwd,399.190000
Qwen3A3BMoE02Combine,fwd,386.640000
Qwen3A3BMoE03Dispatch,fwd,397.510000
Qwen3A3BMoE03Combine,fwd,388.760000
Qwen3A3BMoE04Dispatch,fwd,427.360000
Qwen3A3BMoE04Combine,fwd,412.890000
Qwen3A3BMoE05Dispatch,fwd,420.310000
Qwen3A3BMoE05Combine,fwd,399.980000
Qwen3A3BMoE06Dispatch,fwd,400.100000
Qwen3A3BMoE06Combine,fwd,407.700000
Qwen3A3BMoE07Dispatch,fwd,463.860000
Qwen3A3BMoE07Combine,fwd,445.350000
Qwen3A3BMoE08Dispatch,fwd,433.610000
Qwen3A3BMoE08Combine,fwd,417.850000
Qwen3A3BMoE09Dispatch,fwd,421.530000
Qwen3A3BMoE09Combine,fwd,390.600000
Qwen3A3BMoE10Dispatch,fwd,400.870000
Qwen3A3BMoE10Combine,fwd,406.030000
Qwen3A3BMoE11Dispatch,fwd,438.140000
Qwen3A3BMoE11Combine,fwd,389.970000
Qwen3A3BMoE12Dispatch,fwd,405.170000
Qwen3A3BMoE12Combine,fwd,377.860000
Qwen3A3BMoE13Dispatch,fwd,405.600000
Qwen3A3BMoE13Combine,fwd,372.780000
Qwen3A3BMoE14Dispatch,fwd,401.490000
Qwen3A3BMoE14Combine,fwd,390.340000
Qwen3A3BMoE15Dispatch,fwd,394.110000
Qwen3A3BMoE15Combine,fwd,387.350000
Qwen3A3BMoE16Dispatch,fwd,419.330000
Qwen3A3BMoE16Combine,fwd,395.480000
Qwen3A3BMoE17Dispatch,fwd,513.570000
Qwen3A3BMoE17Combine,fwd,455.140000
Qwen3A3BMoE18Dispatch,fwd,405.300000
Qwen3A3BMoE18Combine,fwd,394.300000
Qwen3A3BMoE19Dispatch,fwd,475.030000
Qwen3A3BMoE19Combine,fwd,471.320000
Qwen3A3BMoE20Dispatch,fwd,441.770000
Qwen3A3BMoE20Combine,fwd,404.450000
Qwen3A3BMoE21Dispatch,fwd,429.840000
Qwen3A3BMoE21Combine,fwd,401.020000
Qwen3A3BMoE22Dispatch,fwd,421.350000
Qwen3A3BMoE22Combine,fwd,411.910000
Qwen3A3BMoE23Dispatch,fwd,417.660000
Qwen3A3BMoE23Combine,fwd,375.720000
Qwen3A3BMoE24Dispatch,fwd,398.410000
Qwen3A3BMoE24Combine,fwd,400.010000
Qwen3A3BMoE25Dispatch,fwd,397.840000
Qwen3A3BMoE25Combine,fwd,397.040000
Qwen3A3BMoE26Dispatch,fwd,423.750000
Qwen3A3BMoE26Combine,fwd,374.970000
Qwen3A3BMoE27Dispatch,fwd,441.620000
Qwen3A3BMoE27Combine,fwd,405.590000
Qwen3A3BMoE28Dispatch,fwd,428.010000
Qwen3A3BMoE28Combine,fwd,378.120000
Qwen3A3BMoE29Dispatch,fwd,433.450000
Qwen3A3BMoE29Combine,fwd,437.220000
Qwen3A3BMoE30Dispatch,fwd,427.180000
Qwen3A3BMoE30Combine,fwd,390.070000
Qwen3A3BMoE31Dispatch,fwd,448.800000
Qwen3A3BMoE31Combine,fwd,429.710000
Qwen3A3BMoE32Dispatch,fwd,434.320000
Qwen3A3BMoE32Combine,fwd,421.840000
Qwen3A3BMoE33Dispatch,fwd,405.860000
Qwen3A3BMoE33Combine,fwd,409.350000
Qwen3A3BMoE34Dispatch,fwd,434.230000
Qwen3A3BMoE34Combine,fwd,393.130000
Qwen3A3BMoE35Dispatch,fwd,398.880000
Qwen3A3BMoE35Combine,fwd,389.110000
Qwen3A3BMoE36Dispatch,fwd,404.160000
Qwen3A3BMoE36Combine,fwd,434.070000
Qwen3A3BMoE37Dispatch,fwd,393.600000
Qwen3A3BMoE37Combine,fwd,370.710000
Qwen3A3BMoE38Dispatch,fwd,379.380000
Qwen3A3BMoE38Combine,fwd,395.780000
Qwen3A3BMoE39Dispatch,fwd,428.530000
Qwen3A3BMoE39Combine,fwd,381.360000
Qwen3A3BMoE40Dispatch,fwd,420.120000
Qwen3A3BMoE40Combine,fwd,399.690000
Qwen3A3BMoE41Dispatch,fwd,439.040000
Qwen3A3BMoE41Combine,fwd,442.560000
Qwen3A3BMoE42Dispatch,fwd,455.830000
Qwen3A3BMoE42Combine,fwd,428.040000
Qwen3A3BMoE43Dispatch,fwd,419.880000
Qwen3A3BMoE43Combine,fwd,422.060000
Qwen3A3BMoE44Dispatch,fwd,425.310000
Qwen3A3BMoE44Combine,fwd,395.730000
Qwen3A3BMoE45Dispatch,fwd,439.410000
Qwen3A3BMoE45Combine,fwd,412.080000
Qwen3A3BMoE46Dispatch,fwd,427.600000
Qwen3A3BMoE46Combine,fwd,421.740000
Qwen3A3BMoE47Dispatch,fwd,448.540000
Qwen3A3BMoE47Combine,fwd,416.650000
Qwen3A3BMoE48Dispatch,fwd,426.660000
Qwen3A3BMoE48Combine,fwd,390.360000
