layer,phase,duration_us
Qwen3A3BMoE01Dispatch,fwd,635.290000
Qwen3A3BMoE01Combine,fwd,622.350000
Qwen3A3BMoE02Dispatch,fwd,662.130000
Qwen3A3BMoE02Combine,fwd,684.810000
Qwen3A3BMoE03Dispatch,fwd,697.210000
Qwen3A3BMoE03Combine,fwd,665.130000
Qwen3A3BMoE04Dispatch,fwd,753.750000
Qwen3A3BMoE04Combine,fwd,799.530000
Qwen3A3BMoE05Dispatch,fwd,778.070000
Qwen3A3BMoE05Combine,fwd,763.830000
Qwen3A3BMoE06Dispatch,fwd,807.560000
Qwen3A3BMoE06Combine,fwd,630.730000
Qwen3A3BMoE07Dispatch,fwd,931.000000
Qwen3A3BMoE07Combine,fwd,777.660000
Qwen3A3BMoE08Dispatch,fwd,1033.490000
Qwen3A3BMoE08Combine,fwd,1065.870000
Qwen3A3BMoE09Dispatch,fwd,672.140000
Qwen3A3BMoE09Combine,fwd,720.030000
Qwen3A3BMoE10Dispatch,fwd,787.380000
Qwen3A3BMoE10Combine,fwd,796.230000
Qwen3A3BMoE11Dispatch,fwd,685.470000
Qwen3A3BMoE11Combine,fwd,841.280000
Qwen3A3BMoE12Dispatch,fwd,826.230000
Qwen3A3BMoE12Combine,fwd,759.110000
Qwen3A3BMoE13Dispatch,fwd,702.730000
Qwen3A3BMoE13Combine,fwd,677.460000
Qwen3A3BMoE14Dispatch,fwd,773.030000
Qwen3A3BMoE14Combine,fwd,769.490000
Qwen3A3BMoE15Dispatch,fwd,712.270000
Qwen3A3BMoE15Combine,fwd,669.690000
Qwen3A3BMoE16Dispatch,fwd,810.430000
Qwen3A3BMoE16Combine,fwd,731.200000
Qwen3A3BMoE17Dispatch,fwd,995.300000
Qwen3A3BMoE17Combine,fwd,1206.990000
Qwen3A3BMoE18Dispatch,fwd,795.300000
Qwen3A3BMoE18Combine,fwd,693.330000
Qwen3A3BMoE19Dispatch,fwd,1057.900000
Qwen3A3BMoE19Combine,fwd,841.690000
Qwen3A3BMoE20Dispatch,fwd,1034.580000
Qwen3A3BMoE20Combine,fwd,1075.270000
Qwen3A3BMoE21Dispatch,fwd,733.040000
Qwen3A3BMoE21Combine,fwd,739.100000
Qwen3A3BMoE22Dispatch,fwd,791.460000
Qwen3A3BMoE22Combine,fwd,800.390000
Qwen3A3BMoE23Dispatch,fwd,796.640000
Qwen3A3BMoE23Combine,fwd,934.740000
Qwen3A3BMoE24Dispatch,fwd,835.830000
Qwen3A3BMoE24Combine,fwd,779.470000
Qwen3A3BMoE25Dispatch,fwd,597.350000
Qwen3A3BMoE25Combine,fwd,638.220000
Qwen3A3BMoE26Dispatch,fwd,767.760000
Qwen3A3BMoE26Combine,fwd,794.080000
Qwen3A3BMoE27Dispatch,fwd,724.530000
Qwen3A3BMoE27Combine,fwd,741.150000
Qwen3A3BMoE28Dispatch,fwd,748.570000
Qwen3A3BMoE28Combine,fwd,623.980000
Qwen3A3BMoE29Dispatch,fwd,926.570000
Qwen3A3BMoE29Combine,fwd,1083.900000
Qwen3A3BMoE30Dispatch,fwd,785.090000
Qwen3A3BMoE30Combine,fwd,758.430000
Qwen3A3BMoE31Dispatch,fwd,1087.260000
Qwen3A3BMoE31Combine,fwd,903.140000
Qwen3A3BMoE32Dispatch,fwd,1043.170000
Qwen3A3BMoE32Combine,fwd,1073.640000
Qwen3A3BMoE33Dispatch,fwd,762.810000
Qwen3A3BMoE33Combine,fwd,754.160000
Qwen3A3BMoE34Dispatch,fwd,825.590000
Qwen3A3BMoE34Combine,fwd,831.860000
Qwen3A3BMoE35Dispatch,fwd,682.610000
Qwen3A3BMoE35Combine,fwd,889.850000
Qwen3A3BMoE36Dispatch,fwd,841.010000
Qwen3A3BMoE36Combine,fwd,827.290000
Qwen3A3BMoE37Dispatch,fwd,669.550000
Qwen3A3BMoE37Combine,fwd,674.600000
Qwen3A3BMoE38Dispatch,fwd,682.270000
Qwen3A3BMoE38Combine,fwd,728.610000
Qwen3A3BMoE39Dispatch,fwd,698.510000
Qwen3A3BMoE39Combine,fwd,734.610000
Qwen3A3BMoE40Dispatch,fwd,734.860000
Qwen3A3BMoE40Combine,fwd,804.770000
Qwen3A3BMoE41Dispatch,fwd,857.500000
Qwen3A3BMoE41Combine,fwd,1015.170000
Qwen3A3BMoE42Dispatch,fwd,847.480000
Qwen3A3BMoE42Combine,fwd,879.130000
Qwen3A3BMoE43Dispatch,fwd,759.000000
Qwen3A3BMoE43Combine,fwd,959.610000
Qwen3A3BMoE44Dispatch,fwd,903.070000
Qwen3A3BMoE44Combine,fwd,736.860000
Qwen3A3BMoE45Dispatch,fwd,953.180000
Qwen3A3BMoE45Combine,fwd,875.340000
Qwen3A3BMoE46Dispatch,fwd,758.040000
Qwen3A3BMoE46Combine,fwd,818.460000
Qwen3A3BMoE47Dispatch,fwd,832.700000
Qwen3A3BMoE47Combine,fwd,780.380000
Qwen3A3BMoE48Dispatch,fwd,760.770000
Qwen3A3BMoE48Combine,fwd,743.510000
