layer,phase,duration_us
Qwen3A3BMoE01Dispatch,fwd,2232.940000
Qwen3A3BMoE01Combine,fwd,2252.630000
Qwen3A3BMoE02Dispatch,fwd,2541.160000
Qwen3A3BMoE02Combine,fwd,2217.070000
Qwen3A3BMoE03Dispatch,fwd,2643.880000
Qwen3A3BMoE03Combine,fwd,2413.390000
Qwen3A3BMoE04Dispatch,fwd,2414.340000
Qwen3A3BMoE04Combine,fwd,2716.270000
Qwen3A3BMoE05Dispatch,fwd,2353.580000
Qwen3A3BMoE05Combine,fwd,2467.270000
Qwen3A3BMoE06Dispatch,fwd,2335.050000
Qwen3A3BMoE06Combine,fwd,2567.520000
Qwen3A3BMoE07Dispatch,fwd,2815.670000
Qwen3A3BMoE07Combine,fwd,2999.830000
Qwen3A3BMoE08Dispatch,fwd,3622.850000
Qwen3A3BMoE08Combine,fwd,3752.370000
Qwen3A3BMoE09Dispatch,fwd,2372.650000
Qwen3A3BMoE09Combine,fwd,2387.620000
Qwen3A3BMoE10Dispatch,fwd,2920.010000
Qwen3A3BMoE10Combine,fwd,2931.140000
Qwen3A3BMoE11Dispatch,fwd,2449.650000
Qwen3A3BMoE11Combine,fwd,2746.400000
Qwen3A3BMoE12Dispatch,fwd,3028.490000
Qwen3A3BMoE12Combine,fwd,2619.790000
Qwen3A3BMoE13Dispatch,fwd,2411.030000
Qwen3A3BMoE13Combine,fwd,2327.220000
Qwen3A3BMoE14Dispatch,fwd,2680.910000
Qwen3A3BMoE14Combine,fwd,2576.760000
Qwen3A3BMoE15Dispatch,fwd,2365.820000
Qwen3A3BMoE15Combine,fwd,2263.930000
Qwen3A3BMoE16Dispatch,fwd,2394.610000
Qwen3A3BMoE16Combine,fwd,2593.610000
Qwen3A3BMoE17Dispatch,fwd,3873.500000
Qwen3A3BMoE17Combine,fwd,3778.950000
Qwen3A3BMoE18Dispatch,fwd,2795.330000
Qwen3A3BMoE18Combine,fwd,2620.170000
Qwen3A3BMoE19Dispatch,fwd,2921.600000
Qwen3A3BMoE19Combine,fwd,3187.270000
Qwen3A3BMoE20Dispatch,fwd,3652.390000
Qwen3A3BMoE20Combine,fwd,3775.100000
Qwen3A3BMoE21Dispatch,fwd,2427.120000
Qwen3A3BMoE21Combine,fwd,2627.490000
Qwen3A3BMoE22Dispatch,fwd,2932.530000
Qwen3A3BMoE22Combine,fwd,2961.860000
Qwen3A3BMoE23Dispatch,fwd,2804.430000
Qwen3A3BMoE23Combine,fwd,3090.340000
Qwen3A3BMoE24Dispatch,fwd,3080.050000
Qwen3A3BMoE24Combine,fwd,2691.560000
Qwen3A3BMoE25Dispatch,fwd,2210.820000
Qwen3A3BMoE25Combine,fwd,2278.030000
Qwen3A3BMoE26Dispatch,fwd,2654.760000
Qwen3A3BMoE26Combine,fwd,2716.000000
Qwen3A3BMoE27Dispatch,fwd,2432.550000
Qwen3A3BMoE27Combine,fwd,2386.410000
Qwen3A3BMoE28Dispatch,fwd,2239.020000
Qwen3A3BMoE28Combine,fwd,2329.030000
Qwen3A3BMoE29Dispatch,fwd,3508.860000
Qwen3A3BMoE29Combine,fwd,3395.100000
Qwen3A3BMoE30Dispatch,fwd,2958.210000
Qwen3A3BMoE30Combine,fwd,2697.440000
Qwen3A3BMoE31Dispatch,fwd,2947.190000
Qwen3A3BMoE31Combine,fwd,3261.000000
Qwen3A3BMoE32Dispatch,fwd,3666.760000
Qwen3A3BMoE32Combine,fwd,3783.160000
Qwen3A3BMoE33Dispatch,fwd,2411.840000
Qwen3A3BMoE33Combine,fwd,2556.660000
Qwen3A3BMoE34Dispatch,fwd,3008.050000
Qwen3A3BMoE34Combine,fwd,3107.500000
Qwen3A3BMoE35Dispatch,fwd,2482.910000
Qwen3A3BMoE35Combine,fwd,2817.310000
Qwen3A3BMoE36Dispatch,fwd,3169.420000
Qwen3A3BMoE36Combine,fwd,2833.540000
Qwen3A3BMoE37Dispatch,fwd,2482.210000
Qwen3A3BMoE37Combine,fwd,2398.790000
Qwen3A3BMoE38Dispatch,fwd,2505.370000
Qwen3A3BMoE38Combine,fwd,2487.800000
Qwen3A3BMoE39Dispatch,fwd,2441.110000
Qwen3A3BMoE39Combine,fwd,2374.290000
Qwen3A3BMoE40Dispatch,fwd,2633.160000
Qwen3A3BMoE40Combine,fwd,2562.020000
Qwen3A3BMoE41Dispatch,fwd,3364.180000
Qwen3A3BMoE41Combine,fwd,3229.390000
Qwen3A3BMoE42Dispatch,fwd,3008.320000
Qwen3A3BMoE42Combine,fwd,3081.500000
Qwen3A3BMoE43Dispatch,fwd,2686.570000
Qwen3A3BMoE43Combine,fwd,3020.130000
Qwen3A3BMoE44Dispatch,fwd,2398.830000
Qwen3A3BMoE44Combine,fwd,2921.810000
Qwen3A3BMoE45Dispatch,fwd,3019.260000
Qwen3A3BMoE45Combine,fwd,3277.160000
Qwen3A3BMoE46Dispatch,fwd,2862.360000
Qwen3A3BMoE46Combine,fwd,2661.360000
Qwen3A3BMoE47Dispatch,fwd,2788.930000
Qwen3A3BMoE47Combine,fwd,2580.480000
Qwen3A3BMoE48Dispatch,fwd,2925.120000
Qwen3A3BMoE48Combine,fwd,2802.210000
