layer,phase,duration_us
Qwen3A3BMoE01Dispatch,fwd,33977.560000
Qwen3A3BMoE01Combine,fwd,33222.340000
Qwen3A3BMoE02Dispatch,fwd,30989.380000
Qwen3A3BMoE02Combine,fwd,33154.180000
Qwen3A3BMoE03Dispatch,fwd,34651.130000
Qwen3A3BMoE03Combine,fwd,32147.780000
Qwen3A3BMoE04Dispatch,fwd,35020.290000
Qwen3A3BMoE04Combine,fwd,35164.570000
Qwen3A3BMoE05Dispatch,fwd,34063.580000
Qwen3A3BMoE05Combine,fwd,34687.420000
Qwen3A3BMoE06Dispatch,fwd,33093.230000
Qwen3A3BMoE06Combine,fwd,34557.490000
Qwen3A3BMoE07Dispatch,fwd,35961.800000
Qwen3A3BMoE07Combine,fwd,36410.340000
Qwen3A3BMoE08Dispatch,fwd,40790.250000
Qwen3A3BMoE08Combine,fwd,43718.890000
Qwen3A3BMoE09Dispatch,fwd,33016.620000
Qwen3A3BMoE09Combine,fwd,32972.430000
Qwen3A3BMoE10Dispatch,fwd,35703.940000
Qwen3A3BMoE10Combine,fwd,37591.670000
Qwen3A3BMoE11Dispatch,fwd,29461.730000
Qwen3A3BMoE11Combine,fwd,35404.940000
Qwen3A3BMoE12Dispatch,fwd,30242.790000
Qwen3A3BMoE12Combine,fwd,32464.260000
Qwen3A3BMoE13Dispatch,fwd,38299.750000
Qwen3A3BMoE13Combine,fwd,36682.410000
Qwen3A3BMoE14Dispatch,fwd,30479.620000
Qwen3A3BMoE14Combine,fwd,31975.980000
Qwen3A3BMoE15Dispatch,fwd,31010.410000
Qwen3A3BMoE15Combine,fwd,31211.720000
Qwen3A3BMoE16Dispatch,fwd,31242.060000
Qwen3A3BMoE16Combine,fwd,34633.690000
Qwen3A3BMoE17Dispatch,fwd,42423.750000
Qwen3A3BMoE17Combine,fwd,42685.650000
Qwen3A3BMoE18Dispatch,fwd,33952.180000
Qwen3A3BMoE18Combine,fwd,34489.500000
Qwen3A3BMoE19Dispatch,fwd,39179.490000
Qwen3A3BMoE19Combine,fwd,38322.640000
Qwen3A3BMoE20Dispatch,fwd,41226.760000
Qwen3A3BMoE20Combine,fwd,43159.180000
Qwen3A3BMoE21Dispatch,fwd,37253.520000
Qwen3A3BMoE21Combine,fwd,35249.940000
Qwen3A3BMoE22Dispatch,fwd,38732.220000
Qwen3A3BMoE22Combine,fwd,37094.080000
Qwen3A3BMoE23Dispatch,fwd,28290.670000
Qwen3A3BMoE23Combine,fwd,35571.700000
Qwen3A3BMoE24Dispatch,fwd,30927.990000
Qwen3A3BMoE24Combine,fwd,31472.710000
Qwen3A3BMoE25Dispatch,fwd,42439.830000
Qwen3A3BMoE25Combine,fwd,42544.960000
Qwen3A3BMoE26Dispatch,fwd,31136.340000
Qwen3A3BMoE26Combine,fwd,33449.140000
Qwen3A3BMoE27Dispatch,fwd,30183.080000
Qwen3A3BMoE27Combine,fwd,31846.460000
Qwen3A3BMoE28Dispatch,fwd,32031.750000
Qwen3A3BMoE28Combine,fwd,34171.750000
Qwen3A3BMoE29Dispatch,fwd,42401.420000
Qwen3A3BMoE29Combine,fwd,40393.740000
Qwen3A3BMoE30Dispatch,fwd,33911.080000
Qwen3A3BMoE30Combine,fwd,33610.940000
Qwen3A3BMoE31Dispatch,fwd,35832.870000
Qwen3A3BMoE31Combine,fwd,36375.370000
Qwen3A3BMoE32Dispatch,fwd,39493.120000
Qwen3A3BMoE32Combine,fwd,39552.060000
Qwen3A3BMoE33Dispatch,fwd,38639.980000
Qwen3A3BMoE33Combine,fwd,37111.520000
Qwen3A3BMoE34Dispatch,fwd,36635.810000
Qwen3A3BMoE34Combine,fwd,38243.170000
Qwen3A3BMoE35Dispatch,fwd,30540.250000
Qwen3A3BMoE35Combine,fwd,33150.090000
Qwen3A3BMoE36Dispatch,fwd,29889.980000
Qwen3A3BMoE36Combine,fwd,29544.660000
Qwen3A3BMoE37Dispatch,fwd,41389.660000
Qwen3A3BMoE37Combine,fwd,41805.820000
Qwen3A3BMoE38Dispatch,fwd,33535.740000
Qwen3A3BMoE38Combine,fwd,34476.240000
Qwen3A3BMoE39Dispatch,fwd,35872.510000
Qwen3A3BMoE39Combine,fwd,36915.470000
Qwen3A3BMoE40Dispatch,fwd,32395.330000
Qwen3A3BMoE40Combine,fwd,33279.430000
Qwen3A3BMoE41Dispatch,fwd,39428.220000
Qwen3A3BMoE41Combine,fwd,38184.900000
Qwen3A3BMoE42Dispatch,fwd,32574.940000
Qwen3A3BMoE42Combine,fwd,32711.350000
Qwen3A3BMoE43Dispatch,fwd,33354.900000
Qwen3A3BMoE43Combine,fwd,34873.150000
Qwen3A3BMoE44Dispatch,fwd,33247.500000
Qwen3A3BMoE44Combine,fwd,32791.830000
Qwen3A3BMoE45Dispatch,fwd,33334.110000
Qwen3A3BMoE45Combine,fwd,31430.120000
Qwen3A3BMoE46Dispatch,fwd,37777.000000
Qwen3A3BMoE46Combine,fwd,37227.190000
Qwen3A3BMoE47Dispatch,fwd,34877.420000
Qwen3A3BMoE47Combine,fwd,34541.730000
Qwen3A3BMoE48Dispatch,fwd,31803.280000
Qwen3A3BMoE48Combine,fwd,32898.230000
