layer,phase,duration_us
Qwen3A3BMoE01Dispatch,fwd,78681.820000
Qwen3A3BMoE01Combine,fwd,64591.410000
Qwen3A3BMoE02Dispatch,fwd,74330.880000
Qwen3A3BMoE02Combine,fwd,59813.230000
Qwen3A3BMoE03Dispatch,fwd,75686.730000
Qwen3A3BMoE03Combine,fwd,62367.990000
Qwen3A3BMoE04Dispatch,fwd,77489.630000
Qwen3A3BMoE04Combine,fwd,63839.550000
Qwen3A3BMoE05Dispatch,fwd,80752.650000
Qwen3A3BMoE05Combine,fwd,68767.960000
Qwen3A3BMoE06Dispatch,fwd,70753.970000
Qwen3A3BMoE06Combine,fwd,63163.810000
Qwen3A3BMoE07Dispatch,fwd,94341.690000
Qwen3A3BMoE07Combine,fwd,66248.080000
Qwen3A3BMoE08Dispatch,fwd,78760.290000
Qwen3A3BMoE08Combine,fwd,68964.150000
Qwen3A3BMoE09Dispatch,fwd,74976.110000
Qwen3A3BMoE09Combine,fwd,65877.510000
Qwen3A3BMoE10Dispatch,fwd,76419.160000
Qwen3A3BMoE10Combine,fwd,86152.260000
Qwen3A3BMoE11Dispatch,fwd,70346.160000
Qwen3A3BMoE11Combine,fwd,57772.920000
Qwen3A3BMoE12Dispatch,fwd,78071.460000
Qwen3A3BMoE12Combine,fwd,58701.520000
Qwen3A3BMoE13Dispatch,fwd,82378.800000
Qwen3A3BMoE13Combine,fwd,63974.700000
Qwen3A3BMoE14Dispatch,fwd,65563.620000
Qwen3A3BMoE14Combine,fwd,62721.120000
Qwen3A3BMoE15Dispatch,fwd,78367.920000
Qwen3A3BMoE15Combine,fwd,63427.390000
Qwen3A3BMoE16Dispatch,fwd,72774.490000
Qwen3A3BMoE16Combine,fwd,65454.630000
Qwen3A3BMoE17Dispatch,fwd,125814.040000
Qwen3A3BMoE17Combine,fwd,108181.600000
Qwen3A3BMoE18Dispatch,fwd,105184.150000
Qwen3A3BMoE18Combine,fwd,79150.660000
Qwen3A3BMoE19Dispatch,fwd,99994.160000
Qwen3A3BMoE19Combine,fwd,68894.390000
Qwen3A3BMoE20Dispatch,fwd,73951.590000
Qwen3A3BMoE20Combine,fwd,67067.700000
Qwen3A3BMoE21Dispatch,fwd,78130.500000
Qwen3A3BMoE21Combine,fwd,84560.990000
Qwen3A3BMoE22Dispatch,fwd,75521.070000
Qwen3A3BMoE22Combine,fwd,81212.780000
Qwen3A3BMoE23Dispatch,fwd,63797.960000
Qwen3A3BMoE23Combine,fwd,52125.160000
Qwen3A3BMoE24Dispatch,fwd,78965.190000
Qwen3A3BMoE24Combine,fwd,58021.420000
Qwen3A3BMoE25Dispatch,fwd,86803.850000
Qwen3A3BMoE25Combine,fwd,69712.010000
Qwen3A3BMoE26Dispatch,fwd,68929.270000
Qwen3A3BMoE26Combine,fwd,61234.480000
Qwen3A3BMoE27Dispatch,fwd,74439.870000
Qwen3A3BMoE27Combine,fwd,63514.580000
Qwen3A3BMoE28Dispatch,fwd,74919.430000
Qwen3A3BMoE28Combine,fwd,57772.920000
Qwen3A3BMoE29Dispatch,fwd,124475.620000
Qwen3A3BMoE29Combine,fwd,106581.600000
Qwen3A3BMoE30Dispatch,fwd,98487.720000
Qwen3A3BMoE30Combine,fwd,77276.010000
Qwen3A3BMoE31Dispatch,fwd,95935.330000
Qwen3A3BMoE31Combine,fwd,70341.800000
Qwen3A3BMoE32Dispatch,fwd,86546.630000
Qwen3A3BMoE32Combine,fwd,72844.240000
Qwen3A3BMoE33Dispatch,fwd,79839.480000
Qwen3A3BMoE33Combine,fwd,86862.890000
Qwen3A3BMoE34Dispatch,fwd,78215.330000
Qwen3A3BMoE34Combine,fwd,85908.120000
Qwen3A3BMoE35Dispatch,fwd,66941.270000
Qwen3A3BMoE35Combine,fwd,57855.750000
Qwen3A3BMoE36Dispatch,fwd,80055.110000
Qwen3A3BMoE36Combine,fwd,59192.160000
Qwen3A3BMoE37Dispatch,fwd,87427.280000
Qwen3A3BMoE37Combine,fwd,72885.840000
Qwen3A3BMoE38Dispatch,fwd,63880.790000
Qwen3A3BMoE38Combine,fwd,63231.200000
Qwen3A3BMoE39Dispatch,fwd,78293.810000
Qwen3A3BMoE39Combine,fwd,65110.210000
Qwen3A3BMoE40Dispatch,fwd,79571.190000
Qwen3A3BMoE40Combine,fwd,67621.370000
Qwen3A3BMoE41Dispatch,fwd,109848.980000
Qwen3A3BMoE41Combine,fwd,97448.130000
Qwen3A3BMoE42Dispatch,fwd,83407.680000
Qwen3A3BMoE42Combine,fwd,73060.220000
Qwen3A3BMoE43Dispatch,fwd,72351.600000
Qwen3A3BMoE43Combine,fwd,65208.490000
Qwen3A3BMoE44Dispatch,fwd,72717.810000
Qwen3A3BMoE44Combine,fwd,72133.620000
Qwen3A3BMoE45Dispatch,fwd,72386.480000
Qwen3A3BMoE45Combine,fwd,57278.270000
Qwen3A3BMoE46Dispatch,fwd,77609.340000
Qwen3A3BMoE46Combine,fwd,69086.080000
Qwen3A3BMoE47Dispatch,fwd,80556.470000
Qwen3A3BMoE47Combine,fwd,76680.740000
Qwen3A3BMoE48Dispatch,fwd,76955.390000
Qwen3A3BMoE48Combine,fwd,60890.070000
