layer,phase,duration_us
Qwen3A3BMoE01Dispatch,fwd,269911.380000
Qwen3A3BMoE01Combine,fwd,219340.110000
Qwen3A3BMoE02Dispatch,fwd,263759.910000
Qwen3A3BMoE02Combine,fwd,233249.410000
Qwen3A3BMoE03Dispatch,fwd,291804.560000
Qwen3A3BMoE03Combine,fwd,245080.510000
Qwen3A3BMoE04Dispatch,fwd,278106.530000
Qwen3A3BMoE04Combine,fwd,254346.780000
Qwen3A3BMoE05Dispatch,fwd,321221.510000
Qwen3A3BMoE05Combine,fwd,297021.430000
Qwen3A3BMoE06Dispatch,fwd,252225.560000
Qwen3A3BMoE06Combine,fwd,258358.660000
Qwen3A3BMoE07Dispatch,fwd,260787.920000
Qwen3A3BMoE07Combine,fwd,252570.480000
Qwen3A3BMoE08Dispatch,fwd,311017.560000
Qwen3A3BMoE08Combine,fwd,272329.350000
Qwen3A3BMoE09Dispatch,fwd,293594.380000
Qwen3A3BMoE09Combine,fwd,271905.460000
Qwen3A3BMoE10Dispatch,fwd,279700.100000
Qwen3A3BMoE10Combine,fwd,304111.230000
Qwen3A3BMoE11Dispatch,fwd,271687.060000
Qwen3A3BMoE11Combine,fwd,234457.040000
Qwen3A3BMoE12Dispatch,fwd,272334.350000
Qwen3A3BMoE12Combine,fwd,233361.760000
Qwen3A3BMoE13Dispatch,fwd,316349.420000
Qwen3A3BMoE13Combine,fwd,271451.060000
Qwen3A3BMoE14Dispatch,fwd,270773.590000
Qwen3A3BMoE14Combine,fwd,249633.990000
Qwen3A3BMoE15Dispatch,fwd,294645.000000
Qwen3A3BMoE15Combine,fwd,261187.070000
Qwen3A3BMoE16Dispatch,fwd,278700.800000
Qwen3A3BMoE16Combine,fwd,253810.540000
Qwen3A3BMoE17Dispatch,fwd,377852.850000
Qwen3A3BMoE17Combine,fwd,370288.780000
Qwen3A3BMoE18Dispatch,fwd,258769.400000
Qwen3A3BMoE18Combine,fwd,311648.070000
Qwen3A3BMoE19Dispatch,fwd,261484.970000
Qwen3A3BMoE19Combine,fwd,300710.280000
Qwen3A3BMoE20Dispatch,fwd,319211.650000
Qwen3A3BMoE20Combine,fwd,279527.140000
Qwen3A3BMoE21Dispatch,fwd,310152.290000
Qwen3A3BMoE21Combine,fwd,308918.930000
Qwen3A3BMoE22Dispatch,fwd,272977.520000
Qwen3A3BMoE22Combine,fwd,296437.240000
Qwen3A3BMoE23Dispatch,fwd,264225.390000
Qwen3A3BMoE23Combine,fwd,234338.960000
Qwen3A3BMoE24Dispatch,fwd,270490.220000
Qwen3A3BMoE24Combine,fwd,231357.320000
Qwen3A3BMoE25Dispatch,fwd,334398.380000
Qwen3A3BMoE25Combine,fwd,284534.380000
Qwen3A3BMoE26Dispatch,fwd,274677.780000
Qwen3A3BMoE26Combine,fwd,255932.690000
Qwen3A3BMoE27Dispatch,fwd,284280.800000
Qwen3A3BMoE27Combine,fwd,256307.620000
Qwen3A3BMoE28Dispatch,fwd,271226.000000
Qwen3A3BMoE28Combine,fwd,243316.850000
Qwen3A3BMoE29Dispatch,fwd,383455.010000
Qwen3A3BMoE29Combine,fwd,364455.560000
Qwen3A3BMoE30Dispatch,fwd,266900.160000
Qwen3A3BMoE30Combine,fwd,298137.500000
Qwen3A3BMoE31Dispatch,fwd,268669.680000
Qwen3A3BMoE31Combine,fwd,307001.760000
Qwen3A3BMoE32Dispatch,fwd,325478.530000
Qwen3A3BMoE32Combine,fwd,277084.730000
Qwen3A3BMoE33Dispatch,fwd,314660.170000
Qwen3A3BMoE33Combine,fwd,318828.420000
Qwen3A3BMoE34Dispatch,fwd,282481.560000
Qwen3A3BMoE34Combine,fwd,306697.500000
Qwen3A3BMoE35Dispatch,fwd,261565.000000
Qwen3A3BMoE35Combine,fwd,240351.290000
Qwen3A3BMoE36Dispatch,fwd,277369.750000
Qwen3A3BMoE36Combine,fwd,240415.680000
Qwen3A3BMoE37Dispatch,fwd,341312.800000
Qwen3A3BMoE37Combine,fwd,298033.870000
Qwen3A3BMoE38Dispatch,fwd,280334.310000
Qwen3A3BMoE38Combine,fwd,264625.840000
Qwen3A3BMoE39Dispatch,fwd,287899.310000
Qwen3A3BMoE39Combine,fwd,242252.100000
Qwen3A3BMoE40Dispatch,fwd,280139.130000
Qwen3A3BMoE40Combine,fwd,237581.910000
Qwen3A3BMoE41Dispatch,fwd,360701.980000
Qwen3A3BMoE41Combine,fwd,357398.280000
Qwen3A3BMoE42Dispatch,fwd,272297.410000
Qwen3A3BMoE42Combine,fwd,283667.810000
Qwen3A3BMoE43Dispatch,fwd,272391.030000
Qwen3A3BMoE43Combine,fwd,258758.750000
Qwen3A3BMoE44Dispatch,fwd,269714.200000
Qwen3A3BMoE44Combine,fwd,243981.880000
Qwen3A3BMoE45Dispatch,fwd,291397.060000
Qwen3A3BMoE45Combine,fwd,255428.410000
Qwen3A3BMoE46Dispatch,fwd,307263.900000
Qwen3A3BMoE46Combine,fwd,269194.760000
Qwen3A3BMoE47Dispatch,fwd,279204.160000
Qwen3A3BMoE47Combine,fwd,259076.000000
Qwen3A3BMoE48Dispatch,fwd,262845.680000
Qwen3A3BMoE48Combine,fwd,248901.570000
