layer,phase,duration_us
Qwen3A3BMoE01Dispatch,fwd,161.060000
Qwen3A3BMoE01Combine,fwd,158.660000
Qwen3A3BMoE02Dispatch,fwd,163.050000
Qwen3A3BMoE02Combine,fwd,169.950000
Qwen3A3BMoE03Dispatch,fwd,178.410000
Qwen3A3BMoE03Combine,fwd,188.260000
Qwen3A3BMoE04Dispatch,fwd,196.050000
Qwen3A3BMoE04Combine,fwd,189.030000
Qwen3A3BMoE05Dispatch,fwd,234.460000
Qwen3A3BMoE05Combine,fwd,224.690000
Qwen3A3BMoE06Dispatch,fwd,169.910000
Qwen3A3BMoE06Combine,fwd,170.560000
Qwen3A3BMoE07Dispatch,fwd,224.540000
Qwen3A3BMoE07Combine,fwd,220.530000
Qwen3A3BMoE08Dispatch,fwd,279.820000
Qwen3A3BMoE08Combine,fwd,275.660000
Qwen3A3BMoE09Dispatch,fwd,197.270000
Qwen3A3BMoE09Combine,fwd,192.190000
Qwen3A3BMoE10Dispatch,fwd,209.740000
Qwen3A3BMoE10Combine,fwd,213.140000
Qwen3A3BMoE11Dispatch,fwd,195.280000
Qwen3A3BMoE11Combine,fwd,190.660000
Qwen3A3BMoE12Dispatch,fwd,206.270000
Qwen3A3BMoE12Combine,fwd,193.720000
Qwen3A3BMoE13Dispatch,fwd,211.920000
Qwen3A3BMoE13Combine,fwd,202.110000
Qwen3A3BMoE14Dispatch,fwd,204.550000
Qwen3A3BMoE14Combine,fwd,219.810000
Qwen3A3BMoE15Dispatch,fwd,170.870000
Qwen3A3BMoE15Combine,fwd,170.870000
Qwen3A3BMoE16Dispatch,fwd,211.070000
Qwen3A3BMoE16Combine,fwd,223.930000
Qwen3A3BMoE17Dispatch,fwd,284.420000
Qwen3A3BMoE17Combine,fwd,290.110000
Qwen3A3BMoE18Dispatch,fwd,194.630000
Qwen3A3BMoE18Combine,fwd,193.760000
Qwen3A3BMoE19Dispatch,fwd,232.470000
Qwen3A3BMoE19Combine,fwd,222.670000
Qwen3A3BMoE20Dispatch,fwd,286.990000
Qwen3A3BMoE20Combine,fwd,282.060000
Qwen3A3BMoE21Dispatch,fwd,192.230000
Qwen3A3BMoE21Combine,fwd,180.750000
Qwen3A3BMoE22Dispatch,fwd,241.020000
Qwen3A3BMoE22Combine,fwd,240.140000
Qwen3A3BMoE23Dispatch,fwd,226.870000
Qwen3A3BMoE23Combine,fwd,227.440000
Qwen3A3BMoE24Dispatch,fwd,224.280000
Qwen3A3BMoE24Combine,fwd,212.440000
Qwen3A3BMoE25Dispatch,fwd,196.960000
Qwen3A3BMoE25Combine,fwd,197.840000
Qwen3A3BMoE26Dispatch,fwd,210.310000
Qwen3A3BMoE26Combine,fwd,223.050000
Qwen3A3BMoE27Dispatch,fwd,184.260000
Qwen3A3BMoE27Combine,fwd,185.060000
Qwen3A3BMoE28Dispatch,fwd,191.580000
Qwen3A3BMoE28Combine,fwd,198.340000
Qwen3A3BMoE29Dispatch,fwd,262.910000
Qwen3A3BMoE29Combine,fwd,270.620000
Qwen3A3BMoE30Dispatch,fwd,208.520000
Qwen3A3BMoE30Combine,fwd,209.930000
Qwen3A3BMoE31Dispatch,fwd,240.410000
Qwen3A3BMoE31Combine,fwd,232.890000
Qwen3A3BMoE32Dispatch,fwd,294.010000
Qwen3A3BMoE32Combine,fwd,295.190000
Qwen3A3BMoE33Dispatch,fwd,206.120000
Qwen3A3BMoE33Combine,fwd,205.620000
Qwen3A3BMoE34Dispatch,fwd,216.300000
Qwen3A3BMoE34Combine,fwd,225.950000
Qwen3A3BMoE35Dispatch,fwd,196.960000
Qwen3A3BMoE35Combine,fwd,195.390000
Qwen3A3BMoE36Dispatch,fwd,218.440000
Qwen3A3BMoE36Combine,fwd,206.970000
Qwen3A3BMoE37Dispatch,fwd,211.310000
Qwen3A3BMoE37Combine,fwd,203.020000
Qwen3A3BMoE38Dispatch,fwd,182.120000
Qwen3A3BMoE38Combine,fwd,191.620000
Qwen3A3BMoE39Dispatch,fwd,164.420000
Qwen3A3BMoE39Combine,fwd,166.900000
Qwen3A3BMoE40Dispatch,fwd,177.390000
Qwen3A3BMoE40Combine,fwd,184.450000
Qwen3A3BMoE41Dispatch,fwd,261.600000
Qwen3A3BMoE41Combine,fwd,269.050000
Qwen3A3BMoE42Dispatch,fwd,205.160000
Qwen3A3BMoE42Combine,fwd,210.540000
Qwen3A3BMoE43Dispatch,fwd,198.340000
Qwen3A3BMoE43Combine,fwd,191.880000
Qwen3A3BMoE44Dispatch,fwd,242.700000
Qwen3A3BMoE44Combine,fwd,234.570000
Qwen3A3BMoE45Dispatch,fwd,210.650000
Qwen3A3BMoE45Combine,fwd,210.810000
Qwen3A3BMoE46Dispatch,fwd,226.560000
Qwen3A3BMoE46Combine,fwd,235.720000
Qwen3A3BMoE47Dispatch,fwd,204.290000
Qwen3A3BMoE47Combine,fwd,209.020000
Qwen3A3BMoE48Dispatch,fwd,222.400000
Qwen3A3BMoE48Combine,fwd,236.480000
