layer,phase,duration_us
Qwen3A3BMoE01Dispatch,fwd,99.400000
Qwen3A3BMoE01Combine,fwd,79.270000
Qwen3A3BMoE02Dispatch,fwd,109.470000
Qwen3A3BMoE02Combine,fwd,83.510000
Qwen3A3BMoE03Dispatch,fwd,97.550000
Qwen3A3BMoE03Combine,fwd,88.160000
Qwen3A3BMoE04Dispatch,fwd,122.970000
Qwen3A3BMoE04Combine,fwd,96.660000
Qwen3A3BMoE05Dispatch,fwd,151.850000
Qwen3A3BMoE05Combine,fwd,120.160000
Qwen3A3BMoE06Dispatch,fwd,100.620000
Qwen3A3BMoE06Combine,fwd,87.130000
Qwen3A3BMoE07Dispatch,fwd,139.450000
Qwen3A3BMoE07Combine,fwd,124.130000
Qwen3A3BMoE08Dispatch,fwd,167.480000
Qwen3A3BMoE08Combine,fwd,153.730000
Qwen3A3BMoE09Dispatch,fwd,130.180000
Qwen3A3BMoE09Combine,fwd,95.750000
Qwen3A3BMoE10Dispatch,fwd,126.670000
Qwen3A3BMoE10Combine,fwd,106.120000
Qwen3A3BMoE11Dispatch,fwd,119.110000
Qwen3A3BMoE11Combine,fwd,105.400000
Qwen3A3BMoE12Dispatch,fwd,138.460000
Qwen3A3BMoE12Combine,fwd,95.900000
Qwen3A3BMoE13Dispatch,fwd,130.490000
Qwen3A3BMoE13Combine,fwd,103.610000
Qwen3A3BMoE14Dispatch,fwd,117.460000
Qwen3A3BMoE14Combine,fwd,111.310000
Qwen3A3BMoE15Dispatch,fwd,120.720000
Qwen3A3BMoE15Combine,fwd,88.200000
Qwen3A3BMoE16Dispatch,fwd,117.500000
Qwen3A3BMoE16Combine,fwd,110.400000
Qwen3A3BMoE17Dispatch,fwd,160.140000
Qwen3A3BMoE17Combine,fwd,161.060000
Qwen3A3BMoE18Dispatch,fwd,114.490000
Qwen3A3BMoE18Combine,fwd,97.580000
Qwen3A3BMoE19Dispatch,fwd,147.530000
Qwen3A3BMoE19Combine,fwd,119.400000
Qwen3A3BMoE20Dispatch,fwd,176.030000
Qwen3A3BMoE20Combine,fwd,160.440000
Qwen3A3BMoE21Dispatch,fwd,128.810000
Qwen3A3BMoE21Combine,fwd,99.190000
Qwen3A3BMoE22Dispatch,fwd,158.260000
Qwen3A3BMoE22Combine,fwd,126.880000
Qwen3A3BMoE23Dispatch,fwd,143.680000
Qwen3A3BMoE23Combine,fwd,121.380000
Qwen3A3BMoE24Dispatch,fwd,146.850000
Qwen3A3BMoE24Combine,fwd,110.550000
Qwen3A3BMoE25Dispatch,fwd,115.840000
Qwen3A3BMoE25Combine,fwd,97.620000
Qwen3A3BMoE26Dispatch,fwd,115.020000
Qwen3A3BMoE26Combine,fwd,109.790000
Qwen3A3BMoE27Dispatch,fwd,122.400000
Qwen3A3BMoE27Combine,fwd,95.030000
Qwen3A3BMoE28Dispatch,fwd,100.880000
Qwen3A3BMoE28Combine,fwd,93.460000
Qwen3A3BMoE29Dispatch,fwd,145.640000
Qwen3A3BMoE29Combine,fwd,146.860000
Qwen3A3BMoE30Dispatch,fwd,121.050000
Qwen3A3BMoE30Combine,fwd,105.360000
Qwen3A3BMoE31Dispatch,fwd,154.860000
Qwen3A3BMoE31Combine,fwd,125.500000
Qwen3A3BMoE32Dispatch,fwd,179.840000
Qwen3A3BMoE32Combine,fwd,167.160000
Qwen3A3BMoE33Dispatch,fwd,121.790000
Qwen3A3BMoE33Combine,fwd,105.710000
Qwen3A3BMoE34Dispatch,fwd,127.130000
Qwen3A3BMoE34Combine,fwd,114.820000
Qwen3A3BMoE35Dispatch,fwd,119.870000
Qwen3A3BMoE35Combine,fwd,100.630000
Qwen3A3BMoE36Dispatch,fwd,148.690000
Qwen3A3BMoE36Combine,fwd,114.820000
Qwen3A3BMoE37Dispatch,fwd,134.300000
Qwen3A3BMoE37Combine,fwd,104.900000
Qwen3A3BMoE38Dispatch,fwd,108.060000
Qwen3A3BMoE38Combine,fwd,90.860000
Qwen3A3BMoE39Dispatch,fwd,105.920000
Qwen3A3BMoE39Combine,fwd,94.610000
Qwen3A3BMoE40Dispatch,fwd,94.060000
Qwen3A3BMoE40Combine,fwd,87.050000
Qwen3A3BMoE41Dispatch,fwd,146.710000
Qwen3A3BMoE41Combine,fwd,149.610000
Qwen3A3BMoE42Dispatch,fwd,103.960000
Qwen3A3BMoE42Combine,fwd,108.610000
Qwen3A3BMoE43Dispatch,fwd,120.480000
Qwen3A3BMoE43Combine,fwd,99.260000
Qwen3A3BMoE44Dispatch,fwd,150.130000
Qwen3A3BMoE44Combine,fwd,129.010000
Qwen3A3BMoE45Dispatch,fwd,125.710000
Qwen3A3BMoE45Combine,fwd,112.460000
Qwen3A3BMoE46Dispatch,fwd,121.160000
Qwen3A3BMoE46Combine,fwd,110.850000
Qwen3A3BMoE47Dispatch,fwd,112.620000
Qwen3A3BMoE47Combine,fwd,105.670000
Qwen3A3BMoE48Dispatch,fwd,129.920000
Qwen3A3BMoE48Combine,fwd,109.790000
