layer,phase,duration_us
Qwen3A3BMoE01Dispatch,fwd,140.160000
Qwen3A3BMoE01Combine,fwd,140.160000
Qwen3A3BMoE02Dispatch,fwd,137.850000
Qwen3A3BMoE02Combine,fwd,137.850000
Qwen3A3BMoE03Dispatch,fwd,157.920000
Qwen3A3BMoE03Combine,fwd,157.920000
Qwen3A3BMoE04Dispatch,fwd,170.960000
Qwen3A3BMoE04Combine,fwd,170.960000
Qwen3A3BMoE05Dispatch,fwd,211.700000
Qwen3A3BMoE05Combine,fwd,211.700000
Qwen3A3BMoE06Dispatch,fwd,143.670000
Qwen3A3BMoE06Combine,fwd,143.670000
Qwen3A3BMoE07Dispatch,fwd,216.380000
Qwen3A3BMoE07Combine,fwd,216.380000
Qwen3A3BMoE08Dispatch,fwd,265.410000
Qwen3A3BMoE08Combine,fwd,265.410000
Qwen3A3BMoE09Dispatch,fwd,170.500000
Qwen3A3BMoE09Combine,fwd,170.500000
Qwen3A3BMoE10Dispatch,fwd,195.050000
Qwen3A3BMoE10Combine,fwd,195.050000
Qwen3A3BMoE11Dispatch,fwd,177.120000
Qwen3A3BMoE11Combine,fwd,177.120000
Qwen3A3BMoE12Dispatch,fwd,169.460000
Qwen3A3BMoE12Combine,fwd,169.460000
Qwen3A3BMoE13Dispatch,fwd,176.810000
Qwen3A3BMoE13Combine,fwd,176.810000
Qwen3A3BMoE14Dispatch,fwd,195.910000
Qwen3A3BMoE14Combine,fwd,195.910000
Qwen3A3BMoE15Dispatch,fwd,155.300000
Qwen3A3BMoE15Combine,fwd,155.300000
Qwen3A3BMoE16Dispatch,fwd,193.650000
Qwen3A3BMoE16Combine,fwd,193.650000
Qwen3A3BMoE17Dispatch,fwd,272.180000
Qwen3A3BMoE17Combine,fwd,272.180000
Qwen3A3BMoE18Dispatch,fwd,173.760000
Qwen3A3BMoE18Combine,fwd,173.760000
Qwen3A3BMoE19Dispatch,fwd,211.630000
Qwen3A3BMoE19Combine,fwd,211.630000
Qwen3A3BMoE20Dispatch,fwd,277.720000
Qwen3A3BMoE20Combine,fwd,277.720000
Qwen3A3BMoE21Dispatch,fwd,168.220000
Qwen3A3BMoE21Combine,fwd,168.220000
Qwen3A3BMoE22Dispatch,fwd,227.830000
Qwen3A3BMoE22Combine,fwd,227.830000
Qwen3A3BMoE23Dispatch,fwd,213.410000
Qwen3A3BMoE23Combine,fwd,213.410000
Qwen3A3BMoE24Dispatch,fwd,195.480000
Qwen3A3BMoE24Combine,fwd,195.480000
Qwen3A3BMoE25Dispatch,fwd,172.410000
Qwen3A3BMoE25Combine,fwd,172.410000
Qwen3A3BMoE26Dispatch,fwd,203.390000
Qwen3A3BMoE26Combine,fwd,203.390000
Qwen3A3BMoE27Dispatch,fwd,158.140000
Qwen3A3BMoE27Combine,fwd,158.140000
Qwen3A3BMoE28Dispatch,fwd,169.490000
Qwen3A3BMoE28Combine,fwd,169.490000
Qwen3A3BMoE29Dispatch,fwd,251.350000
Qwen3A3BMoE29Combine,fwd,251.350000
Qwen3A3BMoE30Dispatch,fwd,185.810000
Qwen3A3BMoE30Combine,fwd,185.810000
Qwen3A3BMoE31Dispatch,fwd,218.110000
Qwen3A3BMoE31Combine,fwd,218.110000
Qwen3A3BMoE32Dispatch,fwd,286.880000
Qwen3A3BMoE32Combine,fwd,286.880000
Qwen3A3BMoE33Dispatch,fwd,176.660000
Qwen3A3BMoE33Combine,fwd,176.660000
Qwen3A3BMoE34Dispatch,fwd,212.950000
Qwen3A3BMoE34Combine,fwd,212.950000
Qwen3A3BMoE35Dispatch,fwd,177.500000
Qwen3A3BMoE35Combine,fwd,177.500000
Qwen3A3BMoE36Dispatch,fwd,204.990000
Qwen3A3BMoE36Combine,fwd,204.990000
Qwen3A3BMoE37Dispatch,fwd,187.160000
Qwen3A3BMoE37Combine,fwd,187.160000
Qwen3A3BMoE38Dispatch,fwd,171.320000
Qwen3A3BMoE38Combine,fwd,171.320000
Qwen3A3BMoE39Dispatch,fwd,141.720000
Qwen3A3BMoE39Combine,fwd,141.720000
Qwen3A3BMoE40Dispatch,fwd,158.140000
Qwen3A3BMoE40Combine,fwd,158.140000
Qwen3A3BMoE41Dispatch,fwd,250.330000
Qwen3A3BMoE41Combine,fwd,250.330000
Qwen3A3BMoE42Dispatch,fwd,173.860000
Qwen3A3BMoE42Combine,fwd,173.860000
Qwen3A3BMoE43Dispatch,fwd,178.900000
Qwen3A3BMoE43Combine,fwd,178.900000
Qwen3A3BMoE44Dispatch,fwd,221.390000
Qwen3A3BMoE44Combine,fwd,221.390000
Qwen3A3BMoE45Dispatch,fwd,181.290000
Qwen3A3BMoE45Combine,fwd,181.290000
Qwen3A3BMoE46Dispatch,fwd,194.990000
Qwen3A3BMoE46Combine,fwd,194.990000
Qwen3A3BMoE47Dispatch,fwd,181.340000
Qwen3A3BMoE47Combine,fwd,181.340000
Qwen3A3BMoE48Dispatch,fwd,193.190000
Qwen3A3BMoE48Combine,fwd,193.190000
