layer,phase,duration_us
Qwen3A3BMoE01Dispatch,fwd,15028.920000
Qwen3A3BMoE01Combine,fwd,14732.790000
Qwen3A3BMoE02Dispatch,fwd,15082.020000
Qwen3A3BMoE02Combine,fwd,14076.770000
Qwen3A3BMoE03Dispatch,fwd,15573.240000
Qwen3A3BMoE03Combine,fwd,14623.150000
Qwen3A3BMoE04Dispatch,fwd,13941.380000
Qwen3A3BMoE04Combine,fwd,13712.280000
Qwen3A3BMoE05Dispatch,fwd,18670.890000
Qwen3A3BMoE05Combine,fwd,17957.890000
Qwen3A3BMoE06Dispatch,fwd,14776.850000
Qwen3A3BMoE06Combine,fwd,14023.780000
Qwen3A3BMoE07Dispatch,fwd,20828.480000
Qwen3A3BMoE07Combine,fwd,19753.150000
Qwen3A3BMoE08Dispatch,fwd,22196.170000
Qwen3A3BMoE08Combine,fwd,20867.540000
Qwen3A3BMoE09Dispatch,fwd,17403.190000
Qwen3A3BMoE09Combine,fwd,16198.960000
Qwen3A3BMoE10Dispatch,fwd,15430.530000
Qwen3A3BMoE10Combine,fwd,14666.480000
Qwen3A3BMoE11Dispatch,fwd,14051.750000
Qwen3A3BMoE11Combine,fwd,13375.480000
Qwen3A3BMoE12Dispatch,fwd,14301.380000
Qwen3A3BMoE12Combine,fwd,13801.500000
Qwen3A3BMoE13Dispatch,fwd,20387.090000
Qwen3A3BMoE13Combine,fwd,18715.440000
Qwen3A3BMoE14Dispatch,fwd,16327.640000
Qwen3A3BMoE14Combine,fwd,15671.010000
Qwen3A3BMoE15Dispatch,fwd,16923.450000
Qwen3A3BMoE15Combine,fwd,16272.820000
Qwen3A3BMoE16Dispatch,fwd,14287.230000
Qwen3A3BMoE16Combine,fwd,14007.800000
Qwen3A3BMoE17Dispatch,fwd,28827.580000
Qwen3A3BMoE17Combine,fwd,29964.330000
Qwen3A3BMoE18Dispatch,fwd,23023.920000
Qwen3A3BMoE18Combine,fwd,21552.970000
Qwen3A3BMoE19Dispatch,fwd,24295.280000
Qwen3A3BMoE19Combine,fwd,23354.230000
Qwen3A3BMoE20Dispatch,fwd,22872.440000
Qwen3A3BMoE20Combine,fwd,21634.150000
Qwen3A3BMoE21Dispatch,fwd,17265.250000
Qwen3A3BMoE21Combine,fwd,15843.740000
Qwen3A3BMoE22Dispatch,fwd,15712.510000
Qwen3A3BMoE22Combine,fwd,14918.060000
Qwen3A3BMoE23Dispatch,fwd,14147.570000
Qwen3A3BMoE23Combine,fwd,13176.000000
Qwen3A3BMoE24Dispatch,fwd,13021.470000
Qwen3A3BMoE24Combine,fwd,12859.230000
Qwen3A3BMoE25Dispatch,fwd,21579.710000
Qwen3A3BMoE25Combine,fwd,19831.780000
Qwen3A3BMoE26Dispatch,fwd,16612.780000
Qwen3A3BMoE26Combine,fwd,15860.330000
Qwen3A3BMoE27Dispatch,fwd,15982.290000
Qwen3A3BMoE27Combine,fwd,15428.090000
Qwen3A3BMoE28Dispatch,fwd,14541.140000
Qwen3A3BMoE28Combine,fwd,13805.890000
Qwen3A3BMoE29Dispatch,fwd,28236.760000
Qwen3A3BMoE29Combine,fwd,29337.500000
Qwen3A3BMoE30Dispatch,fwd,22287.830000
Qwen3A3BMoE30Combine,fwd,20774.770000
Qwen3A3BMoE31Dispatch,fwd,23683.710000
Qwen3A3BMoE31Combine,fwd,22702.370000
Qwen3A3BMoE32Dispatch,fwd,22495.350000
Qwen3A3BMoE32Combine,fwd,21563.960000
Qwen3A3BMoE33Dispatch,fwd,18252.800000
Qwen3A3BMoE33Combine,fwd,16662.830000
Qwen3A3BMoE34Dispatch,fwd,15866.320000
Qwen3A3BMoE34Combine,fwd,15026.590000
Qwen3A3BMoE35Dispatch,fwd,14305.040000
Qwen3A3BMoE35Combine,fwd,13589.210000
Qwen3A3BMoE36Dispatch,fwd,14048.700000
Qwen3A3BMoE36Combine,fwd,13802.110000
Qwen3A3BMoE37Dispatch,fwd,22917.600000
Qwen3A3BMoE37Combine,fwd,20887.080000
Qwen3A3BMoE38Dispatch,fwd,17086.420000
Qwen3A3BMoE38Combine,fwd,16482.780000
Qwen3A3BMoE39Dispatch,fwd,16362.540000
Qwen3A3BMoE39Combine,fwd,15741.810000
Qwen3A3BMoE40Dispatch,fwd,15149.660000
Qwen3A3BMoE40Combine,fwd,14656.610000
Qwen3A3BMoE41Dispatch,fwd,26763.370000
Qwen3A3BMoE41Combine,fwd,27720.680000
Qwen3A3BMoE42Dispatch,fwd,19570.550000
Qwen3A3BMoE42Combine,fwd,18000.110000
Qwen3A3BMoE43Dispatch,fwd,14825.670000
Qwen3A3BMoE43Combine,fwd,13874.140000
Qwen3A3BMoE44Dispatch,fwd,17500.230000
Qwen3A3BMoE44Combine,fwd,16236.920000
Qwen3A3BMoE45Dispatch,fwd,15660.250000
Qwen3A3BMoE45Combine,fwd,16148.420000
Qwen3A3BMoE46Dispatch,fwd,21587.040000
Qwen3A3BMoE46Combine,fwd,20512.430000
Qwen3A3BMoE47Dispatch,fwd,18906.480000
Qwen3A3BMoE47Combine,fwd,17655.870000
Qwen3A3BMoE48Dispatch,fwd,18080.070000
Qwen3A3BMoE48Combine,fwd,17742.540000
