layer,phase,duration_us
Qwen3A3BMoE01Dispatch,fwd,7145.610000
Qwen3A3BMoE01Combine,fwd,8400.280000
Qwen3A3BMoE02Dispatch,fwd,7101.560000
Qwen3A3BMoE02Combine,fwd,7295.430000
Qwen3A3BMoE03Dispatch,fwd,7478.750000
Qwen3A3BMoE03Combine,fwd,7049.290000
Qwen3A3BMoE04Dispatch,fwd,7057.060000
Qwen3A3BMoE04Combine,fwd,7833.040000
Qwen3A3BMoE05Dispatch,fwd,9835.320000
Qwen3A3BMoE05Combine,fwd,8813.090000
Qwen3A3BMoE06Dispatch,fwd,7084.750000
Qwen3A3BMoE06Combine,fwd,6205.670000
Qwen3A3BMoE07Dispatch,fwd,11283.160000
Qwen3A3BMoE07Combine,fwd,10294.920000
Qwen3A3BMoE08Dispatch,fwd,10094.720000
Qwen3A3BMoE08Combine,fwd,9197.620000
Qwen3A3BMoE09Dispatch,fwd,9357.310000
Qwen3A3BMoE09Combine,fwd,7550.890000
Qwen3A3BMoE10Dispatch,fwd,8532.890000
Qwen3A3BMoE10Combine,fwd,7235.330000
Qwen3A3BMoE11Dispatch,fwd,6898.920000
Qwen3A3BMoE11Combine,fwd,6633.530000
Qwen3A3BMoE12Dispatch,fwd,6300.890000
Qwen3A3BMoE12Combine,fwd,6911.020000
Qwen3A3BMoE13Dispatch,fwd,10308.340000
Qwen3A3BMoE13Combine,fwd,9161.600000
Qwen3A3BMoE14Dispatch,fwd,8463.750000
Qwen3A3BMoE14Combine,fwd,6927.720000
Qwen3A3BMoE15Dispatch,fwd,7744.150000
Qwen3A3BMoE15Combine,fwd,7301.970000
Qwen3A3BMoE16Dispatch,fwd,8151.140000
Qwen3A3BMoE16Combine,fwd,6534.040000
Qwen3A3BMoE17Dispatch,fwd,16296.480000
Qwen3A3BMoE17Combine,fwd,15756.230000
Qwen3A3BMoE18Dispatch,fwd,11673.260000
Qwen3A3BMoE18Combine,fwd,10274.170000
Qwen3A3BMoE19Dispatch,fwd,12494.620000
Qwen3A3BMoE19Combine,fwd,12330.440000
Qwen3A3BMoE20Dispatch,fwd,10639.040000
Qwen3A3BMoE20Combine,fwd,9165.880000
Qwen3A3BMoE21Dispatch,fwd,8794.840000
Qwen3A3BMoE21Combine,fwd,7654.040000
Qwen3A3BMoE22Dispatch,fwd,8652.850000
Qwen3A3BMoE22Combine,fwd,6814.690000
Qwen3A3BMoE23Dispatch,fwd,6619.490000
Qwen3A3BMoE23Combine,fwd,6347.270000
Qwen3A3BMoE24Dispatch,fwd,6528.500000
Qwen3A3BMoE24Combine,fwd,5771.210000
Qwen3A3BMoE25Dispatch,fwd,11220.820000
Qwen3A3BMoE25Combine,fwd,10030.750000
Qwen3A3BMoE26Dispatch,fwd,9224.250000
Qwen3A3BMoE26Combine,fwd,7723.010000
Qwen3A3BMoE27Dispatch,fwd,7817.500000
Qwen3A3BMoE27Combine,fwd,7126.190000
Qwen3A3BMoE28Dispatch,fwd,8527.120000
Qwen3A3BMoE28Combine,fwd,6435.160000
Qwen3A3BMoE29Dispatch,fwd,16114.590000
Qwen3A3BMoE29Combine,fwd,15419.930000
Qwen3A3BMoE30Dispatch,fwd,11769.420000
Qwen3A3BMoE30Combine,fwd,10133.280000
Qwen3A3BMoE31Dispatch,fwd,12102.470000
Qwen3A3BMoE31Combine,fwd,11865.960000
Qwen3A3BMoE32Dispatch,fwd,8985.100000
Qwen3A3BMoE32Combine,fwd,8848.270000
Qwen3A3BMoE33Dispatch,fwd,9418.510000
Qwen3A3BMoE33Combine,fwd,7766.340000
Qwen3A3BMoE34Dispatch,fwd,8426.690000
Qwen3A3BMoE34Combine,fwd,7300.750000
Qwen3A3BMoE35Dispatch,fwd,7562.870000
Qwen3A3BMoE35Combine,fwd,6130.600000
Qwen3A3BMoE36Dispatch,fwd,6721.310000
Qwen3A3BMoE36Combine,fwd,6643.290000
Qwen3A3BMoE37Dispatch,fwd,12001.460000
Qwen3A3BMoE37Combine,fwd,10614.240000
Qwen3A3BMoE38Dispatch,fwd,8681.040000
Qwen3A3BMoE38Combine,fwd,6876.450000
Qwen3A3BMoE39Dispatch,fwd,7844.630000
Qwen3A3BMoE39Combine,fwd,7789.530000
Qwen3A3BMoE40Dispatch,fwd,8238.640000
Qwen3A3BMoE40Combine,fwd,7199.320000
Qwen3A3BMoE41Dispatch,fwd,15174.960000
Qwen3A3BMoE41Combine,fwd,14465.340000
Qwen3A3BMoE42Dispatch,fwd,11677.140000
Qwen3A3BMoE42Combine,fwd,9758.530000
Qwen3A3BMoE43Dispatch,fwd,7688.110000
Qwen3A3BMoE43Combine,fwd,6546.250000
Qwen3A3BMoE44Dispatch,fwd,8539.440000
Qwen3A3BMoE44Combine,fwd,7929.080000
Qwen3A3BMoE45Dispatch,fwd,9465.230000
Qwen3A3BMoE45Combine,fwd,8094.710000
Qwen3A3BMoE46Dispatch,fwd,10918.480000
Qwen3A3BMoE46Combine,fwd,8738.630000
Qwen3A3BMoE47Dispatch,fwd,10597.040000
Qwen3A3BMoE47Combine,fwd,9369.730000
Qwen3A3BMoE48Dispatch,fwd,8563.350000
Qwen3A3BMoE48Combine,fwd,7337.150000
