layer,phase,duration_us
Qwen3A3BMoE01Dispatch,fwd,11919.010000
Qwen3A3BMoE01Combine,fwd,11919.010000
Qwen3A3BMoE02Dispatch,fwd,12274.840000
Qwen3A3BMoE02Combine,fwd,12274.840000
Qwen3A3BMoE03Dispatch,fwd,13526.570000
Qwen3A3BMoE03Combine,fwd,13526.570000
Qwen3A3BMoE04Dispatch,fwd,12827.110000
Qwen3A3BMoE04Combine,fwd,12827.110000
Qwen3A3BMoE05Dispatch,fwd,16787.270000
Qwen3A3BMoE05Combine,fwd,16787.270000
Qwen3A3BMoE06Dispatch,fwd,13352.620000
Qwen3A3BMoE06Combine,fwd,13352.620000
Qwen3A3BMoE07Dispatch,fwd,17729.860000
Qwen3A3BMoE07Combine,fwd,17729.860000
Qwen3A3BMoE08Dispatch,fwd,18267.170000
Qwen3A3BMoE08Combine,fwd,18267.170000
Qwen3A3BMoE09Dispatch,fwd,15430.770000
Qwen3A3BMoE09Combine,fwd,15430.770000
Qwen3A3BMoE10Dispatch,fwd,14782.680000
Qwen3A3BMoE10Combine,fwd,14782.680000
Qwen3A3BMoE11Dispatch,fwd,13009.200000
Qwen3A3BMoE11Combine,fwd,13009.200000
Qwen3A3BMoE12Dispatch,fwd,12209.430000
Qwen3A3BMoE12Combine,fwd,12209.430000
Qwen3A3BMoE13Dispatch,fwd,16050.580000
Qwen3A3BMoE13Combine,fwd,16050.580000
Qwen3A3BMoE14Dispatch,fwd,14213.020000
Qwen3A3BMoE14Combine,fwd,14213.020000
Qwen3A3BMoE15Dispatch,fwd,14100.610000
Qwen3A3BMoE15Combine,fwd,14100.610000
Qwen3A3BMoE16Dispatch,fwd,12847.050000
Qwen3A3BMoE16Combine,fwd,12847.050000
Qwen3A3BMoE17Dispatch,fwd,27277.390000
Qwen3A3BMoE17Combine,fwd,27277.390000
Qwen3A3BMoE18Dispatch,fwd,17828.710000
Qwen3A3BMoE18Combine,fwd,18176.640000
Qwen3A3BMoE19Dispatch,fwd,20993.990000
Qwen3A3BMoE19Combine,fwd,21100.830000
Qwen3A3BMoE20Dispatch,fwd,18054.160000
Qwen3A3BMoE20Combine,fwd,18054.160000
Qwen3A3BMoE21Dispatch,fwd,15529.540000
Qwen3A3BMoE21Combine,fwd,15529.540000
Qwen3A3BMoE22Dispatch,fwd,14649.420000
Qwen3A3BMoE22Combine,fwd,14649.420000
Qwen3A3BMoE23Dispatch,fwd,12680.320000
Qwen3A3BMoE23Combine,fwd,12680.320000
Qwen3A3BMoE24Dispatch,fwd,11691.750000
Qwen3A3BMoE24Combine,fwd,11691.750000
Qwen3A3BMoE25Dispatch,fwd,17620.300000
Qwen3A3BMoE25Combine,fwd,17620.300000
Qwen3A3BMoE26Dispatch,fwd,14358.990000
Qwen3A3BMoE26Combine,fwd,14358.990000
Qwen3A3BMoE27Dispatch,fwd,13695.740000
Qwen3A3BMoE27Combine,fwd,13695.740000
Qwen3A3BMoE28Dispatch,fwd,12390.300000
Qwen3A3BMoE28Combine,fwd,12390.300000
Qwen3A3BMoE29Dispatch,fwd,26708.230000
Qwen3A3BMoE29Combine,fwd,26708.230000
Qwen3A3BMoE30Dispatch,fwd,17864.550000
Qwen3A3BMoE30Combine,fwd,17864.550000
Qwen3A3BMoE31Dispatch,fwd,20487.840000
Qwen3A3BMoE31Combine,fwd,20487.840000
Qwen3A3BMoE32Dispatch,fwd,17711.650000
Qwen3A3BMoE32Combine,fwd,17711.650000
Qwen3A3BMoE33Dispatch,fwd,16590.030000
Qwen3A3BMoE33Combine,fwd,16590.030000
Qwen3A3BMoE34Dispatch,fwd,14898.540000
Qwen3A3BMoE34Combine,fwd,14898.540000
Qwen3A3BMoE35Dispatch,fwd,12981.630000
Qwen3A3BMoE35Combine,fwd,12981.630000
Qwen3A3BMoE36Dispatch,fwd,12175.460000
Qwen3A3BMoE36Combine,fwd,12175.460000
Qwen3A3BMoE37Dispatch,fwd,18648.540000
Qwen3A3BMoE37Combine,fwd,18648.540000
Qwen3A3BMoE38Dispatch,fwd,15336.060000
Qwen3A3BMoE38Combine,fwd,15336.060000
Qwen3A3BMoE39Dispatch,fwd,13439.390000
Qwen3A3BMoE39Combine,fwd,13439.390000
Qwen3A3BMoE40Dispatch,fwd,12690.090000
Qwen3A3BMoE40Combine,fwd,12690.090000
Qwen3A3BMoE41Dispatch,fwd,25327.420000
Qwen3A3BMoE41Combine,fwd,25327.420000
Qwen3A3BMoE42Dispatch,fwd,17158.780000
Qwen3A3BMoE42Combine,fwd,17158.780000
Qwen3A3BMoE43Dispatch,fwd,13133.710000
Qwen3A3BMoE43Combine,fwd,13133.710000
Qwen3A3BMoE44Dispatch,fwd,14316.370000
Qwen3A3BMoE44Combine,fwd,14316.370000
Qwen3A3BMoE45Dispatch,fwd,15228.230000
Qwen3A3BMoE45Combine,fwd,15228.230000
Qwen3A3BMoE46Dispatch,fwd,16899.170000
Qwen3A3BMoE46Combine,fwd,16899.170000
Qwen3A3BMoE47Dispatch,fwd,16396.450000
Qwen3A3BMoE47Combine,fwd,16396.450000
Qwen3A3BMoE48Dispatch,fwd,15104.230000
Qwen3A3BMoE48Combine,fwd,15104.230000
