layer,phase,duration_us
Qwen3A3BMoE01Dispatch,fwd,33.100000
Qwen3A3BMoE01Combine,fwd,34.910000
Qwen3A3BMoE02Dispatch,fwd,36.900000
Qwen3A3BMoE02Combine,fwd,33.470000
Qwen3A3BMoE03Dispatch,fwd,38.640000
Qwen3A3BMoE03Combine,fwd,34.130000
Qwen3A3BMoE04Dispatch,fwd,40.830000
Qwen3A3BMoE04Combine,fwd,38.000000
Qwen3A3BMoE05Dispatch,fwd,37.340000
Qwen3A3BMoE05Combine,fwd,36.950000
Qwen3A3BMoE06Dispatch,fwd,35.970000
Qwen3A3BMoE06Combine,fwd,36.730000
Qwen3A3BMoE07Dispatch,fwd,39.630000
Qwen3A3BMoE07Combine,fwd,39.540000
Qwen3A3BMoE08Dispatch,fwd,40.150000
Qwen3A3BMoE08Combine,fwd,39.000000
Qwen3A3BMoE09Dispatch,fwd,39.100000
Qwen3A3BMoE09Combine,fwd,36.700000
Qwen3A3BMoE10Dispatch,fwd,38.330000
Qwen3A3BMoE10Combine,fwd,36.130000
Qwen3A3BMoE11Dispatch,fwd,36.860000
Qwen3A3BMoE11Combine,fwd,38.310000
Qwen3A3BMoE12Dispatch,fwd,36.630000
Qwen3A3BMoE12Combine,fwd,35.510000
Qwen3A3BMoE13Dispatch,fwd,36.640000
Qwen3A3BMoE13Combine,fwd,36.050000
Qwen3A3BMoE14Dispatch,fwd,39.370000
Qwen3A3BMoE14Combine,fwd,35.780000
Qwen3A3BMoE15Dispatch,fwd,35.730000
Qwen3A3BMoE15Combine,fwd,34.340000
Qwen3A3BMoE16Dispatch,fwd,37.330000
Qwen3A3BMoE16Combine,fwd,35.920000
Qwen3A3BMoE17Dispatch,fwd,44.260000
Qwen3A3BMoE17Combine,fwd,41.060000
Qwen3A3BMoE18Dispatch,fwd,35.200000
Qwen3A3BMoE18Combine,fwd,34.510000
Qwen3A3BMoE19Dispatch,fwd,40.240000
Qwen3A3BMoE19Combine,fwd,39.070000
Qwen3A3BMoE20Dispatch,fwd,41.630000
Qwen3A3BMoE20Combine,fwd,39.440000
Qwen3A3BMoE21Dispatch,fwd,38.370000
Qwen3A3BMoE21Combine,fwd,38.170000
Qwen3A3BMoE22Dispatch,fwd,38.850000
Qwen3A3BMoE22Combine,fwd,38.470000
Qwen3A3BMoE23Dispatch,fwd,44.770000
Qwen3A3BMoE23Combine,fwd,38.560000
Qwen3A3BMoE24Dispatch,fwd,37.590000
Qwen3A3BMoE24Combine,fwd,35.650000
Qwen3A3BMoE25Dispatch,fwd,38.120000
Qwen3A3BMoE25Combine,fwd,35.140000
Qwen3A3BMoE26Dispatch,fwd,39.850000
Qwen3A3BMoE26Combine,fwd,36.400000
Qwen3A3BMoE27Dispatch,fwd,36.720000
Qwen3A3BMoE27Combine,fwd,34.960000
Qwen3A3BMoE28Dispatch,fwd,36.280000
Qwen3A3BMoE28Combine,fwd,34.710000
Qwen3A3BMoE29Dispatch,fwd,40.030000
Qwen3A3BMoE29Combine,fwd,37.480000
Qwen3A3BMoE30Dispatch,fwd,37.920000
Qwen3A3BMoE30Combine,fwd,34.970000
Qwen3A3BMoE31Dispatch,fwd,42.850000
Qwen3A3BMoE31Combine,fwd,38.290000
Qwen3A3BMoE32Dispatch,fwd,41.710000
Qwen3A3BMoE32Combine,fwd,42.910000
Qwen3A3BMoE33Dispatch,fwd,37.640000
Qwen3A3BMoE33Combine,fwd,36.440000
Qwen3A3BMoE34Dispatch,fwd,37.050000
Qwen3A3BMoE34Combine,fwd,36.790000
Qwen3A3BMoE35Dispatch,fwd,38.950000
Qwen3A3BMoE35Combine,fwd,37.270000
Qwen3A3BMoE36Dispatch,fwd,37.510000
Qwen3A3BMoE36Combine,fwd,38.100000
Qwen3A3BMoE37Dispatch,fwd,37.750000
Qwen3A3BMoE37Combine,fwd,37.870000
Qwen3A3BMoE38Dispatch,fwd,36.960000
Qwen3A3BMoE38Combine,fwd,35.290000
Qwen3A3BMoE39Dispatch,fwd,35.600000
Qwen3A3BMoE39Combine,fwd,34.190000
Qwen3A3BMoE40Dispatch,fwd,36.110000
Qwen3A3BMoE40Combine,fwd,35.180000
Qwen3A3BMoE41Dispatch,fwd,44.010000
Qwen3A3BMoE41Combine,fwd,40.190000
Qwen3A3BMoE42Dispatch,fwd,37.430000
Qwen3A3BMoE42Combine,fwd,35.670000
Qwen3A3BMoE43Dispatch,fwd,37.660000
Qwen3A3BMoE43Combine,fwd,37.210000
Qwen3A3BMoE44Dispatch,fwd,41.340000
Qwen3A3BMoE44Combine,fwd,39.660000
Qwen3A3BMoE45Dispatch,fwd,40.460000
Qwen3A3BMoE45Combine,fwd,39.320000
Qwen3A3BMoE46Dispatch,fwd,40.330000
Qwen3A3BMoE46Combine,fwd,36.800000
Qwen3A3BMoE47Dispatch,fwd,37.350000
Qwen3A3BMoE47Combine,fwd,35.060000
Qwen3A3BMoE48Dispatch,fwd,41.360000
Qwen3A3BMoE48Combine,fwd,35.550000
