layer,phase,duration_us
Qwen3A3BMoE01Dispatch,fwd,46.030000
Qwen3A3BMoE01Combine,fwd,50.820000
Qwen3A3BMoE02Dispatch,fwd,50.350000
Qwen3A3BMoE02Combine,fwd,49.190000
Qwen3A3BMoE03Dispatch,fwd,53.070000
Qwen3A3BMoE03Combine,fwd,48.440000
Qwen3A3BMoE04Dispatch,fwd,56.340000
Qwen3A3BMoE04Combine,fwd,68.130000
Qwen3A3BMoE05Dispatch,fwd,72.550000
Qwen3A3BMoE05Combine,fwd,66.010000
Qwen3A3BMoE06Dispatch,fwd,57.090000
Qwen3A3BMoE06Combine,fwd,50.420000
Qwen3A3BMoE07Dispatch,fwd,68.850000
Qwen3A3BMoE07Combine,fwd,60.840000
Qwen3A3BMoE08Dispatch,fwd,87.110000
Qwen3A3BMoE08Combine,fwd,93.540000
Qwen3A3BMoE09Dispatch,fwd,54.430000
Qwen3A3BMoE09Combine,fwd,61.590000
Qwen3A3BMoE10Dispatch,fwd,59.660000
Qwen3A3BMoE10Combine,fwd,58.930000
Qwen3A3BMoE11Dispatch,fwd,61.490000
Qwen3A3BMoE11Combine,fwd,75.070000
Qwen3A3BMoE12Dispatch,fwd,63.970000
Qwen3A3BMoE12Combine,fwd,57.610000
Qwen3A3BMoE13Dispatch,fwd,54.140000
Qwen3A3BMoE13Combine,fwd,54.770000
Qwen3A3BMoE14Dispatch,fwd,71.870000
Qwen3A3BMoE14Combine,fwd,66.760000
Qwen3A3BMoE15Dispatch,fwd,62.810000
Qwen3A3BMoE15Combine,fwd,52.390000
Qwen3A3BMoE16Dispatch,fwd,67.650000
Qwen3A3BMoE16Combine,fwd,57.090000
Qwen3A3BMoE17Dispatch,fwd,73.980000
Qwen3A3BMoE17Combine,fwd,91.810000
Qwen3A3BMoE18Dispatch,fwd,60.840000
Qwen3A3BMoE18Combine,fwd,58.700000
Qwen3A3BMoE19Dispatch,fwd,81.270000
Qwen3A3BMoE19Combine,fwd,65.130000
Qwen3A3BMoE20Dispatch,fwd,91.260000
Qwen3A3BMoE20Combine,fwd,94.280000
Qwen3A3BMoE21Dispatch,fwd,51.100000
Qwen3A3BMoE21Combine,fwd,63.630000
Qwen3A3BMoE22Dispatch,fwd,69.800000
Qwen3A3BMoE22Combine,fwd,69.280000
Qwen3A3BMoE23Dispatch,fwd,70.760000
Qwen3A3BMoE23Combine,fwd,81.070000
Qwen3A3BMoE24Dispatch,fwd,60.570000
Qwen3A3BMoE24Combine,fwd,63.060000
Qwen3A3BMoE25Dispatch,fwd,55.590000
Qwen3A3BMoE25Combine,fwd,55.460000
Qwen3A3BMoE26Dispatch,fwd,70.580000
Qwen3A3BMoE26Combine,fwd,66.900000
Qwen3A3BMoE27Dispatch,fwd,61.310000
Qwen3A3BMoE27Combine,fwd,56.680000
Qwen3A3BMoE28Dispatch,fwd,66.630000
Qwen3A3BMoE28Combine,fwd,59.130000
Qwen3A3BMoE29Dispatch,fwd,69.560000
Qwen3A3BMoE29Combine,fwd,83.700000
Qwen3A3BMoE30Dispatch,fwd,63.220000
Qwen3A3BMoE30Combine,fwd,60.950000
Qwen3A3BMoE31Dispatch,fwd,77.250000
Qwen3A3BMoE31Combine,fwd,77.940000
Qwen3A3BMoE32Dispatch,fwd,95.760000
Qwen3A3BMoE32Combine,fwd,97.960000
Qwen3A3BMoE33Dispatch,fwd,52.460000
Qwen3A3BMoE33Combine,fwd,66.360000
Qwen3A3BMoE34Dispatch,fwd,64.630000
Qwen3A3BMoE34Combine,fwd,62.650000
Qwen3A3BMoE35Dispatch,fwd,60.340000
Qwen3A3BMoE35Combine,fwd,71.190000
Qwen3A3BMoE36Dispatch,fwd,66.670000
Qwen3A3BMoE36Combine,fwd,68.030000
Qwen3A3BMoE37Dispatch,fwd,59.790000
Qwen3A3BMoE37Combine,fwd,63.360000
Qwen3A3BMoE38Dispatch,fwd,56.680000
Qwen3A3BMoE38Combine,fwd,56.340000
Qwen3A3BMoE39Dispatch,fwd,58.790000
Qwen3A3BMoE39Combine,fwd,56.270000
Qwen3A3BMoE40Dispatch,fwd,59.950000
Qwen3A3BMoE40Combine,fwd,55.460000
Qwen3A3BMoE41Dispatch,fwd,69.280000
Qwen3A3BMoE41Combine,fwd,86.220000
Qwen3A3BMoE42Dispatch,fwd,55.460000
Qwen3A3BMoE42Combine,fwd,53.660000
Qwen3A3BMoE43Dispatch,fwd,55.860000
Qwen3A3BMoE43Combine,fwd,69.150000
Qwen3A3BMoE44Dispatch,fwd,74.120000
Qwen3A3BMoE44Combine,fwd,61.380000
Qwen3A3BMoE45Dispatch,fwd,73.640000
Qwen3A3BMoE45Combine,fwd,63.430000
Qwen3A3BMoE46Dispatch,fwd,59.750000
Qwen3A3BMoE46Combine,fwd,61.520000
Qwen3A3BMoE47Dispatch,fwd,70.240000
Qwen3A3BMoE47Combine,fwd,53.340000
Qwen3A3BMoE48Dispatch,fwd,70.170000
Qwen3A3BMoE48Combine,fwd,54.950000
