layer,phase,duration_us
Qwen3A3BMoE01Dispatch,fwd,175.840000
Qwen3A3BMoE01Combine,fwd,184.990000
Qwen3A3BMoE02Dispatch,fwd,190.080000
Qwen3A3BMoE02Combine,fwd,176.970000
Qwen3A3BMoE03Dispatch,fwd,210.600000
Qwen3A3BMoE03Combine,fwd,200.230000
Qwen3A3BMoE04Dispatch,fwd,196.230000
Qwen3A3BMoE04Combine,fwd,227.630000
Qwen3A3BMoE05Dispatch,fwd,210.600000
Qwen3A3BMoE05Combine,fwd,213.960000
Qwen3A3BMoE06Dispatch,fwd,179.430000
Qwen3A3BMoE06Combine,fwd,200.770000
Qwen3A3BMoE07Dispatch,fwd,227.200000
Qwen3A3BMoE07Combine,fwd,241.870000
Qwen3A3BMoE08Dispatch,fwd,308.490000
Qwen3A3BMoE08Combine,fwd,300.910000
Qwen3A3BMoE09Dispatch,fwd,190.690000
Qwen3A3BMoE09Combine,fwd,209.200000
Qwen3A3BMoE10Dispatch,fwd,232.880000
Qwen3A3BMoE10Combine,fwd,228.470000
Qwen3A3BMoE11Dispatch,fwd,226.680000
Qwen3A3BMoE11Combine,fwd,251.500000
Qwen3A3BMoE12Dispatch,fwd,219.390000
Qwen3A3BMoE12Combine,fwd,221.230000
Qwen3A3BMoE13Dispatch,fwd,205.090000
Qwen3A3BMoE13Combine,fwd,202.250000
Qwen3A3BMoE14Dispatch,fwd,225.970000
Qwen3A3BMoE14Combine,fwd,217.480000
Qwen3A3BMoE15Dispatch,fwd,183.850000
Qwen3A3BMoE15Combine,fwd,193.230000
Qwen3A3BMoE16Dispatch,fwd,223.250000
Qwen3A3BMoE16Combine,fwd,211.860000
Qwen3A3BMoE17Dispatch,fwd,289.190000
Qwen3A3BMoE17Combine,fwd,283.870000
Qwen3A3BMoE18Dispatch,fwd,233.740000
Qwen3A3BMoE18Combine,fwd,196.090000
Qwen3A3BMoE19Dispatch,fwd,224.360000
Qwen3A3BMoE19Combine,fwd,266.530000
Qwen3A3BMoE20Dispatch,fwd,321.970000
Qwen3A3BMoE20Combine,fwd,324.690000
Qwen3A3BMoE21Dispatch,fwd,183.940000
Qwen3A3BMoE21Combine,fwd,204.970000
Qwen3A3BMoE22Dispatch,fwd,251.020000
Qwen3A3BMoE22Combine,fwd,248.200000
Qwen3A3BMoE23Dispatch,fwd,257.290000
Qwen3A3BMoE23Combine,fwd,277.130000
Qwen3A3BMoE24Dispatch,fwd,240.690000
Qwen3A3BMoE24Combine,fwd,231.130000
Qwen3A3BMoE25Dispatch,fwd,210.080000
Qwen3A3BMoE25Combine,fwd,205.430000
Qwen3A3BMoE26Dispatch,fwd,232.790000
Qwen3A3BMoE26Combine,fwd,228.680000
Qwen3A3BMoE27Dispatch,fwd,191.550000
Qwen3A3BMoE27Combine,fwd,192.710000
Qwen3A3BMoE28Dispatch,fwd,214.640000
Qwen3A3BMoE28Combine,fwd,212.020000
Qwen3A3BMoE29Dispatch,fwd,265.460000
Qwen3A3BMoE29Combine,fwd,260.140000
Qwen3A3BMoE30Dispatch,fwd,238.330000
Qwen3A3BMoE30Combine,fwd,205.330000
Qwen3A3BMoE31Dispatch,fwd,223.520000
Qwen3A3BMoE31Combine,fwd,257.970000
Qwen3A3BMoE32Dispatch,fwd,333.280000
Qwen3A3BMoE32Combine,fwd,313.520000
Qwen3A3BMoE33Dispatch,fwd,198.020000
Qwen3A3BMoE33Combine,fwd,216.440000
Qwen3A3BMoE34Dispatch,fwd,239.620000
Qwen3A3BMoE34Combine,fwd,247.820000
Qwen3A3BMoE35Dispatch,fwd,220.270000
Qwen3A3BMoE35Combine,fwd,239.920000
Qwen3A3BMoE36Dispatch,fwd,250.430000
Qwen3A3BMoE36Combine,fwd,234.710000
Qwen3A3BMoE37Dispatch,fwd,213.100000
Qwen3A3BMoE37Combine,fwd,201.900000
Qwen3A3BMoE38Dispatch,fwd,200.000000
Qwen3A3BMoE38Combine,fwd,192.640000
Qwen3A3BMoE39Dispatch,fwd,184.920000
Qwen3A3BMoE39Combine,fwd,188.210000
Qwen3A3BMoE40Dispatch,fwd,198.910000
Qwen3A3BMoE40Combine,fwd,203.770000
Qwen3A3BMoE41Dispatch,fwd,272.200000
Qwen3A3BMoE41Combine,fwd,267.020000
Qwen3A3BMoE42Dispatch,fwd,208.670000
Qwen3A3BMoE42Combine,fwd,190.300000
Qwen3A3BMoE43Dispatch,fwd,192.300000
Qwen3A3BMoE43Combine,fwd,220.870000
Qwen3A3BMoE44Dispatch,fwd,207.050000
Qwen3A3BMoE44Combine,fwd,229.950000
Qwen3A3BMoE45Dispatch,fwd,195.930000
Qwen3A3BMoE45Combine,fwd,241.640000
Qwen3A3BMoE46Dispatch,fwd,227.610000
Qwen3A3BMoE46Combine,fwd,217.100000
Qwen3A3BMoE47Dispatch,fwd,228.720000
Qwen3A3BMoE47Combine,fwd,207.810000
Qwen3A3BMoE48Dispatch,fwd,231.020000
Qwen3A3BMoE48Combine,fwd,233.830000
