layer,phase,duration_us
Qwen3A3BMoE01Dispatch,fwd,2042.030000
Qwen3A3BMoE01Combine,fwd,2136.330000
Qwen3A3BMoE02Dispatch,fwd,1943.870000
Qwen3A3BMoE02Combine,fwd,2082.450000
Qwen3A3BMoE03Dispatch,fwd,2176.480000
Qwen3A3BMoE03Combine,fwd,2018.140000
Qwen3A3BMoE04Dispatch,fwd,2197.210000
Qwen3A3BMoE04Combine,fwd,2136.100000
Qwen3A3BMoE05Dispatch,fwd,2151.290000
Qwen3A3BMoE05Combine,fwd,2181.090000
Qwen3A3BMoE06Dispatch,fwd,2077.700000
Qwen3A3BMoE06Combine,fwd,2103.700000
Qwen3A3BMoE07Dispatch,fwd,2257.920000
Qwen3A3BMoE07Combine,fwd,2285.490000
Qwen3A3BMoE08Dispatch,fwd,2563.920000
Qwen3A3BMoE08Combine,fwd,2740.870000
Qwen3A3BMoE09Dispatch,fwd,2070.570000
Qwen3A3BMoE09Combine,fwd,2068.280000
Qwen3A3BMoE10Dispatch,fwd,2237.120000
Qwen3A3BMoE10Combine,fwd,2355.100000
Qwen3A3BMoE11Dispatch,fwd,1849.800000
Qwen3A3BMoE11Combine,fwd,2222.180000
Qwen3A3BMoE12Dispatch,fwd,1994.550000
Qwen3A3BMoE12Combine,fwd,2096.090000
Qwen3A3BMoE13Dispatch,fwd,2534.470000
Qwen3A3BMoE13Combine,fwd,2301.090000
Qwen3A3BMoE14Dispatch,fwd,1914.350000
Qwen3A3BMoE14Combine,fwd,2008.810000
Qwen3A3BMoE15Dispatch,fwd,1947.530000
Qwen3A3BMoE15Combine,fwd,1983.380000
Qwen3A3BMoE16Dispatch,fwd,1961.540000
Qwen3A3BMoE16Combine,fwd,2175.390000
Qwen3A3BMoE17Dispatch,fwd,2657.580000
Qwen3A3BMoE17Combine,fwd,2676.290000
Qwen3A3BMoE18Dispatch,fwd,2130.450000
Qwen3A3BMoE18Combine,fwd,2164.030000
Qwen3A3BMoE19Dispatch,fwd,2456.220000
Qwen3A3BMoE19Combine,fwd,2404.540000
Qwen3A3BMoE20Dispatch,fwd,2585.580000
Qwen3A3BMoE20Combine,fwd,2649.250000
Qwen3A3BMoE21Dispatch,fwd,2336.780000
Qwen3A3BMoE21Combine,fwd,2209.220000
Qwen3A3BMoE22Dispatch,fwd,2426.860000
Qwen3A3BMoE22Combine,fwd,2324.470000
Qwen3A3BMoE23Dispatch,fwd,1776.140000
Qwen3A3BMoE23Combine,fwd,2232.610000
Qwen3A3BMoE24Dispatch,fwd,1943.780000
Qwen3A3BMoE24Combine,fwd,1920.160000
Qwen3A3BMoE25Dispatch,fwd,2661.400000
Qwen3A3BMoE25Combine,fwd,2668.440000
Qwen3A3BMoE26Dispatch,fwd,1954.930000
Qwen3A3BMoE26Combine,fwd,2112.350000
Qwen3A3BMoE27Dispatch,fwd,1896.750000
Qwen3A3BMoE27Combine,fwd,2061.240000
Qwen3A3BMoE28Dispatch,fwd,2010.420000
Qwen3A3BMoE28Combine,fwd,2144.640000
Qwen3A3BMoE29Dispatch,fwd,2631.110000
Qwen3A3BMoE29Combine,fwd,2641.840000
Qwen3A3BMoE30Dispatch,fwd,2130.220000
Qwen3A3BMoE30Combine,fwd,2071.350000
Qwen3A3BMoE31Dispatch,fwd,2247.520000
Qwen3A3BMoE31Combine,fwd,2284.240000
Qwen3A3BMoE32Dispatch,fwd,2537.060000
Qwen3A3BMoE32Combine,fwd,2481.380000
Qwen3A3BMoE33Dispatch,fwd,2422.500000
Qwen3A3BMoE33Combine,fwd,2325.560000
Qwen3A3BMoE34Dispatch,fwd,2295.360000
Qwen3A3BMoE34Combine,fwd,2461.440000
Qwen3A3BMoE35Dispatch,fwd,1916.730000
Qwen3A3BMoE35Combine,fwd,2079.380000
Qwen3A3BMoE36Dispatch,fwd,1877.500000
Qwen3A3BMoE36Combine,fwd,1934.170000
Qwen3A3BMoE37Dispatch,fwd,2599.500000
Qwen3A3BMoE37Combine,fwd,2873.660000
Qwen3A3BMoE38Dispatch,fwd,2003.320000
Qwen3A3BMoE38Combine,fwd,2012.170000
Qwen3A3BMoE39Dispatch,fwd,2251.410000
Qwen3A3BMoE39Combine,fwd,2317.530000
Qwen3A3BMoE40Dispatch,fwd,2046.570000
Qwen3A3BMoE40Combine,fwd,2091.210000
Qwen3A3BMoE41Dispatch,fwd,2534.830000
Qwen3A3BMoE41Combine,fwd,2596.270000
Qwen3A3BMoE42Dispatch,fwd,2045.780000
Qwen3A3BMoE42Combine,fwd,2134.310000
Qwen3A3BMoE43Dispatch,fwd,2196.430000
Qwen3A3BMoE43Combine,fwd,2205.450000
Qwen3A3BMoE44Dispatch,fwd,2086.880000
Qwen3A3BMoE44Combine,fwd,2059.330000
Qwen3A3BMoE45Dispatch,fwd,2092.760000
Qwen3A3BMoE45Combine,fwd,1972.820000
Qwen3A3BMoE46Dispatch,fwd,2371.840000
Qwen3A3BMoE46Combine,fwd,2429.660000
Qwen3A3BMoE47Dispatch,fwd,2101.430000
Qwen3A3BMoE47Combine,fwd,2206.830000
Qwen3A3BMoE48Dispatch,fwd,1997.550000
Qwen3A3BMoE48Combine,fwd,2064.580000
