layer,phase,duration_us
Qwen3A3BMoE01Dispatch,fwd,4924.640000
Qwen3A3BMoE01Combine,fwd,4043.990000
Qwen3A3BMoE02Dispatch,fwd,4652.710000
Qwen3A3BMoE02Combine,fwd,3745.360000
Qwen3A3BMoE03Dispatch,fwd,4737.450000
Qwen3A3BMoE03Combine,fwd,3905.030000
Qwen3A3BMoE04Dispatch,fwd,4848.260000
Qwen3A3BMoE04Combine,fwd,3995.130000
Qwen3A3BMoE05Dispatch,fwd,5054.070000
Qwen3A3BMoE05Combine,fwd,4305.030000
Qwen3A3BMoE06Dispatch,fwd,4427.280000
Qwen3A3BMoE06Combine,fwd,3954.620000
Qwen3A3BMoE07Dispatch,fwd,5903.390000
Qwen3A3BMoE07Combine,fwd,4147.540000
Qwen3A3BMoE08Dispatch,fwd,4929.550000
Qwen3A3BMoE08Combine,fwd,4317.290000
Qwen3A3BMoE09Dispatch,fwd,4693.040000
Qwen3A3BMoE09Combine,fwd,4124.380000
Qwen3A3BMoE10Dispatch,fwd,4783.230000
Qwen3A3BMoE10Combine,fwd,5389.670000
Qwen3A3BMoE11Dispatch,fwd,4403.670000
Qwen3A3BMoE11Combine,fwd,3617.840000
Qwen3A3BMoE12Dispatch,fwd,4886.500000
Qwen3A3BMoE12Combine,fwd,3675.880000
Qwen3A3BMoE13Dispatch,fwd,5155.710000
Qwen3A3BMoE13Combine,fwd,4003.580000
Qwen3A3BMoE14Dispatch,fwd,4104.760000
Qwen3A3BMoE14Combine,fwd,3927.100000
Qwen3A3BMoE15Dispatch,fwd,4905.030000
Qwen3A3BMoE15Combine,fwd,3971.240000
Qwen3A3BMoE16Dispatch,fwd,4555.440000
Qwen3A3BMoE16Combine,fwd,4097.950000
Qwen3A3BMoE17Dispatch,fwd,7870.410000
Qwen3A3BMoE17Combine,fwd,6766.510000
Qwen3A3BMoE18Dispatch,fwd,6581.040000
Qwen3A3BMoE18Combine,fwd,4952.070000
Qwen3A3BMoE19Dispatch,fwd,6254.790000
Qwen3A3BMoE19Combine,fwd,4312.930000
Qwen3A3BMoE20Dispatch,fwd,4629.010000
Qwen3A3BMoE20Combine,fwd,4198.760000
Qwen3A3BMoE21Dispatch,fwd,4888.310000
Qwen3A3BMoE21Combine,fwd,5290.220000
Qwen3A3BMoE22Dispatch,fwd,4727.100000
Qwen3A3BMoE22Combine,fwd,5080.950000
Qwen3A3BMoE23Dispatch,fwd,3994.400000
Qwen3A3BMoE23Combine,fwd,3262.980000
Qwen3A3BMoE24Dispatch,fwd,4942.360000
Qwen3A3BMoE24Combine,fwd,3633.370000
Qwen3A3BMoE25Dispatch,fwd,5432.270000
Qwen3A3BMoE25Combine,fwd,4362.160000
Qwen3A3BMoE26Dispatch,fwd,4315.110000
Qwen3A3BMoE26Combine,fwd,3834.190000
Qwen3A3BMoE27Dispatch,fwd,4659.520000
Qwen3A3BMoE27Combine,fwd,3976.690000
Qwen3A3BMoE28Dispatch,fwd,4689.500000
Qwen3A3BMoE28Combine,fwd,3617.840000
Qwen3A3BMoE29Dispatch,fwd,7786.760000
Qwen3A3BMoE29Combine,fwd,6666.510000
Qwen3A3BMoE30Dispatch,fwd,6162.510000
Qwen3A3BMoE30Combine,fwd,4834.910000
Qwen3A3BMoE31Dispatch,fwd,6001.110000
Qwen3A3BMoE31Combine,fwd,4403.390000
Qwen3A3BMoE32Dispatch,fwd,5416.200000
Qwen3A3BMoE32Combine,fwd,4559.800000
Qwen3A3BMoE33Dispatch,fwd,4995.120000
Qwen3A3BMoE33Combine,fwd,5434.090000
Qwen3A3BMoE34Dispatch,fwd,4895.490000
Qwen3A3BMoE34Combine,fwd,5374.410000
Qwen3A3BMoE35Dispatch,fwd,4190.860000
Qwen3A3BMoE35Combine,fwd,3623.020000
Qwen3A3BMoE36Dispatch,fwd,5010.480000
Qwen3A3BMoE36Combine,fwd,3704.670000
Qwen3A3BMoE37Dispatch,fwd,5471.240000
Qwen3A3BMoE37Combine,fwd,4560.520000
Qwen3A3BMoE38Dispatch,fwd,3999.580000
Qwen3A3BMoE38Combine,fwd,3958.980000
Qwen3A3BMoE39Dispatch,fwd,4900.390000
Qwen3A3BMoE39Combine,fwd,4076.420000
Qwen3A3BMoE40Dispatch,fwd,4980.230000
Qwen3A3BMoE40Combine,fwd,4233.370000
Qwen3A3BMoE41Dispatch,fwd,6872.590000
Qwen3A3BMoE41Combine,fwd,6095.660000
Qwen3A3BMoE42Dispatch,fwd,5220.010000
Qwen3A3BMoE42Combine,fwd,4571.420000
Qwen3A3BMoE43Dispatch,fwd,4529.010000
Qwen3A3BMoE43Combine,fwd,4080.690000
Qwen3A3BMoE44Dispatch,fwd,4551.890000
Qwen3A3BMoE44Combine,fwd,4515.380000
Qwen3A3BMoE45Dispatch,fwd,4531.190000
Qwen3A3BMoE45Combine,fwd,3585.050000
Qwen3A3BMoE46Dispatch,fwd,4857.620000
Qwen3A3BMoE46Combine,fwd,4320.690000
Qwen3A3BMoE47Dispatch,fwd,5041.810000
Qwen3A3BMoE47Combine,fwd,4799.580000
Qwen3A3BMoE48Dispatch,fwd,4816.740000
Qwen3A3BMoE48Combine,fwd,3812.660000
