layer,phase,duration_us
Qwen3A3BMoE01Dispatch,fwd,16894.770000
Qwen3A3BMoE01Combine,fwd,13726.570000
Qwen3A3BMoE02Dispatch,fwd,16510.310000
Qwen3A3BMoE02Combine,fwd,14597.780000
Qwen3A3BMoE03Dispatch,fwd,18262.160000
Qwen3A3BMoE03Combine,fwd,15336.280000
Qwen3A3BMoE04Dispatch,fwd,17406.030000
Qwen3A3BMoE04Combine,fwd,15917.300000
Qwen3A3BMoE05Dispatch,fwd,20098.840000
Qwen3A3BMoE05Combine,fwd,18582.590000
Qwen3A3BMoE06Dispatch,fwd,15770.190000
Qwen3A3BMoE06Combine,fwd,16168.980000
Qwen3A3BMoE07Dispatch,fwd,16305.340000
Qwen3A3BMoE07Combine,fwd,15792.220000
Qwen3A3BMoE08Dispatch,fwd,19462.970000
Qwen3A3BMoE08Combine,fwd,17040.270000
Qwen3A3BMoE09Dispatch,fwd,18372.150000
Qwen3A3BMoE09Combine,fwd,17012.840000
Qwen3A3BMoE10Dispatch,fwd,17487.350000
Qwen3A3BMoE10Combine,fwd,19026.640000
Qwen3A3BMoE11Dispatch,fwd,16986.530000
Qwen3A3BMoE11Combine,fwd,14673.250000
Qwen3A3BMoE12Dispatch,fwd,17045.270000
Qwen3A3BMoE12Combine,fwd,14603.860000
Qwen3A3BMoE13Dispatch,fwd,19796.210000
Qwen3A3BMoE13Combine,fwd,16983.500000
Qwen3A3BMoE14Dispatch,fwd,16947.720000
Qwen3A3BMoE14Combine,fwd,15622.750000
Qwen3A3BMoE15Dispatch,fwd,18421.410000
Qwen3A3BMoE15Combine,fwd,16344.820000
Qwen3A3BMoE16Dispatch,fwd,17440.360000
Qwen3A3BMoE16Combine,fwd,15883.780000
Qwen3A3BMoE17Dispatch,fwd,23621.430000
Qwen3A3BMoE17Combine,fwd,23160.860000
Qwen3A3BMoE18Dispatch,fwd,16179.180000
Qwen3A3BMoE18Combine,fwd,19496.750000
Qwen3A3BMoE19Dispatch,fwd,16348.440000
Qwen3A3BMoE19Combine,fwd,18801.420000
Qwen3A3BMoE20Dispatch,fwd,19956.820000
Qwen3A3BMoE20Combine,fwd,17490.130000
Qwen3A3BMoE21Dispatch,fwd,19390.610000
Qwen3A3BMoE21Combine,fwd,19326.180000
Qwen3A3BMoE22Dispatch,fwd,17067.190000
Qwen3A3BMoE22Combine,fwd,18546.080000
Qwen3A3BMoE23Dispatch,fwd,16538.460000
Qwen3A3BMoE23Combine,fwd,14669.620000
Qwen3A3BMoE24Dispatch,fwd,16930.010000
Qwen3A3BMoE24Combine,fwd,14479.520000
Qwen3A3BMoE25Dispatch,fwd,20924.270000
Qwen3A3BMoE25Combine,fwd,17801.210000
Qwen3A3BMoE26Dispatch,fwd,17173.460000
Qwen3A3BMoE26Combine,fwd,16015.480000
Qwen3A3BMoE27Dispatch,fwd,17792.860000
Qwen3A3BMoE27Combine,fwd,16038.910000
Qwen3A3BMoE28Dispatch,fwd,16975.060000
Qwen3A3BMoE28Combine,fwd,15227.930000
Qwen3A3BMoE29Dispatch,fwd,23971.560000
Qwen3A3BMoE29Combine,fwd,22796.280000
Qwen3A3BMoE30Dispatch,fwd,16687.350000
Qwen3A3BMoE30Combine,fwd,18652.340000
Qwen3A3BMoE31Dispatch,fwd,16797.480000
Qwen3A3BMoE31Combine,fwd,19195.110000
Qwen3A3BMoE32Dispatch,fwd,20366.780000
Qwen3A3BMoE32Combine,fwd,17336.550000
Qwen3A3BMoE33Dispatch,fwd,19672.350000
Qwen3A3BMoE33Combine,fwd,19945.530000
Qwen3A3BMoE34Dispatch,fwd,17661.190000
Qwen3A3BMoE34Combine,fwd,19189.220000
Qwen3A3BMoE35Dispatch,fwd,16371.250000
Qwen3A3BMoE35Combine,fwd,15041.640000
Qwen3A3BMoE36Dispatch,fwd,17359.980000
Qwen3A3BMoE36Combine,fwd,15044.730000
Qwen3A3BMoE37Dispatch,fwd,21356.420000
Qwen3A3BMoE37Combine,fwd,18646.800000
Qwen3A3BMoE38Dispatch,fwd,17545.270000
Qwen3A3BMoE38Combine,fwd,16558.800000
Qwen3A3BMoE39Dispatch,fwd,18019.020000
Qwen3A3BMoE39Combine,fwd,15160.440000
Qwen3A3BMoE40Dispatch,fwd,17534.010000
Qwen3A3BMoE40Combine,fwd,14867.620000
Qwen3A3BMoE41Dispatch,fwd,22549.500000
Qwen3A3BMoE41Combine,fwd,22356.140000
Qwen3A3BMoE42Dispatch,fwd,17024.680000
Qwen3A3BMoE42Combine,fwd,17747.990000
Qwen3A3BMoE43Dispatch,fwd,17048.810000
Qwen3A3BMoE43Combine,fwd,16193.050000
Qwen3A3BMoE44Dispatch,fwd,16881.510000
Qwen3A3BMoE44Combine,fwd,15267.620000
Qwen3A3BMoE45Dispatch,fwd,18218.410000
Qwen3A3BMoE45Combine,fwd,15968.960000
Qwen3A3BMoE46Dispatch,fwd,19228.370000
Qwen3A3BMoE46Combine,fwd,16844.360000
Qwen3A3BMoE47Dispatch,fwd,17473.700000
Qwen3A3BMoE47Combine,fwd,16211.940000
Qwen3A3BMoE48Dispatch,fwd,16433.950000
Qwen3A3BMoE48Combine,fwd,15576.970000
