case_id,sample_index,layer,target_devices,size_label,nominal_bytes_per_rank,raw_batch_size,merge_adjacent_pairs,scale_factor,source_csv,generated_csv,collective_json,matrix_rows,matrix_cols,avg_row_bytes,row_bytes_min,row_bytes_max,total_bytes
layer1_group0_64devices_1MB,0,1,64,1MB,1048576,32,False,1,input/raw_data/olmoe_inf/OLMoE_Inference/Decode_BS32_Layer1_0.csv,evaluation_assets/csv/synthetic/64devices/layer1_group0_64devices_1MB.csv,evaluation_assets/collectives/synthetic/64devices/layer1_group0_64devices_1MB.json,64,64,1032512.0,978944,1048576,66080768
layer1_group1_64devices_1MB,1,1,64,1MB,1048576,32,False,1,input/raw_data/olmoe_inf/OLMoE_Inference/Decode_BS32_Layer1_1.csv,evaluation_assets/csv/synthetic/64devices/layer1_group1_64devices_1MB.csv,evaluation_assets/collectives/synthetic/64devices/layer1_group1_64devices_1MB.json,64,64,1032448.0,954368,1048576,66076672
layer1_group2_64devices_1MB,2,1,64,1MB,1048576,32,False,1,input/raw_data/olmoe_inf/OLMoE_Inference/Decode_BS32_Layer1_2.csv,evaluation_assets/csv/synthetic/64devices/layer1_group2_64devices_1MB.csv,evaluation_assets/collectives/synthetic/64devices/layer1_group2_64devices_1MB.json,64,64,1026176.0,917504,1048576,65675264
layer1_group3_64devices_1MB,3,1,64,1MB,1048576,32,False,1,input/raw_data/olmoe_inf/OLMoE_Inference/Decode_BS32_Layer1_3.csv,evaluation_assets/csv/synthetic/64devices/layer1_group3_64devices_1MB.csv,evaluation_assets/collectives/synthetic/64devices/layer1_group3_64devices_1MB.json,64,64,1028480.0,917504,1048576,65822720
layer1_group0_64devices_8MB,0,1,64,8MB,8388608,256,False,1,input/raw_data/olmoe_inf/OLMoE_Inference/Decode_BS256_Layer1_0.csv,evaluation_assets/csv/synthetic/64devices/layer1_group0_64devices_8MB.csv,evaluation_assets/collectives/synthetic/64devices/layer1_group0_64devices_8MB.json,64,64,8233408.0,7442432,8388608,526938112
layer1_group1_64devices_8MB,1,1,64,8MB,8388608,256,False,1,input/raw_data/olmoe_inf/OLMoE_Inference/Decode_BS256_Layer1_1.csv,evaluation_assets/csv/synthetic/64devices/layer1_group1_64devices_8MB.csv,evaluation_assets/collectives/synthetic/64devices/layer1_group1_64devices_8MB.json,64,64,8263296.0,7589888,8388608,528850944
layer1_group2_64devices_8MB,2,1,64,8MB,8388608,256,False,1,input/raw_data/olmoe_inf/OLMoE_Inference/Decode_BS256_Layer1_2.csv,evaluation_assets/csv/synthetic/64devices/layer1_group2_64devices_8MB.csv,evaluation_assets/collectives/synthetic/64devices/layer1_group2_64devices_8MB.json,64,64,8267840.0,7696384,8388608,529141760
layer1_group3_64devices_8MB,3,1,64,8MB,8388608,256,False,1,input/raw_data/olmoe_inf/OLMoE_Inference/Decode_BS256_Layer1_3.csv,evaluation_assets/csv/synthetic/64devices/layer1_group3_64devices_8MB.csv,evaluation_assets/collectives/synthetic/64devices/layer1_group3_64devices_8MB.json,64,64,8256896.0,7503872,8388608,528441344
layer1_group0_64devices_64MB,0,1,64,64MB,67108864,512,False,4,input/raw_data/olmoe_inf/OLMoE_Inference/Decode_BS512_Layer1_0.csv,evaluation_assets/csv/synthetic/64devices/layer1_group0_64devices_64MB.csv,evaluation_assets/collectives/synthetic/64devices/layer1_group0_64devices_64MB.json,64,64,65986816.0,60129280,67092480,4223156224
layer1_group1_64devices_64MB,1,1,64,64MB,67108864,512,False,4,input/raw_data/olmoe_inf/OLMoE_Inference/Decode_BS512_Layer1_1.csv,evaluation_assets/csv/synthetic/64devices/layer1_group1_64devices_64MB.csv,evaluation_assets/collectives/synthetic/64devices/layer1_group1_64devices_64MB.json,64,64,66098944.0,60801024,67108864,4230332416
layer1_group2_64devices_64MB,2,1,64,64MB,67108864,512,False,4,input/raw_data/olmoe_inf/OLMoE_Inference/Decode_BS512_Layer1_2.csv,evaluation_assets/csv/synthetic/64devices/layer1_group2_64devices_64MB.csv,evaluation_assets/collectives/synthetic/64devices/layer1_group2_64devices_64MB.json,64,64,66062592.0,59621376,67108864,4228005888
layer1_group3_64devices_64MB,3,1,64,64MB,67108864,512,False,4,input/raw_data/olmoe_inf/OLMoE_Inference/Decode_BS512_Layer1_3.csv,evaluation_assets/csv/synthetic/64devices/layer1_group3_64devices_64MB.csv,evaluation_assets/collectives/synthetic/64devices/layer1_group3_64devices_64MB.json,64,64,66088704.0,60719104,67108864,4229677056
layer1_group0_64devices_256MB,0,1,64,256MB,268435456,512,False,16,input/raw_data/olmoe_inf/OLMoE_Inference/Decode_BS512_Layer1_0.csv,evaluation_assets/csv/synthetic/64devices/layer1_group0_64devices_256MB.csv,evaluation_assets/collectives/synthetic/64devices/layer1_group0_64devices_256MB.json,64,64,263947264.0,240517120,268369920,16892624896
layer1_group1_64devices_256MB,1,1,64,256MB,268435456,512,False,16,input/raw_data/olmoe_inf/OLMoE_Inference/Decode_BS512_Layer1_1.csv,evaluation_assets/csv/synthetic/64devices/layer1_group1_64devices_256MB.csv,evaluation_assets/collectives/synthetic/64devices/layer1_group1_64devices_256MB.json,64,64,264395776.0,243204096,268435456,16921329664
layer1_group2_64devices_256MB,2,1,64,256MB,268435456,512,False,16,input/raw_data/olmoe_inf/OLMoE_Inference/Decode_BS512_Layer1_2.csv,evaluation_assets/csv/synthetic/64devices/layer1_group2_64devices_256MB.csv,evaluation_assets/collectives/synthetic/64devices/layer1_group2_64devices_256MB.json,64,64,264250368.0,238485504,268435456,16912023552
