case_id,phase,nominal_batch_size,actual_batch_size,target_devices,nodes,chunk_label,chunk_bytes,real_makespan_us,real_total_us,algorithm_bytes_per_rank,formula_data_bytes_per_rank,source_method_key
decode_bs8_layer5_23,decode,8,8,8,1,4MB,4194304,175.248,181.178,31981568,2097152,glaive_solver
decode_bs16_layer1_200,decode,16,16,8,1,4MB,4194304,172.989,179.00199999999998,30408704,4194304,glaive_solver
decode_bs32_layer13_106,decode,32,32,8,1,4MB,4194304,171.056,177.03,33554432,8388608,glaive_solver
decode_bs64_layer12_58,decode,64,64,8,1,4MB,4194304,332.314,338.176,34078720,16777216,glaive_solver
decode_bs128_layer14_34,decode,128,128,8,1,4MB,4194304,408.934,414.912,42467328,33554432,glaive_solver
decode_bs256_layer7_9,decode,256,256,8,1,4MB,4194304,614.989,620.819,80216064,67108864,glaive_solver
decode_bs512_layer16_0,decode,512,512,8,1,4MB,4194304,881.866,887.808,147324928,134217728,glaive_solver
decode_bs1024_layer10_0,decode,1024,1024,8,1,4MB,4194304,2307.36,2313.286,279969792,268435456,glaive_solver
decode_bs2048_layer12_0,decode,2048,2048,8,1,4MB,4194304,3565.933,3571.83,544210944,536870912,glaive_solver
decode_bs4096_layer10_0,decode,4096,4096,8,1,64KB,65536,7610.678,7622.394,1056784384,1073741824,glaive_solver
prefill_bs1_layer7_0,prefill,1,1,8,1,4MB,4194304,2763.837,2769.654,376963072,4194304,glaive_solver
prefill_bs2_layer6_9,prefill,2,2,8,1,128KB,131072,2078.429,2084.496,356073472,8388608,glaive_solver
prefill_bs4_layer6_4,prefill,4,4,8,1,4MB,4194304,4234.607999999999,4240.608,751828992,16777216,glaive_solver
prefill_bs8_layer4_0,prefill,8,8,8,1,128KB,131072,7320.746,7326.8769999999995,1697267712,33554432,glaive_solver
prefill_bs16_layer14_0,prefill,16,16,8,1,112KB,114688,74365.831,82745.248,3816630272,67108864,glaive_solver
decode_bs8_layer5_23,decode,8,8,16,2,16KB,16384,116.938,122.886,1089536,1048576,glaive_solver
decode_bs16_layer1_200,decode,16,16,16,2,4MB,4194304,963.04,968.947,41156608,2097152,glaive_solver
decode_bs32_layer13_106,decode,32,32,16,2,16KB,16384,363.92600000000004,369.904,4228096,4194304,glaive_solver
decode_bs64_layer12_58,decode,64,64,16,2,4MB,4194304,967.622,973.533,67108864,8388608,glaive_solver
decode_bs128_layer14_34,decode,128,128,16,2,16KB,16384,628.5730000000001,634.342,16629760,16777216,glaive_solver
decode_bs256_layer7_9,decode,256,256,16,2,4MB,4194304,1627.2420000000002,1633.078,71041024,33554432,glaive_solver
decode_bs512_layer16_0,decode,512,512,16,2,256KB,262144,1504.835,1510.691,68173824,67108864,glaive_solver
decode_bs1024_layer10_0,decode,1024,1024,16,2,4MB,4194304,6232.947,6239.152,160169984,134217728,glaive_solver
decode_bs2048_layer12_0,decode,2048,2048,16,2,4MB,4194304,8939.584,8945.706,293601280,268435456,glaive_solver
decode_bs4096_layer10_0,decode,4096,4096,16,2,4MB,4194304,23956.317,23968.55,562298880,536870912,glaive_solver
prefill_bs1_layer7_0,prefill,1,1,16,2,4MB,4194304,5069.795,5075.773,214695936,2097152,glaive_solver
prefill_bs2_layer6_9,prefill,2,2,16,2,4MB,4194304,4338.762,4345.018,212074496,4194304,glaive_solver
prefill_bs4_layer6_4,prefill,4,4,16,2,4MB,4194304,8183.5869999999995,8189.754000000001,395837440,8388608,glaive_solver
prefill_bs8_layer4_0,prefill,8,8,16,2,4MB,4194304,22255.046,22261.011,1093140480,16777216,glaive_solver
prefill_bs16_layer14_0,prefill,16,16,16,2,64KB,65536,51365.859,51377.453,1908580352,33554432,glaive_solver
