1492,1983,474,1221,1134,1713,1170,600,2333,542,245,827,165,521,1206,202
2019,1482,506,1235,1420,1712,1153,574,2318,552,195,632,159,516,1200,222
2035,1961,314,1340,1246,1679,1104,647,2338,560,181,725,190,450,1254,256
1883,1930,422,1109,1095,1676,1139,608,2242,585,307,810,278,616,1199,339
1904,1980,646,1028,1122,1426,725,1038,2298,788,379,621,287,417,1147,284
1873,1951,534,1244,1273,1286,1128,610,2364,581,208,733,208,584,1195,212
1721,1942,583,1300,1265,1607,954,777,2201,680,260,537,265,533,1155,314
2118,1945,439,1465,1043,1762,1201,391,2381,557,160,710,152,501,1288,182
1843,1922,561,1228,1470,1564,999,804,1689,723,271,736,211,479,1022,309
1927,1996,599,1290,1127,1650,1073,679,2247,530,177,784,208,618,1056,277
1885,1972,664,1193,1218,1657,1148,692,2270,638,167,764,176,434,1199,245
2060,1934,449,1254,1303,1706,997,723,2255,587,228,561,189,539,1085,263
1981,1935,511,1115,1306,1587,1098,762,2204,735,268,647,202,456,1250,287
1969,1971,526,1312,1258,1648,1083,711,2279,523,223,681,181,377,1191,333
1866,1962,493,1335,1344,1602,1160,670,2160,676,224,689,198,520,891,270
1634,1943,652,1259,1410,1529,1172,824,2050,830,230,658,232,514,1123,271
