0,1185,1045,1081,1140,1247,1165,981,1241,1062,1172,1239,1166,1117,1119,1085,1241,1214,1132,1065,1122,1152,1209,1031,1118,1063,1188,1076,983,1153,1145,1129,1179,1129,1091,1080,975,1204,1361,1157,958,1022,1108,1100,1128,1102,1115,1149,1133,1392,1154,1106,1145,1058,924,1083,1037,1069,1069,1145,1118,1062,1128,1148
915,0,937,894,920,910,927,898,856,892,907,932,885,916,942,916,972,872,951,952,895,901,931,877,917,900,913,945,967,916,975,901,911,910,973,884,939,870,955,932,970,881,884,904,866,928,948,926,929,918,942,877,926,959,914,931,933,890,911,943,912,925,919,929
3927,4042,0,3995,3941,3966,4092,3889,4241,3886,4026,4050,4183,3945,3833,4067,4081,3943,4083,3980,3868,3905,4002,3867,3941,3987,3996,3888,4008,3816,3997,4020,3947,4031,3939,4051,3896,3998,3823,3839,3864,3859,3994,3858,3813,3751,3865,4026,3991,4026,4141,3947,4007,3809,3823,3925,3940,3962,3941,3953,3905,3861,4072,3896
938,1257,1019,0,856,1041,825,1121,819,1172,954,1110,1045,848,1082,869,906,1041,999,1014,1193,839,964,1110,987,929,1116,1061,1135,978,1056,925,1023,925,998,942,936,992,897,919,882,819,1105,889,770,1081,1041,796,1177,993,908,914,1060,1049,1060,988,1199,921,1104,968,1035,896,867,1197
9670,9793,9777,9697,0,9719,9725,9627,10004,9673,9811,9983,9862,9770,9732,9754,9868,9969,9966,10009,9617,9818,9762,9658,9599,9638,9972,9628,9784,9756,9777,10028,9865,9803,9871,9991,9713,10035,9562,9892,9634,9745,9960,9948,9815,9800,9987,9733,10073,9876,10117,9830,9736,9658,9728,9987,9747,9947,9821,9992,9900,9659,9900,9969
1797,1676,1768,1728,1592,0,1776,1764,1629,1752,1683,1663,1655,1693,1678,1656,1596,1768,1663,1735,1782,1666,1703,1704,1714,1707,1715,1696,1689,1780,1640,1753,1617,1699,1668,1614,1716,1667,1733,1625,1729,1666,1712,1694,1707,1726,1712,1689,1608,1674,1578,1671,1674,1653,1783,1691,1565,1518,1713,1662,1683,1714,1619,1702
571,527,539,467,660,548,0,524,394,629,501,484,473,525,640,529,585,462,567,524,597,556,496,610,498,660,450,506,460,468,559,423,519,541,530,575,659,463,595,524,425,547,460,474,541,574,458,469,463,425,464,571,529,568,587,584,612,597,511,460,512,543,457,499
163,127,96,113,114,109,126,0,83,136,97,109,99,92,127,94,83,113,99,109,132,119,83,118,124,74,116,147,130,133,108,118,102,112,102,90,121,91,130,82,150,127,138,121,88,116,100,98,108,92,89,106,105,108,104,115,144,121,122,89,143,113,119,135
504,407,529,393,566,409,384,374,0,457,428,470,445,411,561,447,445,341,555,466,523,477,436,529,502,461,466,521,477,389,483,315,457,421,410,543,600,447,437,492,524,447,400,368,495,564,432,431,412,444,453,487,393,425,461,413,539,533,496,391,427,513,445,421
2777,2878,2976,2810,3367,2819,3106,2638,2862,0,2840,3166,3004,3122,3264,3202,2840,2952,3317,3221,3275,3167,2863,2460,3004,3244,2959,3083,2990,2892,2635,2859,2960,3094,3149,2793,2962,3128,3207,3204,3164,3192,3381,2978,3132,3004,3067,2648,3416,3296,3243,3261,3155,2995,3125,3014,2870,3297,3122,3211,3160,2886,2690,3065
