1037,3165,2625,2969,3039,4108,1508,3285,2869,4257,2929,1947,5298,3446,4138,2959,3639,1236,2168,3031,5991,3928,2874,2514,3613,2071,3970,4889,2062,6634,3910,2211
2047,1545,2706,2888,3691,3957,1377,3132,2850,4133,2817,1944,5382,3428,4195,3002,3543,1249,2166,3185,5911,3956,2849,2596,3567,1950,3926,4765,2045,6384,4175,2291
1904,3099,1243,3216,3395,3930,1345,3202,2805,4241,2808,1950,5184,3492,4097,2918,3698,1277,2253,3361,6126,4088,2728,2477,3374,1895,3959,4816,2051,6668,4050,2171
2022,3067,2540,1526,3919,4119,1494,3151,2914,4230,2967,1914,5169,3391,3877,3037,3495,1230,2177,3029,6067,3994,2697,2817,3437,1888,3808,4919,2116,6594,3968,2080
1859,3070,2659,3142,1408,3978,1381,3230,2902,4004,2905,1929,5274,3514,4241,3177,3702,1342,2159,3168,5930,4145,2796,2502,3515,1780,4064,4962,2137,6604,3962,2285
1873,3237,2577,3162,3507,2276,1403,3107,2748,4048,2851,2023,5230,3336,4085,3075,3724,1382,2153,2998,6086,4296,2863,2589,3385,1754,4015,4780,1939,6522,3848,2209
1832,3201,2580,2987,3637,4258,719,3259,2666,4021,2909,1976,5397,3380,4173,2988,3802,1326,2137,3038,6062,3989,2730,2391,3436,1923,3919,4841,1825,6694,4221,2238
1993,3296,2756,3090,3196,3970,1465,1546,2869,4211,2756,1952,5316,3739,4170,2993,3543,1438,1977,3190,5880,3984,2803,2516,3662,1980,3862,4965,2219,6238,4014,2026
1908,3239,2601,3189,2923,4268,1329,3131,1361,3888,2869,2014,5347,3604,4208,2959,3652,1237,2065,3049,6030,4332,2816,2497,3406,1866,3899,4775,2180,6866,4029,2171
1797,3070,2496,3154,3653,4347,1404,3049,2913,2117,2825,2001,5243,3313,3987,2828,3620,1272,1988,3009,5985,4144,2999,2626,3556,1901,3870,4891,1867,6856,4092,2248
1985,3297,2481,3192,3090,4236,1376,3151,2825,4112,1288,2064,5242,3428,4020,2741,3816,1403,2057,2983,6068,4202,2876,2663,3311,1743,3763,4961,2159,7123,3898,2101
2151,3188,2575,3223,3123,4079,1483,3326,2772,4017,2962,1022,5434,3527,4007,3023,3780,1312,2078,3168,5822,4146,2962,2539,3474,1769,3831,4715,2202,6329,3930,2195
