5820,2400,3784,4320,10196,2692,5740,4140,1872,5048,9700,4372,7568,4328,4724,3840
3592,1556,2172,3840,9284,1500,5504,2780,2668,4868,8192,3560,6132,3044,3836,2848
3428,1624,2232,2764,7444,2104,4096,2996,1704,3532,6580,2712,5232,3156,3488,2588
3000,1156,1420,2280,8040,1252,2292,2220,1644,3008,7196,2356,3832,2388,3012,2360
2748,1192,1512,2236,5772,864,3256,1936,1448,2660,5172,2540,3704,2268,2628,1984
2536,868,1316,1968,5948,768,3076,1636,1236,2240,5784,2040,3528,2024,2272,2280
2140,1244,1308,1596,5636,784,2760,1560,1016,2568,4876,1716,3604,2040,2476,1956
2084,628,944,1588,5804,548,2236,1572,928,2528,5352,1780,3084,1724,2284,2084
1864,912,1080,1320,5676,676,1940,1360,728,2180,5216,1496,2900,1584,2100,1960
2172,792,952,1484,4596,432,2500,1500,976,1740,4472,1704,2868,1504,1752,1532
1672,1028,988,1412,4272,492,2260,1332,976,1728,4544,1748,2880,1352,1588,1744
1784,860,848,1376,4316,436,1972,1668,1032,1752,4168,1724,2516,1132,1576,1608
1876,900,900,1396,4332,420,1836,1164,772,1856,4152,1304,2200,1368,1592,1324
1664,736,628,876,4372,640,1536,1176,656,2128,3848,1032,2296,1336,1652,1696
1664,808,844,1044,3688,508,1576,1272,680,1252,3680,1192,2396,1000,1548,1552
1468,488,492,1120,3904,404,1536,792,844,1272,3768,1176,1744,640,1288,1528
